#timestep  occupied-CPU  total-CPU  utilization  queuingjobs
1    16    1024    0.015625    1
2    0    1024    0.0    1
3    0    1024    0.0    3
4    384    1024    0.375    2
5    70    1024    0.068359375    3
6    260    1024    0.25390625    1
7    0    1024    0.0    2
8    0    1024    0.0    2
9    260    1024    0.25390625    2
10    0    1024    0.0    7
11    64    1024    0.0625    5
12    256    1024    0.25    7
13    84    1024    0.08203125    7
14    115    1024    0.1123046875    10
15    0    1024    0.0    13
16    0    1024    0.0    7
17    256    1024    0.25    7
18    256    1024    0.25    10
19    320    1024    0.3125    12
20    256    1024    0.25    18
21    256    1024    0.25    20
22    4    1024    0.00390625    18
23    64    1024    0.0625    18
24    4    1024    0.00390625    18
25    86    1024    0.083984375    16
26    390    1024    0.380859375    14
27    0    1024    0.0    10
28    0    1024    0.0    8
29    139    1024    0.1357421875    11
30    64    1024    0.0625    7
31    260    1024    0.25390625    7
32    47    1024    0.0458984375    6
33    64    1024    0.0625    1
34    48    1024    0.046875    1
35    0    1024    0.0    5
36    0    1024    0.0    9
37    0    1024    0.0    8
38    0    1024    0.0    11
39    0    1024    0.0    13
40    90    1024    0.087890625    15
41    272    1024    0.265625    17
42    256    1024    0.25    21
43    256    1024    0.25    25
44    256    1024    0.25    27
45    0    1024    0.0    31
46    0    1024    0.0    26
47    4    1024    0.00390625    21
48    320    1024    0.3125    20
49    272    1024    0.265625    22
50    0    1024    0.0    25
51    4    1024    0.00390625    21
52    68    1024    0.06640625    20
53    69    1024    0.0673828125    18
54    0    1024    0.0    22
55    0    1024    0.0    20
56    0    1024    0.0    22
57    0    1024    0.0    23
58    24    1024    0.0234375    21
59    20    1024    0.01953125    21
60    288    1024    0.28125    22
61    256    1024    0.25    24
62    0    1024    0.0    28
63    0    1024    0.0    24
64    114    1024    0.111328125    18
65    256    1024    0.25    22
66    104    1024    0.1015625    19
67    256    1024    0.25    21
68    0    1024    0.0    23
69    214    1024    0.208984375    23
70    44    1024    0.04296875    7
71    8    1024    0.0078125    2
72    320    1024    0.3125    5
73    0    1024    0.0    10
74    0    1024    0.0    10
75    0    1024    0.0    11
76    0    1024    0.0    14
77    0    1024    0.0    17
78    0    1024    0.0    19
79    256    1024    0.25    19
80    0    1024    0.0    23
81    36    1024    0.03515625    20
82    256    1024    0.25    24
83    356    1024    0.34765625    22
84    0    1024    0.0    26
85    0    1024    0.0    28
86    0    1024    0.0    31
87    0    1024    0.0    34
88    0    1024    0.0    34
89    4    1024    0.00390625    31
90    476    1024    0.46484375    12
91    0    1024    0.0    17
92    0    1024    0.0    21
93    12    1024    0.01171875    22
94    192    1024    0.1875    22
95    320    1024    0.3125    23
96    84    1024    0.08203125    20
97    275    1024    0.2685546875    19
98    0    1024    0.0    24
99    135    1024    0.1318359375    11
100    108    1024    0.10546875    9
101    0    1024    0.0    8
102    0    1024    0.0    10
103    25    1024    0.0244140625    11
104    0    1024    0.0    12
105    0    1024    0.0    12
106    320    1024    0.3125    13
107    0    1024    0.0    7
108    310    1024    0.302734375    0
109    4    1024    0.00390625    0
110    16    1024    0.015625    1
111    0    1024    0.0    5
112    0    1024    0.0    6
113    0    1024    0.0    11
114    0    1024    0.0    13
115    256    1024    0.25    13
116    320    1024    0.3125    15
117    320    1024    0.3125    15
118    320    1024    0.3125    14
119    0    1024    0.0    20
120    128    1024    0.125    17
121    368    1024    0.359375    12
122    224    1024    0.21875    15
123    0    1024    0.0    12
124    0    1024    0.0    15
125    320    1024    0.3125    14
126    256    1024    0.25    19
127    0    1024    0.0    20
128    0    1024    0.0    21
129    256    1024    0.25    25
130    324    1024    0.31640625    20
131    0    1024    0.0    23
132    68    1024    0.06640625    20
133    0    1024    0.0    23
134    320    1024    0.3125    24
135    320    1024    0.3125    27
136    256    1024    0.25    29
137    132    1024    0.12890625    34
138    0    1024    0.0    35
139    0    1024    0.0    39
140    0    1024    0.0    41
141    256    1024    0.25    43
142    40    1024    0.0390625    41
143    62    1024    0.060546875    44
144    0    1024    0.0    47
145    0    1024    0.0    39
146    384    1024    0.375    40
147    352    1024    0.34375    37
148    33    1024    0.0322265625    34
149    0    1024    0.0    34
150    0    1024    0.0    27
151    0    1024    0.0    25
152    0    1024    0.0    22
153    184    1024    0.1796875    21
154    185    1024    0.1806640625    16
155    16    1024    0.015625    10
156    256    1024    0.25    8
157    0    1024    0.0    7
158    0    1024    0.0    3
159    0    1024    0.0    2

average cpu utilization is: 0.104013119104
average ssd utilization is: 0.0879397602201
average gpu utilization is: 0.0862016018082
average utilization is: 0.0927181603774
average queuing jobs are: 17.2389937107
maximum queuing jobs are: 47


#job_number  submit  dispatch  queue  cpu#  runtime  weight  response(turnaround)  cpu_aspl  cpu_diameter
0    1562291452.65    1562291456.11    3.45429897308    16    0.7616    12.1856    4.21589897308    2.58333333333    4
