#timestep  occupied-CPU  total-CPU  utilization  queuingjobs
1    0    1024    0.0    1
2    256    1024    0.25    1
3    128    1024    0.125    1
4    2    1024    0.001953125    0
5    32    1024    0.03125    1
6    0    1024    0.0    2
7    64    1024    0.0625    0
8    34    1024    0.033203125    3
9    0    1024    0.0    3
10    0    1024    0.0    0
11    32    1024    0.03125    0
12    128    1024    0.125    0
13    0    1024    0.0    0
14    0    1024    0.0    0
15    0    1024    0.0    0
16    16    1024    0.015625    0
17    16    1024    0.015625    0
18    0    1024    0.0    0
19    0    1024    0.0    2
20    0    1024    0.0    1
21    0    1024    0.0    0
22    0    1024    0.0    1
23    79    1024    0.0771484375    1
24    0    1024    0.0    0
25    0    1024    0.0    0
26    0    1024    0.0    0
27    0    1024    0.0    0
28    3    1024    0.0029296875    0
29    32    1024    0.03125    0
30    34    1024    0.033203125    1
31    32    1024    0.03125    0
32    0    1024    0.0    0
33    0    1024    0.0    2
34    65    1024    0.0634765625    1
35    96    1024    0.09375    1
36    0    1024    0.0    0
37    8    1024    0.0078125    2
38    64    1024    0.0625    0
39    96    1024    0.09375    0
40    0    1024    0.0    0
41    70    1024    0.068359375    0
42    64    1024    0.0625    0
43    0    1024    0.0    2
44    82    1024    0.080078125    0
45    6    1024    0.005859375    0
46    68    1024    0.06640625    1
47    38    1024    0.037109375    1
48    40    1024    0.0390625    0
49    96    1024    0.09375    1
50    80    1024    0.078125    0
51    0    1024    0.0    0
52    128    1024    0.125    0
53    0    1024    0.0    0
54    80    1024    0.078125    1
55    68    1024    0.06640625    1
56    64    1024    0.0625    0
57    46    1024    0.044921875    1
58    0    1024    0.0    1
59    73    1024    0.0712890625    2
60    64    1024    0.0625    0
61    70    1024    0.068359375    0
62    16    1024    0.015625    0
63    0    1024    0.0    1
64    128    1024    0.125    2
65    0    1024    0.0    0
66    11    1024    0.0107421875    5
67    8    1024    0.0078125    1
68    0    1024    0.0    2
69    0    1024    0.0    1

average cpu utilization is: 0.0356233016304
average ssd utilization is: 0.403617527174
average gpu utilization is: 0.403617527174
average utilization is: 0.280952785326
average queuing jobs are: 0.68115942029
maximum queuing jobs are: 5


#job_number  submit  dispatch  queue  cpu#  runtime  weight  response(turnaround)  cpu_aspl  cpu_diameter
0    1562313287.66    1562313292.11    4.44968605042    128    0.1451    18.5728    4.594786050415039    4.56938976378    6
1    1562313291.95    1562313292.39    0.439180135727    128    0.3726    47.6928    0.8117801357269288    4.72010334646    6
2    1562313292.39    1562313292.65    0.26328420639    128    0.1067    13.6576    0.3699842063903809    4.56938976378    6
3    1562313292.58    1562313293.0    0.419641017914    128    1.0927    139.8656    1.5123410179138184    4.69611220472    7
4    1562313293.67    1562313293.93    0.257384061813    128    0.2927    37.4656    0.5500840618133545    4.56938976378    6
5    1562313294.52    1562313294.51    -0.00441288948059    1    0.001    0.001    -0.0034128894805908203    1.0    2
6    1562313294.62    1562313294.64    0.0148520469666    32    0.0716    2.2912    0.08645204696655273    3.16733870968    4
7    1562313294.7    1562313294.7    0.000301122665405    1    0.0007    0.0007    0.0010011226654052735    1.0    2
8    1562313294.76    1562313294.76    2.50339508057e-05    2    0.0069    0.0138    0.006925033950805664    1.0    2
9    1562313294.77    1562313294.77    -0.00139403343201    1    0.0009    0.0009    -0.000494033432006836    1.0    2
10    1562313294.78    1562313294.78    3.69548797607e-05    1    0.0009    0.0009    0.0009369548797607422    1.0    2
11    1562313294.8    1562313294.8    0.000301122665405    1    0.0884    0.0884    0.08870112266540528    1.0    2
12    1562313294.95    1562313294.95    1.59740447998e-05    32    0.0075    0.24    0.007515974044799804    3.16733870968    4
13    1562313294.96    1562313294.96    -0.000225067138672    1    0.0015    0.0015    0.001274932861328125    1.0    2
14    1562313295.03    1562313295.05    0.0171060562134    32    0.0176    0.5632    0.03470605621337891    3.16733870968    4
15    1562313295.09    1562313295.09    0.000443935394287    32    0.016    0.512    0.01644393539428711    3.13306451613    4
16    1562313295.16    1562313295.15    -0.00571894645691    32    0.0229    0.7328    0.01718105354309082    3.16733870968    4
17    1562313295.2    1562313295.2    0.000440835952759    4    0.0054    0.0216    0.005840835952758789    1.5    2
18    1562313295.22    1562313295.22    0.00620603561401    32    0.0237    0.7584    0.02990603561401367    3.08870967742    4
19    1562313295.25    1562313295.25    2.09808349609e-05    4    0.0049    0.0196    0.004920980834960937    1.5    2
20    1562313295.27    1562313295.29    0.0164039134979    32    0.0104    0.3328    0.026803913497924804    3.16733870968    4
