#timestep  occupied-CPU  total-CPU  utilization  queuingjobs
1    42    1024    0.041015625    0
2    64    1024    0.0625    0
3    0    1024    0.0    0
4    0    1024    0.0    0
5    0    1024    0.0    0
6    0    1024    0.0    0
7    0    1024    0.0    0
8    0    1024    0.0    0
9    0    1024    0.0    0
10    0    1024    0.0    0
11    0    1024    0.0    0
12    0    1024    0.0    0
13    0    1024    0.0    0
14    0    1024    0.0    0
15    0    1024    0.0    0
16    0    1024    0.0    0
17    0    1024    0.0    0
18    0    1024    0.0    1
19    128    1024    0.125    0
20    128    1024    0.125    0
21    128    1024    0.125    0
22    128    1024    0.125    0
23    0    1024    0.0    0
24    0    1024    0.0    0
25    0    1024    0.0    0
26    128    1024    0.125    2
27    448    1024    0.4375    0
28    448    1024    0.4375    0
29    384    1024    0.375    0
30    0    1024    0.0    0
31    0    1024    0.0    0
32    2    1024    0.001953125    0
33    2    1024    0.001953125    0
34    0    1024    0.0    3
35    128    1024    0.125    0
36    144    1024    0.140625    0
37    0    1024    0.0    0
38    0    1024    0.0    0
39    258    1024    0.251953125    2
40    258    1024    0.251953125    0
41    290    1024    0.283203125    0
42    322    1024    0.314453125    0
43    318    1024    0.310546875    0
44    222    1024    0.216796875    7
45    544    1024    0.53125    11
46    668    1024    0.65234375    0
47    574    1024    0.560546875    0
48    736    1024    0.71875    5
49    702    1024    0.685546875    0
50    431    1024    0.4208984375    1
51    274    1024    0.267578125    0
52    62    1024    0.060546875    0
53    67    1024    0.0654296875    1
54    34    1024    0.033203125    5
55    200    1024    0.1953125    10
56    192    1024    0.1875    0
57    136    1024    0.1328125    1
58    96    1024    0.09375    0
59    46    1024    0.044921875    0
60    64    1024    0.0625    0
61    94    1024    0.091796875    0
62    94    1024    0.091796875    0
63    190    1024    0.185546875    0
64    190    1024    0.185546875    0
65    268    1024    0.26171875    0
66    190    1024    0.185546875    2
67    508    1024    0.49609375    0
68    542    1024    0.529296875    0
69    446    1024    0.435546875    0
70    400    1024    0.390625    0
71    80    1024    0.078125    1
72    158    1024    0.154296875    0
73    256    1024    0.25    3
74    368    1024    0.359375    0
75    441    1024    0.4306640625    3
76    64    1024    0.0625    8
77    139    1024    0.1357421875    5
78    344    1024    0.3359375    0
79    0    1024    0.0    0
80    0    1024    0.0    0
81    34    1024    0.033203125    0
82    0    1024    0.0    0
83    34    1024    0.033203125    0
84    32    1024    0.03125    1
85    224    1024    0.21875    0
86    192    1024    0.1875    1
87    368    1024    0.359375    3
88    368    1024    0.359375    0
89    256    1024    0.25    0
90    160    1024    0.15625    0
91    160    1024    0.15625    0
92    34    1024    0.033203125    2
93    320    1024    0.3125    0
94    448    1024    0.4375    0
95    480    1024    0.46875    0
96    608    1024    0.59375    5
97    752    1024    0.734375    0
98    608    1024    0.59375    0
99    448    1024    0.4375    0
100    162    1024    0.158203125    0
101    32    1024    0.03125    0
102    32    1024    0.03125    1
103    128    1024    0.125    0
104    272    1024    0.265625    0
105    432    1024    0.421875    0
106    336    1024    0.328125    0
107    208    1024    0.203125    0
108    146    1024    0.142578125    0
109    16    1024    0.015625    0
110    16    1024    0.015625    0
111    32    1024    0.03125    0
112    160    1024    0.15625    0
113    224    1024    0.21875    0
114    192    1024    0.1875    0
115    80    1024    0.078125    0
116    64    1024    0.0625    0
117    32    1024    0.03125    1
118    128    1024    0.125    0
119    112    1024    0.109375    0
120    112    1024    0.109375    0
121    272    1024    0.265625    0
122    384    1024    0.375    0
123    432    1024    0.421875    0
124    289    1024    0.2822265625    0
125    398    1024    0.388671875    1
126    356    1024    0.34765625    0
127    308    1024    0.30078125    0
128    290    1024    0.283203125    0
129    144    1024    0.140625    0
130    128    1024    0.125    0
131    384    1024    0.375    7
132    652    1024    0.63671875    0
133    834    1024    0.814453125    2
134    512    1024    0.5    0
135    160    1024    0.15625    0
136    64    1024    0.0625    0
137    64    1024    0.0625    0
138    64    1024    0.0625    0
139    64    1024    0.0625    0
140    416    1024    0.40625    0
141    480    1024    0.46875    0
142    320    1024    0.3125    0
143    448    1024    0.4375    0
144    576    1024    0.5625    0
145    592    1024    0.578125    5
146    688    1024    0.671875    1
147    432    1024    0.421875    0
148    64    1024    0.0625    0
149    240    1024    0.234375    0
150    282    1024    0.275390625    0
151    226    1024    0.220703125    0
152    250    1024    0.244140625    0
153    352    1024    0.34375    3
154    570    1024    0.556640625    0
155    442    1024    0.431640625    0
156    378    1024    0.369140625    0
157    250    1024    0.244140625    0
158    186    1024    0.181640625    0
159    330    1024    0.322265625    0
160    522    1024    0.509765625    1
161    698    1024    0.681640625    0
162    554    1024    0.541015625    0
163    458    1024    0.447265625    0
164    442    1024    0.431640625    0
165    250    1024    0.244140625    0
166    250    1024    0.244140625    0
167    364    1024    0.35546875    0
168    556    1024    0.54296875    0
169    556    1024    0.54296875    1
170    668    1024    0.65234375    0
171    684    1024    0.66796875    0
172    428    1024    0.41796875    0
173    428    1024    0.41796875    0
174    300    1024    0.29296875    0
175    300    1024    0.29296875    0
176    426    1024    0.416015625    2
177    426    1024    0.416015625    7
178    714    1024    0.697265625    10
179    730    1024    0.712890625    0
180    602    1024    0.587890625    0
181    410    1024    0.400390625    0
182    266    1024    0.259765625    0
183    202    1024    0.197265625    0
184    0    1024    0.0    0

average cpu utilization is: 0.247139308764
average ssd utilization is: 0.19556194803
average gpu utilization is: 0.19556194803
average utilization is: 0.212754401608
average queuing jobs are: 0.679347826087
maximum queuing jobs are: 11


#job_number  submit  dispatch  queue  cpu#  runtime  weight  response(turnaround)  cpu_aspl  cpu_diameter
0    1562333288.95    1562333292.89    3.93919801712    64    1.9025    121.76    5.841698017120361    3.84672619048    6
1    1562333310.02    1562333310.28    0.265063047409    128    4.3328    554.5984    4.597863047409057    4.60420767717    6
2    1562333318.02    1562333318.18    0.155992984772    128    3.4361    439.8208    3.5920929847717287    4.60420767717    6
3    1562333318.24    1562333318.53    0.288931131363    128    3.7372    478.3616    4.026131131362915    4.65206692913    6
4    1562333318.3    1562333318.8    0.497053146362    128    3.5202    450.5856    4.017253146362305    4.65575787402    6
5    1562333318.7    1562333318.87    0.161083936691    64    2.2746    145.5744    2.435683936691284    4.18551587302    6
6    1562333323.66    1562333323.66    3.19480895996e-05    1    2.4562    2.4562    2.4562319480895995    1.0    2
7    1562333325.61    1562333325.61    3.19480895996e-05    16    0.6858    10.9728    0.6858319480895996    2.48333333333    4
8    1562333326.54    1562333326.62    0.0801799297333    64    0.8219    52.6016    0.9020799297332763    3.84672619048    6
9    1562333326.56    1562333326.68    0.123979091644    64    2.9203    186.8992    3.0442790916442872    3.94345238095    6
10    1562333326.58    1562333326.75    0.173729896545    64    2.8881    184.8384    3.0618298965454103    4.12003968254    6
11    1562333327.02    1562333327.03    0.0149948596954    32    0.3554    11.3728    0.37039485969543456    3.19758064516    4
12    1562333328.36    1562333328.36    2.28881835938e-05    16    0.6835    10.936    0.6835228881835937    2.48333333333    4
13    1562333331.38    1562333331.47    0.0861210823059    64    4.3334    277.3376    4.419521082305908    3.84672619048    6
