#timestep  occupied-CPU  total-CPU  utilization  queuingjobs
1    0    1024    0.0    1
2    64    1024    0.0625    0
3    0    1024    0.0    0
4    0    1024    0.0    0
5    0    1024    0.0    0
6    0    1024    0.0    0
7    0    1024    0.0    0
8    0    1024    0.0    0
9    0    1024    0.0    0
10    0    1024    0.0    0
11    0    1024    0.0    0
12    0    1024    0.0    0
13    0    1024    0.0    0
14    0    1024    0.0    0
15    0    1024    0.0    0
16    0    1024    0.0    0
17    0    1024    0.0    0
18    0    1024    0.0    1
19    128    1024    0.125    0
20    128    1024    0.125    0
21    128    1024    0.125    0
22    128    1024    0.125    0
23    0    1024    0.0    0
24    0    1024    0.0    0
25    0    1024    0.0    0
26    125    1024    0.1220703125    2
27    384    1024    0.375    1
28    448    1024    0.4375    0
29    448    1024    0.4375    0
30    256    1024    0.25    0
31    0    1024    0.0    0
32    2    1024    0.001953125    0
33    2    1024    0.001953125    0
34    0    1024    0.0    0
35    192    1024    0.1875    0
36    144    1024    0.140625    0
37    128    1024    0.125    0
38    0    1024    0.0    0
39    0    1024    0.0    4
40    224    1024    0.21875    0
41    352    1024    0.34375    0
42    352    1024    0.34375    0
43    320    1024    0.3125    0
44    126    1024    0.123046875    6
45    288    1024    0.28125    12
46    480    1024    0.46875    15
47    638    1024    0.623046875    5
48    590    1024    0.576171875    5
49    752    1024    0.734375    4
50    732    1024    0.71484375    0
51    336    1024    0.328125    0
52    80    1024    0.078125    0
53    64    1024    0.0625    0
54    34    1024    0.033203125    4
55    2    1024    0.001953125    11
56    2    1024    0.001953125    17
57    94    1024    0.091796875    23
58    356    1024    0.34765625    1
59    157    1024    0.1533203125    1
60    96    1024    0.09375    0
61    62    1024    0.060546875    0
62    64    1024    0.0625    0
63    94    1024    0.091796875    0
64    94    1024    0.091796875    0
65    190    1024    0.185546875    0
66    190    1024    0.185546875    0
67    286    1024    0.279296875    0
68    318    1024    0.310546875    4
69    509    1024    0.4970703125    0
70    542    1024    0.529296875    0
71    446    1024    0.435546875    0
72    464    1024    0.453125    0
73    80    1024    0.078125    1
74    158    1024    0.154296875    0
75    248    1024    0.2421875    4
76    398    1024    0.388671875    0
77    454    1024    0.443359375    1
78    158    1024    0.154296875    7
79    64    1024    0.0625    12
80    0    1024    0.0    21
81    0    1024    0.0    19
82    404    1024    0.39453125    8
83    0    1024    0.0    0
84    2    1024    0.001953125    0
85    32    1024    0.03125    0
86    0    1024    0.0    0
87    32    1024    0.03125    0
88    32    1024    0.03125    0
89    224    1024    0.21875    0
90    336    1024    0.328125    2
91    416    1024    0.40625    0
92    272    1024    0.265625    0
93    242    1024    0.236328125    0
94    160    1024    0.15625    0
95    160    1024    0.15625    0
96    32    1024    0.03125    3
97    320    1024    0.3125    0
98    448    1024    0.4375    0
99    512    1024    0.5    0
100    480    1024    0.46875    11
101    592    1024    0.578125    10
102    640    1024    0.625    0
103    434    1024    0.423828125    0
104    178    1024    0.173828125    0
105    32    1024    0.03125    0
106    32    1024    0.03125    1
107    144    1024    0.140625    2
108    304    1024    0.296875    1
109    320    1024    0.3125    0
110    336    1024    0.328125    0
111    144    1024    0.140625    0
112    144    1024    0.140625    0
113    16    1024    0.015625    0
114    44    1024    0.04296875    0
115    32    1024    0.03125    5
116    165    1024    0.1611328125    3
117    224    1024    0.21875    0
118    192    1024    0.1875    0
119    96    1024    0.09375    0
120    64    1024    0.0625    0
121    146    1024    0.142578125    0
122    160    1024    0.15625    0
123    108    1024    0.10546875    0
124    112    1024    0.109375    3
125    256    1024    0.25    0
126    256    1024    0.25    1
127    440    1024    0.4296875    0
128    444    1024    0.43359375    2
129    408    1024    0.3984375    0
130    356    1024    0.34765625    0
131    306    1024    0.298828125    0
132    272    1024    0.265625    0
133    128    1024    0.125    0
134    144    1024    0.140625    2
135    323    1024    0.3154296875    7
136    588    1024    0.57421875    0
137    706    1024    0.689453125    4
138    640    1024    0.625    1
139    320    1024    0.3125    0
140    64    1024    0.0625    0
141    64    1024    0.0625    0
142    48    1024    0.046875    0
143    64    1024    0.0625    0
144    160    1024    0.15625    3
145    480    1024    0.46875    0
146    512    1024    0.5    0
147    448    1024    0.4375    2
148    584    1024    0.5703125    0
149    592    1024    0.578125    4
150    688    1024    0.671875    0
151    560    1024    0.546875    0
152    304    1024    0.296875    0
153    144    1024    0.140625    2
154    282    1024    0.275390625    0
155    242    1024    0.236328125    0
156    242    1024    0.236328125    0
157    378    1024    0.369140625    0
158    570    1024    0.556640625    0
159    554    1024    0.541015625    0
160    506    1024    0.494140625    0
161    314    1024    0.306640625    0
162    314    1024    0.306640625    0
163    266    1024    0.259765625    0
164    330    1024    0.322265625    3
165    698    1024    0.681640625    0
166    618    1024    0.603515625    0
167    586    1024    0.572265625    0
168    442    1024    0.431640625    0
169    378    1024    0.369140625    0
170    250    1024    0.244140625    0
171    250    1024    0.244140625    4
172    348    1024    0.33984375    0
173    556    1024    0.54296875    0
174    668    1024    0.65234375    0
175    541    1024    0.5283203125    2
176    684    1024    0.66796875    0
177    428    1024    0.41796875    0
178    428    1024    0.41796875    0
179    300    1024    0.29296875    0
180    299    1024    0.2919921875    1
181    426    1024    0.416015625    2
182    538    1024    0.525390625    6
183    714    1024    0.697265625    14
184    730    1024    0.712890625    0
185    602    1024    0.587890625    0
186    346    1024    0.337890625    0
187    202    1024    0.197265625    0
188    192    1024    0.1875    0
189    0    1024    0.0    0

average cpu utilization is: 0.247411334325
average ssd utilization is: 0.197058945106
average gpu utilization is: 0.197058945106
average utilization is: 0.213843074846
average queuing jobs are: 1.53968253968
maximum queuing jobs are: 23

