#timestep  occupied-CPU  total-CPU  utilization  queuingjobs
1    13    1024    0.0126953125    1
2    144    1024    0.140625    0
3    80    1024    0.078125    0
4    120    1024    0.1171875    0
5    128    1024    0.125    0
6    316    1024    0.30859375    0
7    216    1024    0.2109375    0
8    176    1024    0.171875    0
9    56    1024    0.0546875    0
10    56    1024    0.0546875    0
11    56    1024    0.0546875    0
12    72    1024    0.0703125    0
13    204    1024    0.19921875    0
14    180    1024    0.17578125    0
15    258    1024    0.251953125    0
16    194    1024    0.189453125    0
17    68    1024    0.06640625    0
18    240    1024    0.234375    0
19    212    1024    0.20703125    0
20    90    1024    0.087890625    0
21    58    1024    0.056640625    3
22    74    1024    0.072265625    0
23    64    1024    0.0625    0
24    64    1024    0.0625    0
25    64    1024    0.0625    0
26    0    1024    0.0    0
27    0    1024    0.0    0
28    0    1024    0.0    0
29    0    1024    0.0    0
30    8    1024    0.0078125    0
31    8    1024    0.0078125    0
32    0    1024    0.0    0
33    0    1024    0.0    0
34    0    1024    0.0    0
35    0    1024    0.0    0
36    0    1024    0.0    0
37    492    1024    0.48046875    0
38    210    1024    0.205078125    0
39    176    1024    0.171875    0
40    264    1024    0.2578125    0
41    256    1024    0.25    1
42    248    1024    0.2421875    0
43    188    1024    0.18359375    0
44    158    1024    0.154296875    0
45    218    1024    0.212890625    0
46    170    1024    0.166015625    0
47    152    1024    0.1484375    0
48    168    1024    0.1640625    0
49    138    1024    0.134765625    0
50    88    1024    0.0859375    0
51    60    1024    0.05859375    0
52    60    1024    0.05859375    0
53    0    1024    0.0    0
54    20    1024    0.01953125    0
55    0    1024    0.0    0
56    0    1024    0.0    0
57    0    1024    0.0    0
58    32    1024    0.03125    0
59    24    1024    0.0234375    0
60    0    1024    0.0    0
61    0    1024    0.0    0
62    0    1024    0.0    0
63    0    1024    0.0    0
64    8    1024    0.0078125    0
65    0    1024    0.0    0
66    36    1024    0.03515625    0
67    36    1024    0.03515625    0
68    18    1024    0.017578125    0
69    0    1024    0.0    0
70    0    1024    0.0    0
71    0    1024    0.0    0
72    0    1024    0.0    0
73    0    1024    0.0    0
74    0    1024    0.0    0
75    0    1024    0.0    0
76    0    1024    0.0    0
77    0    1024    0.0    0
78    0    1024    0.0    0
79    0    1024    0.0    0
80    0    1024    0.0    0
81    0    1024    0.0    0
82    0    1024    0.0    0
83    0    1024    0.0    0
84    0    1024    0.0    0
85    0    1024    0.0    0
86    0    1024    0.0    0
87    0    1024    0.0    0
88    0    1024    0.0    0
89    0    1024    0.0    0
90    0    1024    0.0    0
91    0    1024    0.0    0
92    0    1024    0.0    0
93    0    1024    0.0    0
94    0    1024    0.0    0
95    0    1024    0.0    0
96    0    1024    0.0    0
97    0    1024    0.0    0
98    60    1024    0.05859375    0
99    60    1024    0.05859375    0
100    30    1024    0.029296875    0
101    32    1024    0.03125    0
102    24    1024    0.0234375    0
103    24    1024    0.0234375    0
104    24    1024    0.0234375    0
105    24    1024    0.0234375    0
106    156    1024    0.15234375    0
107    96    1024    0.09375    0
108    100    1024    0.09765625    0
109    86    1024    0.083984375    1
110    48    1024    0.046875    0
111    8    1024    0.0078125    0
112    8    1024    0.0078125    0
113    8    1024    0.0078125    0
114    8    1024    0.0078125    0
115    120    1024    0.1171875    0
116    236    1024    0.23046875    0
117    304    1024    0.296875    0
118    216    1024    0.2109375    0
119    128    1024    0.125    0
120    16    1024    0.015625    0
121    128    1024    0.125    0
122    208    1024    0.203125    0
123    212    1024    0.20703125    0
124    80    1024    0.078125    0
125    108    1024    0.10546875    0
126    108    1024    0.10546875    0
127    48    1024    0.046875    0
128    172    1024    0.16796875    0
129    262    1024    0.255859375    0
130    132    1024    0.12890625    0
131    104    1024    0.1015625    0
132    40    1024    0.0390625    0
133    57    1024    0.0556640625    0
134    68    1024    0.06640625    0
135    192    1024    0.1875    1
136    224    1024    0.21875    0
137    192    1024    0.1875    0
138    228    1024    0.22265625    0
139    192    1024    0.1875    0
140    156    1024    0.15234375    0
141    112    1024    0.109375    0
142    364    1024    0.35546875    0
143    340    1024    0.33203125    0
144    412    1024    0.40234375    0
145    366    1024    0.357421875    0
146    360    1024    0.3515625    0
147    141    1024    0.1376953125    0
148    116    1024    0.11328125    0
149    44    1024    0.04296875    0
150    124    1024    0.12109375    0
151    82    1024    0.080078125    0
152    58    1024    0.056640625    0
153    66    1024    0.064453125    0
154    50    1024    0.048828125    0
155    12    1024    0.01171875    0
156    12    1024    0.01171875    0
157    8    1024    0.0078125    0
158    28    1024    0.02734375    1
159    8    1024    0.0078125    0
160    24    1024    0.0234375    1
161    32    1024    0.03125    0
162    32    1024    0.03125    1
163    92    1024    0.08984375    0
164    100    1024    0.09765625    0
165    92    1024    0.08984375    0
166    84    1024    0.08203125    0
167    84    1024    0.08203125    0
168    116    1024    0.11328125    0
169    80    1024    0.078125    0
170    80    1024    0.078125    0
171    60    1024    0.05859375    0
172    16    1024    0.015625    0
173    8    1024    0.0078125    0
174    8    1024    0.0078125    0
175    8    1024    0.0078125    0
176    40    1024    0.0390625    0
177    68    1024    0.06640625    0
178    72    1024    0.0703125    1
179    0    1024    0.0    0
180    132    1024    0.12890625    0
181    72    1024    0.0703125    0
182    460    1024    0.44921875    0
183    120    1024    0.1171875    0
184    220    1024    0.21484375    0
185    68    1024    0.06640625    0
186    16    1024    0.015625    0
187    148    1024    0.14453125    0
188    164    1024    0.16015625    0
189    72    1024    0.0703125    0
190    80    1024    0.078125    0
191    206    1024    0.201171875    6
192    367    1024    0.3583984375    5
193    152    1024    0.1484375    0
194    80    1024    0.078125    0
195    0    1024    0.0    0
196    40    1024    0.0390625    12
197    72    1024    0.0703125    0
198    56    1024    0.0546875    1
199    96    1024    0.09375    0
200    370    1024    0.361328125    8
201    264    1024    0.2578125    0
202    120    1024    0.1171875    0
203    136    1024    0.1328125    0
204    88    1024    0.0859375    0
205    52    1024    0.05078125    4
206    72    1024    0.0703125    1
207    181    1024    0.1767578125    15
208    167    1024    0.1630859375    7
209    120    1024    0.1171875    0
210    123    1024    0.1201171875    8
211    64    1024    0.0625    0
212    32    1024    0.03125    0
213    8    1024    0.0078125    0
214    8    1024    0.0078125    0
215    8    1024    0.0078125    0
216    8    1024    0.0078125    0
217    0    1024    0.0    0

average cpu utilization is: 0.0873370895737
average ssd utilization is: 0.133654053859
average gpu utilization is: 0.133654053859
average utilization is: 0.118215065764
average queuing jobs are: 0.359447004608
maximum queuing jobs are: 15


#job_number  submit  dispatch  queue  cpu#  runtime  weight  response(turnaround)  cpu_aspl  cpu_diameter
0    1562336874.09    1562336877.64    3.55263113976    32    4.3306    138.5792    7.883231139755249    3.19758064516    4
1    1562336877.68    1562336877.68    4.41074371338e-05    40    0.0553    2.212    0.05534410743713379    3.39230769231    5
2    1562336877.76    1562336877.78    0.0243539810181    40    1.0027    40.108    1.0270539810180663    3.50256410256    5
3    1562336878.19    1562336878.19    5.79357147217e-05    8    3.3156    26.5248    3.3156579357147216    1.92857142857    3
4    1562336878.23    1562336878.23    2.19345092773e-05    8    8.6462    69.1696    8.646221934509278    1.92857142857    3
5    1562336878.25    1562336878.25    -0.00251507759094    8    24.0379    192.3032    24.035384922409058    1.92857142857    3
