#timestep  occupied-CPU  total-CPU  utilization  queuingjobs
1    16    1024    0.015625    1
2    144    1024    0.140625    0
3    80    1024    0.078125    0
4    120    1024    0.1171875    0
5    128    1024    0.125    0
6    476    1024    0.46484375    4
7    236    1024    0.23046875    0
8    176    1024    0.171875    0
9    56    1024    0.0546875    0
10    56    1024    0.0546875    0
11    56    1024    0.0546875    0
12    72    1024    0.0703125    0
13    204    1024    0.19921875    0
14    200    1024    0.1953125    0
15    238    1024    0.232421875    0
16    196    1024    0.19140625    0
17    140    1024    0.13671875    0
18    160    1024    0.15625    1
19    243    1024    0.2373046875    2
20    74    1024    0.072265625    0
21    106    1024    0.103515625    0
22    74    1024    0.072265625    0
23    64    1024    0.0625    0
24    64    1024    0.0625    0
25    64    1024    0.0625    0
26    0    1024    0.0    0
27    0    1024    0.0    0
28    0    1024    0.0    0
29    10    1024    0.009765625    0
30    8    1024    0.0078125    0
31    8    1024    0.0078125    0
32    0    1024    0.0    0
33    0    1024    0.0    0
34    0    1024    0.0    0
35    0    1024    0.0    0
36    0    1024    0.0    0
37    0    1024    0.0    0
38    349    1024    0.3408203125    1
39    128    1024    0.125    0
40    226    1024    0.220703125    0
41    316    1024    0.30859375    0
42    278    1024    0.271484375    0
43    248    1024    0.2421875    0
44    128    1024    0.125    0
45    188    1024    0.18359375    0
46    208    1024    0.203125    0
47    178    1024    0.173828125    0
48    158    1024    0.154296875    0
49    88    1024    0.0859375    0
50    88    1024    0.0859375    0
51    73    1024    0.0712890625    0
52    60    1024    0.05859375    0
53    60    1024    0.05859375    0
54    20    1024    0.01953125    0
55    16    1024    0.015625    0
56    24    1024    0.0234375    0
57    0    1024    0.0    0
58    27    1024    0.0263671875    0
59    24    1024    0.0234375    0
60    24    1024    0.0234375    0
61    0    1024    0.0    0
62    0    1024    0.0    0
63    0    1024    0.0    0
64    28    1024    0.02734375    0
65    8    1024    0.0078125    0
66    0    1024    0.0    0
67    52    1024    0.05078125    0
68    36    1024    0.03515625    0
69    0    1024    0.0    0
70    0    1024    0.0    0
71    0    1024    0.0    0
72    64    1024    0.0625    0
73    0    1024    0.0    0
74    0    1024    0.0    0
75    0    1024    0.0    0
76    0    1024    0.0    0
77    0    1024    0.0    0
78    0    1024    0.0    0
79    0    1024    0.0    0
80    0    1024    0.0    0
81    0    1024    0.0    0
82    0    1024    0.0    0
83    0    1024    0.0    0
84    0    1024    0.0    0
85    0    1024    0.0    0
86    0    1024    0.0    0
87    0    1024    0.0    0
88    0    1024    0.0    0
89    0    1024    0.0    0
90    0    1024    0.0    0
91    0    1024    0.0    0
92    0    1024    0.0    0
93    0    1024    0.0    0
94    0    1024    0.0    0
95    0    1024    0.0    0
96    0    1024    0.0    0
97    0    1024    0.0    0
98    0    1024    0.0    0
99    60    1024    0.05859375    0
100    60    1024    0.05859375    0
101    30    1024    0.029296875    0
102    32    1024    0.03125    0
103    24    1024    0.0234375    0
104    24    1024    0.0234375    0
105    24    1024    0.0234375    0
106    24    1024    0.0234375    0
107    236    1024    0.23046875    0
108    96    1024    0.09375    0
109    100    1024    0.09765625    1
110    87    1024    0.0849609375    0
111    48    1024    0.046875    0
112    8    1024    0.0078125    0
113    8    1024    0.0078125    0
114    8    1024    0.0078125    0
115    8    1024    0.0078125    0
116    120    1024    0.1171875    0
117    236    1024    0.23046875    0
118    288    1024    0.28125    2
119    216    1024    0.2109375    0
120    128    1024    0.125    0
121    16    1024    0.015625    0
122    128    1024    0.125    0
123    172    1024    0.16796875    0
124    212    1024    0.20703125    0
125    104    1024    0.1015625    0
126    108    1024    0.10546875    0
127    108    1024    0.10546875    0
128    48    1024    0.046875    0
129    152    1024    0.1484375    1
130    262    1024    0.255859375    0
131    132    1024    0.12890625    0
132    104    1024    0.1015625    0
133    40    1024    0.0390625    0
134    60    1024    0.05859375    0
135    68    1024    0.06640625    0
136    239    1024    0.2333984375    1
137    184    1024    0.1796875    1
138    192    1024    0.1875    0
139    228    1024    0.22265625    0
140    228    1024    0.22265625    0
141    156    1024    0.15234375    0
142    112    1024    0.109375    0
143    364    1024    0.35546875    0
144    340    1024    0.33203125    0
145    372    1024    0.36328125    2
146    370    1024    0.361328125    0
147    360    1024    0.3515625    0
148    244    1024    0.23828125    0
149    136    1024    0.1328125    0
150    44    1024    0.04296875    0
151    44    1024    0.04296875    0
152    112    1024    0.109375    0
153    66    1024    0.064453125    0
154    66    1024    0.064453125    0
155    58    1024    0.056640625    0
156    12    1024    0.01171875    0
157    12    1024    0.01171875    0
158    8    1024    0.0078125    0
159    8    1024    0.0078125    0
160    8    1024    0.0078125    0
