#timestep  occupied-CPU  total-CPU  utilization  queuingjobs
1    0    1024    0.0    1
2    4    1024    0.00390625    8
3    0    1024    0.0    15
4    0    1024    0.0    17
5    0    1024    0.0    29
6    0    1024    0.0    29
7    0    1024    0.0    38
8    256    1024    0.25    46
9    0    1024    0.0    61
10    16    1024    0.015625    59
11    0    1024    0.0    68
12    100    1024    0.09765625    56
13    0    1024    0.0    63
14    0    1024    0.0    70
15    0    1024    0.0    83
16    0    1024    0.0    93
17    0    1024    0.0    105
18    0    1024    0.0    109
19    0    1024    0.0    118
20    256    1024    0.25    124
21    0    1024    0.0    133
22    4    1024    0.00390625    140
23    0    1024    0.0    148
24    20    1024    0.01953125    155
25    0    1024    0.0    165
26    0    1024    0.0    174
27    136    1024    0.1328125    167
28    0    1024    0.0    179
29    256    1024    0.25    189
30    0    1024    0.0    198
31    0    1024    0.0    202
32    0    1024    0.0    209
33    0    1024    0.0    222
34    272    1024    0.265625    225
35    0    1024    0.0    237
36    0    1024    0.0    245
37    0    1024    0.0    253
38    0    1024    0.0    259
39    0    1024    0.0    265
40    0    1024    0.0    281
41    260    1024    0.25390625    290
42    0    1024    0.0    306
43    0    1024    0.0    313
44    0    1024    0.0    325
45    0    1024    0.0    333
46    0    1024    0.0    345
47    0    1024    0.0    349
48    0    1024    0.0    355
49    16    1024    0.015625    357
50    0    1024    0.0    370
51    0    1024    0.0    377
52    0    1024    0.0    388
53    0    1024    0.0    400
54    0    1024    0.0    403
55    0    1024    0.0    412
56    84    1024    0.08203125    420
57    0    1024    0.0    419
58    0    1024    0.0    432
59    136    1024    0.1328125    435
60    0    1024    0.0    442
61    0    1024    0.0    451
62    0    1024    0.0    458
63    352    1024    0.34375    472
64    0    1024    0.0    481
65    320    1024    0.3125    488
66    0    1024    0.0    497
67    273    1024    0.2666015625    501
68    0    1024    0.0    511
69    0    1024    0.0    521
70    64    1024    0.0625    523
71    0    1024    0.0    532
72    256    1024    0.25    540
73    0    1024    0.0    550
74    256    1024    0.25    549
75    0    1024    0.0    559
76    256    1024    0.25    564
77    0    1024    0.0    574
78    264    1024    0.2578125    573
79    4    1024    0.00390625    585
80    0    1024    0.0    594
81    0    1024    0.0    604
82    0    1024    0.0    611
83    80    1024    0.078125    609
84    0    1024    0.0    627
85    0    1024    0.0    639
86    80    1024    0.078125    635
87    0    1024    0.0    645
88    256    1024    0.25    655
89    0    1024    0.0    671
90    0    1024    0.0    682
91    0    1024    0.0    695
92    272    1024    0.265625    706
93    80    1024    0.078125    694
94    0    1024    0.0    703
95    0    1024    0.0    716
96    0    1024    0.0    725
97    0    1024    0.0    738
98    68    1024    0.06640625    734
99    0    1024    0.0    745
100    0    1024    0.0    760
101    0    1024    0.0    759
102    0    1024    0.0    759
103    0    1024    0.0    754
104    232    1024    0.2265625    753
105    0    1024    0.0    747
106    0    1024    0.0    747
107    0    1024    0.0    744
108    0    1024    0.0    744
109    68    1024    0.06640625    738
110    0    1024    0.0    738
111    68    1024    0.06640625    734
112    0    1024    0.0    734
113    0    1024    0.0    733
114    0    1024    0.0    733
115    20    1024    0.01953125    728
116    0    1024    0.0    728
117    16    1024    0.015625    725
118    0    1024    0.0    725
119    388    1024    0.37890625    716
120    0    1024    0.0    716
121    272    1024    0.265625    713
122    0    1024    0.0    711
123    256    1024    0.25    710
124    0    1024    0.0    709
125    0    1024    0.0    709
126    0    1024    0.0    707
127    0    1024    0.0    707
128    18    1024    0.017578125    704
129    0    1024    0.0    704
130    16    1024    0.015625    702
131    0    1024    0.0    702
132    256    1024    0.25    698
133    0    1024    0.0    698
134    24    1024    0.0234375    690
135    0    1024    0.0    690
136    256    1024    0.25    689
137    80    1024    0.078125    683
138    0    1024    0.0    683
139    256    1024    0.25    682
140    0    1024    0.0    682
141    0    1024    0.0    681
142    0    1024    0.0    681
143    0    1024    0.0    680
144    0    1024    0.0    680
145    260    1024    0.25390625    677
146    0    1024    0.0    677
147    0    1024    0.0    675
148    0    1024    0.0    675
149    256    1024    0.25    674
150    0    1024    0.0    674
151    320    1024    0.3125    671
152    0    1024    0.0    670
153    0    1024    0.0    670
154    0    1024    0.0    668
155    0    1024    0.0    668
156    221    1024    0.2158203125    664
157    0    1024    0.0    664
158    84    1024    0.08203125    659
159    0    1024    0.0    659
160    260    1024    0.25390625    657
161    0    1024    0.0    657
162    256    1024    0.25    656
163    0    1024    0.0    656
164    20    1024    0.01953125    649
165    0    1024    0.0    647
166    0    1024    0.0    647
167    0    1024    0.0    642
168    0    1024    0.0    642
169    0    1024    0.0    641
170    0    1024    0.0    641
171    272    1024    0.265625    637
172    0    1024    0.0    637
173    64    1024    0.0625    633
174    0    1024    0.0    633
175    0    1024    0.0    632
176    0    1024    0.0    632
177    256    1024    0.25    631
178    0    1024    0.0    631
179    64    1024    0.0625    627
180    0    1024    0.0    627
181    24    1024    0.0234375    618
182    0    1024    0.0    618
183    384    1024    0.375    613
184    0    1024    0.0    613
185    4    1024    0.00390625    605
186    0    1024    0.0    605
187    256    1024    0.25    604
188    0    1024    0.0    604
189    0    1024    0.0    600
190    0    1024    0.0    600
191    279    1024    0.2724609375    594
192    0    1024    0.0    594
193    268    1024    0.26171875    588
194    4    1024    0.00390625    588
195    0    1024    0.0    587
196    72    1024    0.0703125    575
197    0    1024    0.0    575
198    4    1024    0.00390625    573
199    0    1024    0.0    573
200    91    1024    0.0888671875    572
201    0    1024    0.0    572
202    352    1024    0.34375    565
203    0    1024    0.0    564
204    256    1024    0.25    563
205    0    1024    0.0    562
206    0    1024    0.0    561
207    68    1024    0.06640625    559
208    0    1024    0.0    559
209    144    1024    0.140625    539
210    16    1024    0.015625    535
211    0    1024    0.0    535
212    20    1024    0.01953125    530
213    0    1024    0.0    530
214    64    1024    0.0625    525
215    0    1024    0.0    525
216    260    1024    0.25390625    519
217    0    1024    0.0    519
218    4    1024    0.00390625    514
219    132    1024    0.12890625    506
220    0    1024    0.0    506
221    344    1024    0.3359375    498
222    0    1024    0.0    490
223    0    1024    0.0    490
224    320    1024    0.3125    487
225    0    1024    0.0    485
226    0    1024    0.0    484
227    0    1024    0.0    482
228    0    1024    0.0    482
229    96    1024    0.09375    469
