#timestep  occupied-CPU  total-CPU  utilization  queuingjobs
1    4    1024    0.00390625    0
2    4    1024    0.00390625    8
3    0    1024    0.0    15
4    0    1024    0.0    24
5    72    1024    0.0703125    30
6    0    1024    0.0    38
7    0    1024    0.0    47
8    0    1024    0.0    57
9    272    1024    0.265625    66
10    0    1024    0.0    70
11    0    1024    0.0    79
12    0    1024    0.0    80
13    256    1024    0.25    86
14    0    1024    0.0    94
15    0    1024    0.0    107
16    256    1024    0.25    116
17    0    1024    0.0    122
18    0    1024    0.0    132
19    0    1024    0.0    141
20    256    1024    0.25    146
21    164    1024    0.16015625    143
22    0    1024    0.0    154
23    0    1024    0.0    162
24    0    1024    0.0    172
25    256    1024    0.25    181
26    0    1024    0.0    190
27    0    1024    0.0    199
28    0    1024    0.0    210
29    192    1024    0.1875    220
30    0    1024    0.0    229
31    0    1024    0.0    233
32    0    1024    0.0    243
33    0    1024    0.0    252
34    0    1024    0.0    260
35    0    1024    0.0    271
36    0    1024    0.0    284
37    0    1024    0.0    292
38    0    1024    0.0    299
39    0    1024    0.0    304
40    0    1024    0.0    321
41    4    1024    0.00390625    328
42    0    1024    0.0    343
43    0    1024    0.0    357
44    0    1024    0.0    368
45    20    1024    0.01953125    374
46    0    1024    0.0    386
47    0    1024    0.0    392
48    0    1024    0.0    398
49    356    1024    0.34765625    404
50    68    1024    0.06640625    408
51    0    1024    0.0    416
52    0    1024    0.0    428
53    0    1024    0.0    440
54    0    1024    0.0    442
55    0    1024    0.0    451
56    0    1024    0.0    469
57    0    1024    0.0    478
58    0    1024    0.0    488
59    0    1024    0.0    500
60    0    1024    0.0    507
61    0    1024    0.0    517
62    13    1024    0.0126953125    519
63    0    1024    0.0    538
64    0    1024    0.0    547
65    0    1024    0.0    556
66    0    1024    0.0    561
67    0    1024    0.0    569
68    0    1024    0.0    582
69    0    1024    0.0    591
70    0    1024    0.0    596
71    0    1024    0.0    604
72    0    1024    0.0    614
73    0    1024    0.0    624
74    260    1024    0.25390625    626
75    0    1024    0.0    635
76    0    1024    0.0    642
77    0    1024    0.0    652
78    20    1024    0.01953125    652
79    0    1024    0.0    666
80    0    1024    0.0    675
81    0    1024    0.0    687
82    0    1024    0.0    693
83    0    1024    0.0    702
84    0    1024    0.0    720
85    0    1024    0.0    732
86    0    1024    0.0    735
87    0    1024    0.0    744
88    0    1024    0.0    757
89    0    1024    0.0    773
90    75    1024    0.0732421875    781
91    0    1024    0.0    788
92    0    1024    0.0    801
93    0    1024    0.0    807
94    0    1024    0.0    816
95    0    1024    0.0    826
96    0    1024    0.0    839
97    0    1024    0.0    852
98    0    1024    0.0    857
99    256    1024    0.25    867
100    0    1024    0.0    882
101    0    1024    0.0    882
102    0    1024    0.0    882
103    20    1024    0.01953125    873
104    164    1024    0.16015625    863
105    0    1024    0.0    863
106    0    1024    0.0    863
107    0    1024    0.0    863
108    67    1024    0.0654296875    859
109    68    1024    0.06640625    853
110    0    1024    0.0    853
111    0    1024    0.0    853
112    0    1024    0.0    853
113    0    1024    0.0    852
114    0    1024    0.0    852
115    0    1024    0.0    852
116    0    1024    0.0    852
117    64    1024    0.0625    847
118    0    1024    0.0    847
119    0    1024    0.0    847
120    272    1024    0.265625    845
121    0    1024    0.0    843
122    0    1024    0.0    843
123    0    1024    0.0    843
124    0    1024    0.0    843
125    0    1024    0.0    837
126    0    1024    0.0    837
127    0    1024    0.0    837
128    0    1024    0.0    837
129    64    1024    0.0625    834
130    0    1024    0.0    834
131    0    1024    0.0    834
132    0    1024    0.0    834
133    0    1024    0.0    832
134    0    1024    0.0    832
135    0    1024    0.0    832
136    0    1024    0.0    832
137    0    1024    0.0    828
138    0    1024    0.0    828
139    0    1024    0.0    828
140    256    1024    0.25    827
141    0    1024    0.0    826
142    0    1024    0.0    826
143    0    1024    0.0    826
144    0    1024    0.0    826
145    8    1024    0.0078125    817
146    0    1024    0.0    817
147    0    1024    0.0    817
148    0    1024    0.0    817
149    320    1024    0.3125    815
150    0    1024    0.0    815
151    0    1024    0.0    815
152    0    1024    0.0    815
153    0    1024    0.0    815
154    80    1024    0.078125    804
155    0    1024    0.0    804
156    0    1024    0.0    804
157    0    1024    0.0    804
158    0    1024    0.0    804
159    80    1024    0.078125    795
160    0    1024    0.0    795
161    0    1024    0.0    795
162    0    1024    0.0    795
163    0    1024    0.0    795
164    0    1024    0.0    793
165    0    1024    0.0    793
166    0    1024    0.0    793
167    0    1024    0.0    793
168    0    1024    0.0    792
169    0    1024    0.0    792
170    0    1024    0.0    792
171    0    1024    0.0    792
172    4    1024    0.00390625    781
173    16    1024    0.015625    772
174    0    1024    0.0    772
175    0    1024    0.0    772
176    0    1024    0.0    772
177    272    1024    0.265625    769
178    0    1024    0.0    769
179    0    1024    0.0    769
180    0    1024    0.0    769
181    272    1024    0.265625    766
182    68    1024    0.06640625    760
183    0    1024    0.0    760
184    0    1024    0.0    760
185    0    1024    0.0    760
186    256    1024    0.25    759
187    0    1024    0.0    759
188    0    1024    0.0    759
189    0    1024    0.0    759
190    272    1024    0.265625    754
191    0    1024    0.0    754
192    0    1024    0.0    754
193    0    1024    0.0    754
194    208    1024    0.203125    747
195    0    1024    0.0    747
196    0    1024    0.0    747
197    0    1024    0.0    747
198    256    1024    0.25    744
199    0    1024    0.0    744
200    0    1024    0.0    744
201    0    1024    0.0    744
202    84    1024    0.08203125    739
203    64    1024    0.0625    738
204    0    1024    0.0    738
205    0    1024    0.0    738
206    0    1024    0.0    738
207    68    1024    0.06640625    734
208    0    1024    0.0    734
209    0    1024    0.0    734
210    0    1024    0.0    734
211    0    1024    0.0    733
212    0    1024    0.0    733
213    0    1024    0.0    733
214    0    1024    0.0    733
215    0    1024    0.0    733
216    0    1024    0.0    728
217    0    1024    0.0    728
218    0    1024    0.0    728
219    0    1024    0.0    728
220    16    1024    0.015625    725
221    0    1024    0.0    725
222    0    1024    0.0    725
223    0    1024    0.0    725
224    353    1024    0.3447265625    716
225    0    1024    0.0    716
226    0    1024    0.0    716
227    0    1024    0.0    716
228    272    1024    0.265625    714
229    0    1024    0.0    711
230    0    1024    0.0    711
231    0    1024    0.0    711
232    0    1024    0.0    711
233    256    1024    0.25    709
234    0    1024    0.0    709
235    0    1024    0.0    709
236    0    1024    0.0    709
237    0    1024    0.0    707
238    0    1024    0.0    707
239    0    1024    0.0    707
240    0    1024    0.0    707
241    64    1024    0.0625    705
242    0    1024    0.0    704
243    0    1024    0.0    704
244    0    1024    0.0    704
245    0    1024    0.0    704
246    0    1024    0.0    702
247    0    1024    0.0    702
248    0    1024    0.0    702
249    288    1024    0.28125    698
250    0    1024    0.0    698
251    0    1024    0.0    698
252    0    1024    0.0    698
253    20    1024    0.01953125    697
254    4    1024    0.00390625    690
255    0    1024    0.0    690
256    0    1024    0.0    690
257    0    1024    0.0    690
258    0    1024    0.0    686
259    0    1024    0.0    683
260    0    1024    0.0    683
261    0    1024    0.0    683
262    0    1024    0.0    683
263    256    1024    0.25    682
264    0    1024    0.0    682
265    0    1024    0.0    682
266    0    1024    0.0    682
267    0    1024    0.0    681
268    0    1024    0.0    681
269    0    1024    0.0    681
270    0    1024    0.0    681
271    0    1024    0.0    680
