#timestep  occupied-CPU  total-CPU  utilization  queuingjobs
1    0    1024    0.0    1
2    128    1024    0.125    2
3    256    1024    0.25    0
4    10    1024    0.009765625    1
5    48    1024    0.046875    1
6    64    1024    0.0625    0
7    47    1024    0.0458984375    15
8    0    1024    0.0    0
9    32    1024    0.03125    0
10    128    1024    0.125    0
11    0    1024    0.0    0
12    0    1024    0.0    0
13    0    1024    0.0    0
14    16    1024    0.015625    0
15    16    1024    0.015625    0
16    37    1024    0.0361328125    0
17    19    1024    0.0185546875    10
18    0    1024    0.0    2
19    0    1024    0.0    0
20    0    1024    0.0    3
21    0    1024    0.0    0
22    0    1024    0.0    0
23    0    1024    0.0    0
24    0    1024    0.0    0
25    1    1024    0.0009765625    0
26    32    1024    0.03125    0
27    128    1024    0.125    0
28    32    1024    0.03125    0
29    0    1024    0.0    4
30    64    1024    0.0625    1
31    121    1024    0.1181640625    20
32    16    1024    0.015625    1
33    64    1024    0.0625    1
34    70    1024    0.068359375    2
35    0    1024    0.0    0
36    0    1024    0.0    4
37    64    1024    0.0625    0
38    0    1024    0.0    2
39    104    1024    0.1015625    2
40    35    1024    0.0341796875    30
41    74    1024    0.072265625    1
42    8    1024    0.0078125    1
43    80    1024    0.078125    0
44    0    1024    0.0    1
45    128    1024    0.125    0
46    0    1024    0.0    0
47    68    1024    0.06640625    0
48    37    1024    0.0361328125    22
49    0    1024    0.0    21
50    64    1024    0.0625    37
51    128    1024    0.125    0
52    64    1024    0.0625    0
53    16    1024    0.015625    0
54    128    1024    0.125    0
55    64    1024    0.0625    0
56    64    1024    0.0625    2
57    96    1024    0.09375    19
58    8    1024    0.0078125    31
59    120    1024    0.1171875    23
60    0    1024    0.0    0

average cpu utilization is: 0.043603515625
average ssd utilization is: 0.0
average gpu utilization is: 0.0
average utilization is: 0.0145345052083
average queuing jobs are: 4.33333333333
maximum queuing jobs are: 37


#job_number  submit  dispatch  queue  cpu#  runtime  weight  response(turnaround)  cpu_aspl  cpu_diameter
0    1563438012.96    1563438017.61    4.65199995041    128    0.1451    18.5728    4.79709995041    4.73019192913    9
1    1563438017.42    1563438017.99    0.56299996376    128    0.3726    47.6928    0.93559996376    4.89603838583    9
2    1563438017.8    1563438018.35    0.549000024796    128    0.1067    13.6576    0.655700024796    4.73019192913    9
3    1563438017.91    1563438018.68    0.773000001907    128    1.0927    139.8656    1.86570000191    4.72699311024    9
4    1563438019.0    1563438019.32    0.319999933243    128    0.2927    37.4656    0.612699933243    4.73019192913    9
5    1563438019.84    1563438019.84    0.0    1    0.001    0.001    0.001    1.0    2
6    1563438019.95    1563438019.97    0.0260000228882    32    0.0716    2.2912    0.0976000228882    3.01008064516    5
7    1563438020.02    1563438020.02    0.0    1    0.0007    0.0007    0.0007    1.0    2
8    1563438020.09    1563438020.09    0.0    2    0.0069    0.0138    0.0069    1.0    2
9    1563438020.09    1563438020.09    0.000999927520752    1    0.0009    0.0009    0.00189992752075    1.0    2
10    1563438020.1    1563438020.1    0.0    1    0.0009    0.0009    0.0009    1.0    2
11    1563438020.12    1563438020.12    0.0    1    0.0884    0.0884    0.0884    1.0    2
12    1563438020.25    1563438020.27    0.0199999809265    32    0.0075    0.24    0.0274999809265    3.01008064516    5
13    1563438020.26    1563438020.27    0.0120000839233    1    0.0015    0.0015    0.0135000839233    1.0    2
14    1563438020.33    1563438020.35    0.0190000534058    32    0.0176    0.5632    0.0366000534058    3.01008064516    5
15    1563438020.36    1563438020.39    0.0350000858307    32    0.016    0.512    0.0510000858307    3.01008064516    5
16    1563438020.39    1563438020.42    0.0209999084473    32    0.0229    0.7328    0.0438999084473    3.01008064516    5
17    1563438020.43    1563438020.44    0.00100016593933    4    0.0054    0.0216    0.00640016593933    1.5    2
18    1563438020.44    1563438020.46    0.0210001468658    32    0.0237    0.7584    0.0447001468658    3.07056451613    5
19    1563438020.47    1563438020.47    0.0    4    0.0049    0.0196    0.0049    1.5    2
20    1563438020.49    1563438020.51    0.0199999809265    32    0.0104    0.3328    0.0303999809265    3.01008064516    5
21    1563438020.49    1563438020.51    0.0210001468658    4    0.0057    0.0228    0.0267001468658    1.5    2
22    1563438020.5    1563438020.52    0.0239999294281    16    0.0019    0.0304    0.0258999294281    2.36666666667    4
23    1563438020.5    1563438020.52    0.0209999084473    1    0.0007    0.0007    0.0216999084473    1.0    2
24    1563438020.52    1563438020.55    0.029000043869    32    0.0181    0.5792    0.047100043869    3.01008064516    5
25    1563438020.54    1563438020.57    0.0269999504089    32    0.0143    0.4576    0.0412999504089    3.01008064516    5
26    1563438020.56    1563438020.57    0.010999917984    1    0.0007    0.0007    0.011699917984    1.0    2
27    1563438020.56    1563438020.57    0.00999999046326    4    0.0059    0.0236    0.0158999904633    1.5    2
28    1563438020.57    1563438020.58    0.00999999046326    16    0.4034    6.4544    0.413399990463    2.36666666667    4
29    1563438020.59    1563438020.59    0.0    1    0.0014    0.0014    0.0014    1.0    2
30    1563438020.62    1563438020.62    0.0    4    0.0051    0.0204    0.0051    1.5    2
31    1563438020.63    1563438020.63    0.0    1    0.001    0.001    0.001    1.0    2
32    1563438020.64    1563438020.64    0.000999927520752    4    0.0052    0.0208    0.00619992752075    1.5    2
33    1563438020.69    1563438020.71    0.0209999084473    32    0.0147    0.4704    0.0356999084473    3.01008064516    5
34    1563438020.7    1563438020.71    0.00600004196167    1    0.0019    0.0019    0.00790004196167    1.0    2
35    1563438020.7    1563438020.71    0.00500011444092    4    0.006    0.024    0.0110001144409    1.5    2
36    1563438020.77    1563438020.77    0.0    4    0.0021    0.0084    0.0021    1.5    2
37    1563438020.77    1563438020.79    0.0190000534058    32    0.02    0.64    0.0390000534058    3.01008064516    5
38    1563438020.78    1563438020.8    0.0120000839233    4    0.0035    0.014    0.0155000839233    1.5    2
39    1563438020.8    1563438020.8    0.0    1    0.0008    0.0008    0.0008    1.0    2
40    1563438020.82    1563438020.84    0.0220000743866    32    0.0732    2.3424    0.0952000743866    3.01008064516    5
41    1563438020.86    1563438020.86    0.0    1    0.0007    0.0007    0.0007    1.0    2
42    1563438020.89    1563438020.89    0.0    4    0.0063    0.0252    0.0063    1.5    2
43    1563438020.89    1563438020.89    0.0    1    0.001    0.001    0.001    1.0    2
44    1563438020.9    1563438020.93    0.0259997844696    32    0.0727    2.3264    0.0986997844696    3.07056451613    5
45    1563438020.94    1563438020.94    0.0    4    0.0053    0.0212    0.0053    1.5    2
46    1563438020.95    1563438020.97    0.0190000534058    32    0.012    0.384    0.0310000534058    3.01008064516    5
47    1563438020.96    1563438020.98    0.0210001468658    16    0.0133    0.2128    0.0343001468658    2.36666666667    4
48    1563438020.98    1563438020.98    0.000999927520752    1    0.0008    0.0008    0.00179992752075    1.0    2
49    1563438020.99    1563438021.02    0.0280001163483    32    0.0166    0.5312    0.0446001163483    3.01008064516    5
50    1563438021.01    1563438021.04    0.0300002098083    32    0.0785    2.512    0.108500209808    3.01008064516    5
51    1563438021.02    1563438021.04    0.0289998054504    16    0.0151    0.2416    0.0440998054504    2.36666666667    4
52    1563438021.02    1563438021.05    0.029000043869    4    0.029    0.116    0.058000043869    1.5    2
