#timestep  occupied-CPU  total-CPU  utilization  queuingjobs
1    0    1024    0.0    1
2    128    1024    0.125    2
3    128    1024    0.125    1
4    31    1024    0.0302734375    1
5    16    1024    0.015625    16
6    11    1024    0.0107421875    37
7    64    1024    0.0625    49
8    0    1024    0.0    38
9    36    1024    0.03515625    20
10    64    1024    0.0625    1
11    144    1024    0.140625    0
12    0    1024    0.0    0
13    0    1024    0.0    0
14    16    1024    0.015625    0
15    16    1024    0.015625    0
16    0    1024    0.0    1
17    0    1024    0.0    12
18    0    1024    0.0    10
19    0    1024    0.0    3
20    128    1024    0.125    5
21    0    1024    0.0    3
22    0    1024    0.0    14
23    16    1024    0.015625    0
24    0    1024    0.0    0
25    3    1024    0.0029296875    1
26    32    1024    0.03125    0
27    0    1024    0.0    1
28    34    1024    0.033203125    0
29    0    1024    0.0    8
30    94    1024    0.091796875    1
31    0    1024    0.0    23
32    1    1024    0.0009765625    38
33    16    1024    0.015625    45
34    7    1024    0.0068359375    44
35    64    1024    0.0625    16
36    0    1024    0.0    5
37    96    1024    0.09375    0
38    0    1024    0.0    6
39    96    1024    0.09375    20
40    35    1024    0.0341796875    47
41    32    1024    0.03125    77
42    70    1024    0.068359375    66
43    41    1024    0.0400390625    46
44    97    1024    0.0947265625    19
45    86    1024    0.083984375    2
46    128    1024    0.125    0
47    68    1024    0.06640625    3
48    59    1024    0.0576171875    44
49    0    1024    0.0    56
50    64    1024    0.0625    86
51    4    1024    0.00390625    82
52    0    1024    0.0    62
53    20    1024    0.01953125    37
54    65    1024    0.0634765625    20
55    144    1024    0.140625    3
56    192    1024    0.1875    2
57    0    1024    0.0    40
58    9    1024    0.0087890625    56
59    0    1024    0.0    85
60    26    1024    0.025390625    59
61    0    1024    0.0    35
62    0    1024    0.0    9

average cpu utilization is: 0.0375031502016
average ssd utilization is: 0.0
average gpu utilization is: 0.0
average utilization is: 0.0125010500672
average queuing jobs are: 21.9032258065
maximum queuing jobs are: 86


#job_number  submit  dispatch  queue  cpu#  runtime  weight  response(turnaround)  cpu_aspl  cpu_diameter
0    1563438113.96    1563438120.87    6.90000009537    128    0.1451    18.5728    7.04510009537    3.6781496063    6
1    1563438120.55    1563438121.36    0.811000108719    128    0.3726    47.6928    1.18360010872    3.71062992126    6
2    1563438120.93    1563438121.84    0.912000179291    128    0.1067    13.6576    1.01870017929    3.6781496063    6
3    1563438121.04    1563438122.38    1.34400010109    128    1.0927    139.8656    2.43670010109    3.71062992126    6
4    1563438122.13    1563438122.84    0.713000059128    128    0.2927    37.4656    1.00570005913    3.6781496063    6
5    1563438122.97    1563438122.98    0.0130000114441    1    0.001    0.001    0.0140000114441    1.0    2
6    1563438123.08    1563438123.13    0.0550000667572    32    0.0716    2.2912    0.126600066757    2.71774193548    4
7    1563438123.15    1563438123.16    0.0140001773834    1    0.0007    0.0007    0.0147001773834    1.0    2
8    1563438123.21    1563438123.23    0.0169999599457    2    0.0069    0.0138    0.0238999599457    1.0    2
9    1563438123.21    1563438123.25    0.0340001583099    1    0.0009    0.0009    0.0349001583099    1.0    2
10    1563438123.22    1563438123.27    0.0450000762939    1    0.0009    0.0009    0.0459000762939    1.0    2
11    1563438123.24    1563438123.28    0.0369999408722    1    0.0884    0.0884    0.125399940872    1.0    2
12    1563438123.37    1563438123.41    0.0339999198914    32    0.0075    0.24    0.0414999198914    2.66935483871    4
13    1563438123.38    1563438123.42    0.0410001277924    1    0.0015    0.0015    0.0425001277924    1.0    2
14    1563438123.45    1563438123.49    0.039999961853    32    0.0176    0.5632    0.057599961853    2.66935483871    4
15    1563438123.48    1563438123.55    0.0710000991821    32    0.016    0.512    0.0870000991821    2.66935483871    4
16    1563438123.52    1563438123.59    0.0759999752045    32    0.0229    0.7328    0.0988999752045    2.66935483871    4
17    1563438123.56    1563438123.61    0.0529999732971    4    0.0054    0.0216    0.0583999732971    1.5    2
18    1563438123.56    1563438123.65    0.0940001010895    32    0.0237    0.7584    0.117700101089    2.66935483871    4
19    1563438123.59    1563438123.67    0.0759999752045    4    0.0049    0.0196    0.0808999752045    1.5    2
20    1563438123.61    1563438123.71    0.0999999046326    32    0.0104    0.3328    0.110399904633    2.66935483871    4
21    1563438123.61    1563438123.73    0.115999937057    4    0.0057    0.0228    0.121699937057    1.5    2
22    1563438123.62    1563438123.75    0.131000041962    16    0.0019    0.0304    0.132900041962    2.16666666667    3
23    1563438123.62    1563438123.77    0.143000125885    1    0.0007    0.0007    0.143700125885    1.0    2
