#timestep  occupied-CPU  total-CPU  utilization  queuingjobs
1    0    1024    0.0    1
2    64    1024    0.0625    0
3    0    1024    0.0    0
4    0    1024    0.0    0
5    0    1024    0.0    0
6    0    1024    0.0    0
7    0    1024    0.0    0
8    0    1024    0.0    0
9    0    1024    0.0    0
10    0    1024    0.0    0
11    0    1024    0.0    0
12    0    1024    0.0    0
13    0    1024    0.0    0
14    0    1024    0.0    0
15    0    1024    0.0    0
16    0    1024    0.0    0
17    0    1024    0.0    0
18    0    1024    0.0    1
19    128    1024    0.125    0
20    128    1024    0.125    0
21    128    1024    0.125    0
22    128    1024    0.125    0
23    0    1024    0.0    0
24    0    1024    0.0    0
25    0    1024    0.0    0
26    0    1024    0.0    3
27    256    1024    0.25    2
28    448    1024    0.4375    0
29    448    1024    0.4375    0
30    256    1024    0.25    0
31    2    1024    0.001953125    0
32    2    1024    0.001953125    0
33    18    1024    0.017578125    0
34    88    1024    0.0859375    1
35    128    1024    0.125    0
36    144    1024    0.140625    0
37    0    1024    0.0    0
38    0    1024    0.0    0
39    224    1024    0.21875    3
40    320    1024    0.3125    0
41    320    1024    0.3125    0
42    320    1024    0.3125    0
43    288    1024    0.28125    7
44    288    1024    0.28125    16
45    480    1024    0.46875    18
46    654    1024    0.638671875    20
47    546    1024    0.533203125    13
48    752    1024    0.734375    12
49    528    1024    0.515625    20
50    458    1024    0.447265625    0
51    181    1024    0.1767578125    5
52    50    1024    0.048828125    11
53    2    1024    0.001953125    36
54    104    1024    0.1015625    47
55    240    1024    0.234375    41
56    190    1024    0.185546875    25
57    222    1024    0.216796875    0
58    190    1024    0.185546875    0
59    94    1024    0.091796875    0
60    206    1024    0.201171875    1
61    206    1024    0.201171875    1
62    190    1024    0.185546875    0
63    632    1024    0.6171875    3
64    560    1024    0.546875    0
65    512    1024    0.5    1
66    481    1024    0.4697265625    0
67    136    1024    0.1328125    9
68    158    1024    0.154296875    11
69    414    1024    0.404296875    34
70    470    1024    0.458984375    4
71    302    1024    0.294921875    36
72    64    1024    0.0625    50
73    54    1024    0.052734375    34
74    288    1024    0.28125    27
75    125    1024    0.1220703125    0
76    0    1024    0.0    2
77    32    1024    0.03125    0
78    96    1024    0.09375    1
79    225    1024    0.2197265625    2
80    368    1024    0.359375    2
81    368    1024    0.359375    0
82    256    1024    0.25    0
83    160    1024    0.15625    0
84    160    1024    0.15625    0
85    32    1024    0.03125    3
86    320    1024    0.3125    0
87    448    1024    0.4375    0
88    512    1024    0.5    4
89    608    1024    0.59375    11
90    735    1024    0.7177734375    9
91    658    1024    0.642578125    0
92    434    1024    0.423828125    0
93    160    1024    0.15625    0
94    32    1024    0.03125    1
95    144    1024    0.140625    2
96    272    1024    0.265625    3
97    448    1024    0.4375    0
98    336    1024    0.328125    0
99    178    1024    0.173828125    0
100    144    1024    0.140625    0
101    16    1024    0.015625    0
102    32    1024    0.03125    3
103    160    1024    0.15625    8
104    160    1024    0.15625    23
105    256    1024    0.25    0
106    224    1024    0.21875    0
107    64    1024    0.0625    0
108    178    1024    0.173828125    0
109    144    1024    0.140625    0
110    112    1024    0.109375    0
111    240    1024    0.234375    15
112    256    1024    0.25    1
113    432    1024    0.421875    0
114    544    1024    0.53125    2
115    472    1024    0.4609375    0
116    346    1024    0.337890625    2
117    290    1024    0.283203125    0
118    272    1024    0.265625    0
119    128    1024    0.125    5
120    320    1024    0.3125    16
121    560    1024    0.546875    12
122    642    1024    0.626953125    17
123    362    1024    0.353515625    21
124    512    1024    0.5    14
125    416    1024    0.40625    0
126    224    1024    0.21875    0
127    96    1024    0.09375    0
128    192    1024    0.1875    5
129    512    1024    0.5    0
130    593    1024    0.5791015625    2
131    640    1024    0.625    1
132    698    1024    0.681640625    4
133    688    1024    0.671875    0
134    688    1024    0.671875    0
135    320    1024    0.3125    0
136    176    1024    0.171875    3
137    272    1024    0.265625    0
138    242    1024    0.236328125    0
139    250    1024    0.244140625    0
140    425    1024    0.4150390625    4
141    570    1024    0.556640625    0
142    506    1024    0.494140625    0
143    378    1024    0.369140625    0
144    314    1024    0.306640625    0
145    266    1024    0.259765625    0
146    330    1024    0.322265625    1
147    698    1024    0.681640625    0
148    618    1024    0.603515625    0
149    586    1024    0.572265625    0
150    458    1024    0.447265625    0
151    315    1024    0.3076171875    2
152    250    1024    0.244140625    0
153    363    1024    0.3544921875    3
154    556    1024    0.54296875    0
155    684    1024    0.66796875    0
156    668    1024    0.65234375    0
157    684    1024    0.66796875    0
158    428    1024    0.41796875    0
159    300    1024    0.29296875    0
160    300    1024    0.29296875    0
161    302    1024    0.294921875    1
162    426    1024    0.416015625    0
163    538    1024    0.525390625    19
164    714    1024    0.697265625    14
165    602    1024    0.587890625    0
166    410    1024    0.400390625    0
167    282    1024    0.275390625    0
168    202    1024    0.197265625    0
169    202    1024    0.197265625    0
170    192    1024    0.1875    0
171    0    1024    0.0    0

average cpu utilization is: 0.268623218202
average ssd utilization is: 0.0
average gpu utilization is: 0.0
average utilization is: 0.0895410727339
average queuing jobs are: 4.27485380117
maximum queuing jobs are: 50


#job_number  submit  dispatch  queue  cpu#  runtime  weight  response(turnaround)  cpu_aspl  cpu_diameter
0    1563439414.26    1563439420.61    6.34599995613    64    1.9025    121.76    8.24849995613    3.13492063492    5
1    1563439437.7    1563439438.23    0.536000013351    128    4.3328    554.5984    4.86880001335    3.6781496063    6
2    1563439445.59    1563439446.15    0.5640001297    128    3.4361    439.8208    4.0001001297    3.6781496063    6
3    1563439445.81    1563439446.67    0.863999843597    128    3.7372    478.3616    4.6011998436    3.71062992126    6
