#timestep  occupied-CPU  total-CPU  utilization  queuingjobs
1    0    1024    0.0    1
2    64    1024    0.0625    0
3    64    1024    0.0625    0
4    0    1024    0.0    0
5    0    1024    0.0    0
6    0    1024    0.0    0
7    0    1024    0.0    0
8    0    1024    0.0    0
9    0    1024    0.0    0
10    0    1024    0.0    0
11    0    1024    0.0    0
12    0    1024    0.0    0
13    0    1024    0.0    0
14    0    1024    0.0    0
15    0    1024    0.0    0
16    0    1024    0.0    0
17    0    1024    0.0    0
18    0    1024    0.0    1
19    128    1024    0.125    0
20    128    1024    0.125    0
21    128    1024    0.125    0
22    128    1024    0.125    0
23    128    1024    0.125    0
24    0    1024    0.0    0
25    0    1024    0.0    0
26    0    1024    0.0    3
27    128    1024    0.125    3
28    256    1024    0.25    2
29    448    1024    0.4375    0
30    320    1024    0.3125    0
31    256    1024    0.25    0
32    2    1024    0.001953125    0
33    18    1024    0.017578125    0
34    0    1024    0.0    3
35    128    1024    0.125    0
36    144    1024    0.140625    0
37    128    1024    0.125    0
38    0    1024    0.0    0
39    96    1024    0.09375    5
40    352    1024    0.34375    0
41    353    1024    0.3447265625    0
42    341    1024    0.3330078125    0
43    332    1024    0.32421875    7
44    192    1024    0.1875    16
45    288    1024    0.28125    22
46    256    1024    0.25    32
47    384    1024    0.375    37
48    478    1024    0.466796875    31
49    508    1024    0.49609375    25
50    704    1024    0.6875    24
51    704    1024    0.6875    19
52    460    1024    0.44921875    12
53    258    1024    0.251953125    34
54    34    1024    0.033203125    50
55    2    1024    0.001953125    64
56    0    1024    0.0    69
57    94    1024    0.091796875    67
58    286    1024    0.279296875    47
59    129    1024    0.1259765625    32
60    392    1024    0.3828125    7
61    287    1024    0.2802734375    0
62    302    1024    0.294921875    0
63    398    1024    0.388671875    13
64    669    1024    0.6533203125    0
65    510    1024    0.498046875    0
66    464    1024    0.453125    0
67    336    1024    0.328125    6
68    166    1024    0.162109375    14
69    256    1024    0.25    40
70    471    1024    0.4599609375    9
71    366    1024    0.357421875    27
72    128    1024    0.125    50
73    64    1024    0.0625    50
74    0    1024    0.0    53
75    8    1024    0.0078125    51
76    0    1024    0.0    37
77    292    1024    0.28515625    28
78    68    1024    0.06640625    1
79    96    1024    0.09375    10
80    384    1024    0.375    1
81    368    1024    0.359375    1
82    256    1024    0.25    0
83    288    1024    0.28125    0
84    160    1024    0.15625    0
85    34    1024    0.033203125    2
86    144    1024    0.140625    3
87    304    1024    0.296875    2
88    448    1024    0.4375    1
89    512    1024    0.5    13
90    608    1024    0.59375    12
91    592    1024    0.578125    13
92    610    1024    0.595703125    0
93    466    1024    0.455078125    0
94    304    1024    0.296875    2
95    160    1024    0.15625    1
96    160    1024    0.15625    7
97    272    1024    0.265625    9
98    304    1024    0.296875    5
99    352    1024    0.34375    0
100    208    1024    0.203125    0
101    144    1024    0.140625    0
102    146    1024    0.142578125    3
103    32    1024    0.03125    7
104    160    1024    0.15625    43
105    288    1024    0.28125    0
106    208    1024    0.203125    0
107    64    1024    0.0625    0
108    178    1024    0.173828125    0
109    160    1024    0.15625    0
110    112    1024    0.109375    0
111    112    1024    0.109375    15
112    260    1024    0.25390625    4
113    384    1024    0.375    4
114    464    1024    0.453125    5
115    552    1024    0.5390625    0
116    502    1024    0.490234375    0
117    338    1024    0.330078125    0
118    274    1024    0.267578125    0
119    128    1024    0.125    0
120    208    1024    0.203125    22
121    320    1024    0.3125    19
122    448    1024    0.4375    22
123    642    1024    0.626953125    21
124    416    1024    0.40625    22
125    577    1024    0.5634765625    0
126    224    1024    0.21875    0
127    96    1024    0.09375    0
128    96    1024    0.09375    4
129    160    1024    0.15625    7
130    512    1024    0.5    2
131    640    1024    0.625    2
132    768    1024    0.75    5
133    640    1024    0.625    5
134    528    1024    0.515625    4
135    560    1024    0.546875    0
136    210    1024    0.205078125    0
137    272    1024    0.265625    2
138    274    1024    0.267578125    0
139    242    1024    0.236328125    0
140    323    1024    0.3154296875    0
141    506    1024    0.494140625    1
142    570    1024    0.556640625    0
143    506    1024    0.494140625    0
144    314    1024    0.306640625    0
145    314    1024    0.306640625    0
146    330    1024    0.322265625    2
147    458    1024    0.447265625    7
148    570    1024    0.556640625    2
149    554    1024    0.541015625    2
150    586    1024    0.572265625    0
151    458    1024    0.447265625    0
152    427    1024    0.4169921875    2
153    250    1024    0.244140625    15
154    364    1024    0.35546875    2
155    556    1024    0.54296875    1
156    668    1024    0.65234375    0
157    812    1024    0.79296875    0
158    556    1024    0.54296875    0
159    428    1024    0.41796875    0
160    316    1024    0.30859375    0
161    300    1024    0.29296875    0
162    298    1024    0.291015625    5
163    410    1024    0.400390625    10
164    522    1024    0.509765625    19
165    522    1024    0.509765625    18
166    602    1024    0.587890625    0
167    602    1024    0.587890625    0
168    410    1024    0.400390625    0
169    202    1024    0.197265625    0
170    202    1024    0.197265625    0
171    0    1024    0.0    0

average cpu utilization is: 0.270290798611
average ssd utilization is: 0.0
average gpu utilization is: 0.0
average utilization is: 0.0900969328704
average queuing jobs are: 8.05847953216
maximum queuing jobs are: 69


#job_number  submit  dispatch  queue  cpu#  runtime  weight  response(turnaround)  cpu_aspl  cpu_diameter
0    1563439832.32    1563439838.43    6.10800004005    64    1.9025    121.76    8.01050004005    0.0    0
1    1563439855.65    1563439855.65    0.000999927520752    128    4.3328    554.5984    4.33379992752    0.0    0
2    1563439863.54    1563439863.54    0.000999927520752    128    3.4361    439.8208    3.43709992752    0.0    0
3    1563439863.76    1563439864.39    0.632999897003    128    3.7372    478.3616    4.370199897    0.0    0
