#timestep  occupied-CPU  total-CPU  utilization  queuingjobs
1    0    1024    0.0    2
2    144    1024    0.140625    0
3    96    1024    0.09375    0
4    120    1024    0.1171875    0
5    128    1024    0.125    0
6    316    1024    0.30859375    0
7    216    1024    0.2109375    0
8    176    1024    0.171875    0
9    56    1024    0.0546875    0
10    56    1024    0.0546875    0
11    56    1024    0.0546875    0
12    92    1024    0.08984375    0
13    214    1024    0.208984375    1
14    198    1024    0.193359375    0
15    244    1024    0.23828125    0
16    140    1024    0.13671875    0
17    168    1024    0.1640625    0
18    264    1024    0.2578125    2
19    82    1024    0.080078125    0
20    106    1024    0.103515625    4
21    74    1024    0.072265625    0
22    64    1024    0.0625    1
23    64    1024    0.0625    0
24    64    1024    0.0625    0
25    32    1024    0.03125    0
26    0    1024    0.0    0
27    0    1024    0.0    0
28    0    1024    0.0    0
29    8    1024    0.0078125    0
30    0    1024    0.0    0
31    0    1024    0.0    0
32    0    1024    0.0    0
33    0    1024    0.0    0
34    0    1024    0.0    0
35    0    1024    0.0    0
36    392    1024    0.3828125    9
37    192    1024    0.1875    3
38    226    1024    0.220703125    1
39    316    1024    0.30859375    0
40    278    1024    0.271484375    0
41    218    1024    0.212890625    0
42    158    1024    0.154296875    1
43    218    1024    0.212890625    0
44    208    1024    0.203125    0
45    176    1024    0.171875    0
46    148    1024    0.14453125    0
47    148    1024    0.14453125    0
48    88    1024    0.0859375    0
49    60    1024    0.05859375    0
50    60    1024    0.05859375    0
51    0    1024    0.0    0
52    20    1024    0.01953125    0
53    0    1024    0.0    0
54    0    1024    0.0    0
55    0    1024    0.0    0
56    24    1024    0.0234375    0
57    24    1024    0.0234375    0
58    0    1024    0.0    0
59    0    1024    0.0    0
60    0    1024    0.0    0
61    28    1024    0.02734375    0
62    8    1024    0.0078125    0
63    0    1024    0.0    0
64    52    1024    0.05078125    0
65    36    1024    0.03515625    0
66    0    1024    0.0    1
67    0    1024    0.0    0
68    0    1024    0.0    0
69    0    1024    0.0    0
70    0    1024    0.0    0
71    0    1024    0.0    0
72    0    1024    0.0    0
73    0    1024    0.0    0
74    0    1024    0.0    0
75    0    1024    0.0    0
76    0    1024    0.0    0
77    0    1024    0.0    0
78    0    1024    0.0    0
79    0    1024    0.0    0
80    0    1024    0.0    0
81    0    1024    0.0    0
82    0    1024    0.0    0
83    0    1024    0.0    0
84    0    1024    0.0    0
85    0    1024    0.0    0
86    0    1024    0.0    0
87    0    1024    0.0    0
88    0    1024    0.0    0
89    0    1024    0.0    0
90    0    1024    0.0    0
91    0    1024    0.0    0
92    0    1024    0.0    0
93    0    1024    0.0    0
94    0    1024    0.0    0
95    30    1024    0.029296875    1
96    60    1024    0.05859375    0
97    60    1024    0.05859375    0
98    62    1024    0.060546875    0
99    32    1024    0.03125    0
100    24    1024    0.0234375    0
101    24    1024    0.0234375    0
102    24    1024    0.0234375    0
103    64    1024    0.0625    0
104    96    1024    0.09375    2
105    136    1024    0.1328125    0
