#timestep  occupied-CPU  total-CPU  utilization  queuingjobs
1    0    1024    0.0    1
2    136    1024    0.1328125    0
3    96    1024    0.09375    0
4    120    1024    0.1171875    0
5    128    1024    0.125    0
6    352    1024    0.34375    0
7    216    1024    0.2109375    0
8    176    1024    0.171875    0
9    56    1024    0.0546875    0
10    51    1024    0.0498046875    0
11    56    1024    0.0546875    0
12    92    1024    0.08984375    0
13    215    1024    0.2099609375    0
14    198    1024    0.193359375    0
15    244    1024    0.23828125    0
16    140    1024    0.13671875    0
17    168    1024    0.1640625    0
18    264    1024    0.2578125    2
19    82    1024    0.080078125    0
20    106    1024    0.103515625    20
21    74    1024    0.072265625    0
22    64    1024    0.0625    0
23    64    1024    0.0625    0
24    64    1024    0.0625    0
25    19    1024    0.0185546875    0
26    0    1024    0.0    0
27    0    1024    0.0    0
28    0    1024    0.0    0
29    8    1024    0.0078125    0
30    0    1024    0.0    0
31    0    1024    0.0    0
32    0    1024    0.0    0
33    0    1024    0.0    0
34    0    1024    0.0    0
35    0    1024    0.0    0
36    312    1024    0.3046875    14
37    192    1024    0.1875    0
38    226    1024    0.220703125    0
39    316    1024    0.30859375    0
40    278    1024    0.271484375    0
41    218    1024    0.212890625    0
42    188    1024    0.18359375    0
43    218    1024    0.212890625    0
44    208    1024    0.203125    0
45    148    1024    0.14453125    0
46    168    1024    0.1640625    0
47    148    1024    0.14453125    0
48    88    1024    0.0859375    0
49    60    1024    0.05859375    0
50    60    1024    0.05859375    0
51    0    1024    0.0    0
52    20    1024    0.01953125    0
53    0    1024    0.0    0
54    0    1024    0.0    0
55    20    1024    0.01953125    0
56    24    1024    0.0234375    0
57    24    1024    0.0234375    0
58    0    1024    0.0    0
59    0    1024    0.0    0
60    0    1024    0.0    0
61    28    1024    0.02734375    0
62    8    1024    0.0078125    0
63    2    1024    0.001953125    0
64    54    1024    0.052734375    0
65    36    1024    0.03515625    0
66    0    1024    0.0    1
67    0    1024    0.0    0
68    0    1024    0.0    0
69    16    1024    0.015625    0
70    0    1024    0.0    0
71    0    1024    0.0    0
72    0    1024    0.0    0
73    0    1024    0.0    0
74    0    1024    0.0    0
75    0    1024    0.0    0
76    0    1024    0.0    0
77    0    1024    0.0    0
78    0    1024    0.0    0
79    0    1024    0.0    0
80    0    1024    0.0    0
81    0    1024    0.0    0
82    0    1024    0.0    0
83    0    1024    0.0    0
84    0    1024    0.0    0
85    0    1024    0.0    0
86    0    1024    0.0    0
87    0    1024    0.0    0
88    0    1024    0.0    0
89    0    1024    0.0    0
90    0    1024    0.0    0
91    0    1024    0.0    0
92    0    1024    0.0    0
93    0    1024    0.0    0
94    0    1024    0.0    0
95    60    1024    0.05859375    0
96    60    1024    0.05859375    0
97    30    1024    0.029296875    0
98    32    1024    0.03125    0
99    32    1024    0.03125    0
100    24    1024    0.0234375    0
101    24    1024    0.0234375    0
102    24    1024    0.0234375    0
103    100    1024    0.09765625    1
104    96    1024    0.09375    0
105    144    1024    0.140625    0
106    99    1024    0.0966796875    0
107    48    1024    0.046875    0
108    8    1024    0.0078125    0
109    8    1024    0.0078125    0
110    8    1024    0.0078125    0
111    8    1024    0.0078125    0
112    174    1024    0.169921875    0
113    224    1024    0.21875    0
114    232    1024    0.2265625    0
115    224    1024    0.21875    0
116    56    1024    0.0546875    0
117    80    1024    0.078125    1
118    164    1024    0.16015625    0
119    212    1024    0.20703125    0
120    104    1024    0.1015625    0
121    108    1024    0.10546875    0
122    108    1024    0.10546875    0
123    48    1024    0.046875    0
124    172    1024    0.16796875    0
125    165    1024    0.1611328125    0
126    132    1024    0.12890625    0
127    104    1024    0.1015625    0
128    40    1024    0.0390625    1
129    64    1024    0.0625    1
130    84    1024    0.08203125    3
131    229    1024    0.2236328125    0
132    192    1024    0.1875    0
133    192    1024    0.1875    0
134    228    1024    0.22265625    0
135    156    1024    0.15234375    0
136    120    1024    0.1171875    0
137    204    1024    0.19921875    6
138    323    1024    0.3154296875    1
139    403    1024    0.3935546875    0
140    394    1024    0.384765625    0
141    360    1024    0.3515625    0
142    228    1024    0.22265625    0
143    136    1024    0.1328125    0
144    80    1024    0.078125    0
145    160    1024    0.15625    0
146    100    1024    0.09765625    0
147    66    1024    0.064453125    0
148    66    1024    0.064453125    0
149    50    1024    0.048828125    0
150    12    1024    0.01171875    0
151    12    1024    0.01171875    0
152    8    1024    0.0078125    0
153    8    1024    0.0078125    0
154    8    1024    0.0078125    0
155    24    1024    0.0234375    0
156    32    1024    0.03125    0
157    92    1024    0.08984375    0
158    100    1024    0.09765625    0
159    100    1024    0.09765625    1
160    84    1024    0.08203125    0
161    64    1024    0.0625    0
162    124    1024    0.12109375    0
163    96    1024    0.09375    0
164    80    1024    0.078125    0
165    60    1024    0.05859375    0
166    16    1024    0.015625    0
167    8    1024    0.0078125    0
168    8    1024    0.0078125    0
169    8    1024    0.0078125    0
170    0    1024    0.0    0
171    60    1024    0.05859375    0
172    68    1024    0.06640625    0
173    17    1024    0.0166015625    0
174    0    1024    0.0    19
175    172    1024    0.16796875    16
176    346    1024    0.337890625    6
177    172    1024    0.16796875    0
178    148    1024    0.14453125    0
179    20    1024    0.01953125    0
180    140    1024    0.13671875    0
181    92    1024    0.08984375    0
182    94    1024    0.091796875    14
183    136    1024    0.1328125    0
184    160    1024    0.15625    26
185    56    1024    0.0546875    27
186    112    1024    0.109375    13
187    112    1024    0.109375    5
188    112    1024    0.109375    23
189    112    1024    0.109375    16
190    192    1024    0.1875    13
191    128    1024    0.125    28
192    272    1024    0.265625    15
193    248    1024    0.2421875    15
194    32    1024    0.03125    15
195    8    1024    0.0078125    10
196    294    1024    0.287109375    3
197    248    1024    0.2421875    36
198    120    1024    0.1171875    58
199    72    1024    0.0703125    51
200    0    1024    0.0    67
201    93    1024    0.0908203125    47
202    72    1024    0.0703125    32
203    110    1024    0.107421875    24
204    55    1024    0.0537109375    18
205    64    1024    0.0625    0
206    32    1024    0.03125    0
207    8    1024    0.0078125    0
208    8    1024    0.0078125    0
209    8    1024    0.0078125    0
210    8    1024    0.0078125    0
211    8    1024    0.0078125    0
212    8    1024    0.0078125    0
213    0    1024    0.0    0

average cpu utilization is: 0.0843465742371
average ssd utilization is: 0.0
average gpu utilization is: 0.0
average utilization is: 0.0281155247457
average queuing jobs are: 3.05164319249
maximum queuing jobs are: 67


#job_number  submit  dispatch  queue  cpu#  runtime  weight  response(turnaround)  cpu_aspl  cpu_diameter
0    1563442665.47    1563442671.98    6.51300001144    32    4.3306    138.5792    10.8436000114    0.0    0
1    1563442672.01    1563442672.06    0.0429999828339    40    0.0553    2.212    0.0982999828339    0.0    0
2    1563442672.07    1563442672.13    0.0599999427795    40    1.0027    40.108    1.06269994278    0.0    0
3    1563442672.51    1563442672.51    0.0    8    3.3156    26.5248    3.3156    0.0    0
4    1563442672.54    1563442672.54    0.000999927520752    8    8.6462    69.1696    8.64719992752    0.0    0
5    1563442672.56    1563442672.56    0.0    8    24.0379    192.3032    24.0379    0.0    0
6    1563442672.57    1563442672.57    0.0    8    0.2201    1.7608    0.2201    0.0    0
7    1563442672.58    1563442672.58    0.0    8    24.0135    192.108    24.0135    0.0    0
8    1563442672.58    1563442672.58    0.0    8    24.0074    192.0592    24.0074    0.0    0
9    1563442672.59    1563442672.59    0.00399994850159    8    0.4097    3.2776    0.413699948502    0.0    0
10    1563442672.59    1563442672.6    0.00899982452393    8    24.0074    192.0592    24.0163998245    0.0    0
11    1563442672.61    1563442672.61    0.0    8    1.2415    9.932    1.2415    0.0    0
12    1563442672.81    1563442672.81    0.0    8    0.9787    7.8296    0.9787    0.0    0
13    1563442673.09    1563442673.09    0.0    40    0.0183    0.732    0.0183    0.0    0
14    1563442673.11    1563442673.16    0.0479998588562    8    0.8258    6.6064    0.873799858856    0.0    0
15    1563442673.12    1563442673.17    0.0449998378754    40    0.0978    3.912    0.142799837875    0.0    0
