#timestep  occupied-CPU  total-CPU  utilization  queuingjobs
1    4    1024    0.00390625    0
2    0    1024    0.0    3
3    0    1024    0.0    8
4    0    1024    0.0    12
5    276    1024    0.26953125    16
6    0    1024    0.0    19
7    0    1024    0.0    23
8    0    1024    0.0    29
9    256    1024    0.25    36
10    0    1024    0.0    44
11    0    1024    0.0    50
12    0    1024    0.0    53
13    0    1024    0.0    57
14    0    1024    0.0    61
15    0    1024    0.0    62
16    0    1024    0.0    67
17    0    1024    0.0    71
18    0    1024    0.0    77
19    287    1024    0.2802734375    75
20    0    1024    0.0    80
21    0    1024    0.0    84
22    0    1024    0.0    91
23    4    1024    0.00390625    93
24    0    1024    0.0    96
25    0    1024    0.0    102
26    340    1024    0.33203125    101
27    0    1024    0.0    102
28    0    1024    0.0    107
29    0    1024    0.0    114
30    320    1024    0.3125    119
31    4    1024    0.00390625    117
32    0    1024    0.0    123
33    0    1024    0.0    131
34    4    1024    0.00390625    131
35    0    1024    0.0    125
36    0    1024    0.0    130
37    0    1024    0.0    132
38    260    1024    0.25390625    135
39    32    1024    0.03125    133
40    0    1024    0.0    136
41    0    1024    0.0    144
42    260    1024    0.25390625    141
43    0    1024    0.0    151
44    0    1024    0.0    157
45    0    1024    0.0    164
46    0    1024    0.0    167
47    0    1024    0.0    174
48    0    1024    0.0    181
49    0    1024    0.0    187
50    126    1024    0.123046875    173
51    0    1024    0.0    175
52    0    1024    0.0    178
53    0    1024    0.0    183
54    320    1024    0.3125    186
55    0    1024    0.0    192
56    0    1024    0.0    196
57    0    1024    0.0    200
58    4    1024    0.00390625    203
59    0    1024    0.0    210
60    0    1024    0.0    213
61    320    1024    0.3125    212
62    0    1024    0.0    214
63    0    1024    0.0    219
64    256    1024    0.25    222
65    0    1024    0.0    217
66    0    1024    0.0    220
67    0    1024    0.0    223
68    256    1024    0.25    224
69    0    1024    0.0    229
70    0    1024    0.0    234
71    39    1024    0.0380859375    232
72    4    1024    0.00390625    238
73    0    1024    0.0    241
74    0    1024    0.0    247
75    392    1024    0.3828125    244
76    1    1024    0.0009765625    246
77    0    1024    0.0    249
78    0    1024    0.0    250
79    32    1024    0.03125    249
80    0    1024    0.0    252
81    0    1024    0.0    262
82    0    1024    0.0    264
83    96    1024    0.09375    260
84    0    1024    0.0    272
85    0    1024    0.0    280
86    0    1024    0.0    285
87    148    1024    0.14453125    280
88    64    1024    0.0625    290
89    0    1024    0.0    297
90    0    1024    0.0    299
91    64    1024    0.0625    299
92    0    1024    0.0    302
93    0    1024    0.0    306
94    0    1024    0.0    312
95    16    1024    0.015625    313
96    0    1024    0.0    319
97    0    1024    0.0    323
98    256    1024    0.25    323
99    80    1024    0.078125    317
100    0    1024    0.0    324
101    0    1024    0.0    329
102    0    1024    0.0    329
103    0    1024    0.0    323
104    0    1024    0.0    323
105    0    1024    0.0    323
106    0    1024    0.0    322
107    0    1024    0.0    322
108    0    1024    0.0    322
109    12    1024    0.01171875    316
110    3    1024    0.0029296875    315
111    0    1024    0.0    315
112    0    1024    0.0    315
113    256    1024    0.25    314
114    0    1024    0.0    314
115    0    1024    0.0    314
116    64    1024    0.0625    312
117    0    1024    0.0    312
118    0    1024    0.0    312
119    0    1024    0.0    312
120    0    1024    0.0    310
121    0    1024    0.0    310
122    0    1024    0.0    310
123    0    1024    0.0    309
124    0    1024    0.0    309
125    0    1024    0.0    309
126    0    1024    0.0    308
127    0    1024    0.0    308
128    0    1024    0.0    308
129    256    1024    0.25    307
130    64    1024    0.0625    305
131    0    1024    0.0    305
132    0    1024    0.0    305
133    384    1024    0.375    302
134    0    1024    0.0    301
135    0    1024    0.0    301
136    0    1024    0.0    301
137    64    1024    0.0625    297
138    0    1024    0.0    297
139    0    1024    0.0    297
140    0    1024    0.0    297
141    228    1024    0.22265625    286
142    0    1024    0.0    286
143    0    1024    0.0    286
144    0    1024    0.0    286
145    0    1024    0.0    285
146    0    1024    0.0    285
147    0    1024    0.0    285
148    0    1024    0.0    284
149    0    1024    0.0    283
150    0    1024    0.0    283
151    0    1024    0.0    283
152    4    1024    0.00390625    277
153    0    1024    0.0    277
154    0    1024    0.0    277
155    0    1024    0.0    277
156    4    1024    0.00390625    272
157    0    1024    0.0    272
158    0    1024    0.0    272
159    256    1024    0.25    270
160    0    1024    0.0    270
161    0    1024    0.0    270
162    0    1024    0.0    270
163    4    1024    0.00390625    269
164    0    1024    0.0    269
165    0    1024    0.0    269
166    0    1024    0.0    268
167    0    1024    0.0    267
168    0    1024    0.0    267
169    0    1024    0.0    267
170    0    1024    0.0    267
171    0    1024    0.0    266
172    0    1024    0.0    266
173    0    1024    0.0    266
174    0    1024    0.0    265
175    0    1024    0.0    265
176    0    1024    0.0    265
177    0    1024    0.0    265
178    0    1024    0.0    262
179    0    1024    0.0    262
180    0    1024    0.0    262
181    324    1024    0.31640625    259
182    0    1024    0.0    259
183    0    1024    0.0    259
184    0    1024    0.0    259
185    0    1024    0.0    256
186    0    1024    0.0    256
187    0    1024    0.0    256
188    256    1024    0.25    255
189    0    1024    0.0    255
190    0    1024    0.0    255
191    0    1024    0.0    255
192    4    1024    0.00390625    244
193    0    1024    0.0    244
194    0    1024    0.0    244
195    0    1024    0.0    243
196    0    1024    0.0    239
197    0    1024    0.0    239
198    0    1024    0.0    239
199    384    1024    0.375    234
200    0    1024    0.0    233
201    0    1024    0.0    233
202    0    1024    0.0    233
203    328    1024    0.3203125    223
204    3    1024    0.0029296875    223
205    0    1024    0.0    223
206    0    1024    0.0    223
207    4    1024    0.00390625    218
208    0    1024    0.0    218
209    0    1024    0.0    218
210    0    1024    0.0    218
211    0    1024    0.0    216
212    0    1024    0.0    216
213    0    1024    0.0    216
214    256    1024    0.25    215
215    0    1024    0.0    215
216    0    1024    0.0    215
217    0    1024    0.0    215
218    0    1024    0.0    213
219    0    1024    0.0    213
220    0    1024    0.0    213
221    256    1024    0.25    211
222    0    1024    0.0    211
223    0    1024    0.0    211
224    0    1024    0.0    211
225    80    1024    0.078125    207
226    0    1024    0.0    202
227    0    1024    0.0    202
228    0    1024    0.0    202
229    0    1024    0.0    202
230    0    1024    0.0    197
231    0    1024    0.0    197
232    0    1024    0.0    197
233    0    1024    0.0    197
234    24    1024    0.0234375    187
235    0    1024    0.0    187
236    0    1024    0.0    187
237    0    1024    0.0    187
238    0    1024    0.0    185
239    0    1024    0.0    185
240    0    1024    0.0    185
241    0    1024    0.0    184
242    0    1024    0.0    184
243    0    1024    0.0    184
244    0    1024    0.0    184
245    84    1024    0.08203125    179
246    0    1024    0.0    179
247    0    1024    0.0    179
248    0    1024    0.0    179
249    67    1024    0.0654296875    177
250    0    1024    0.0    177
251    0    1024    0.0    177
252    272    1024    0.265625    171
253    0    1024    0.0    171
254    0    1024    0.0    171
255    0    1024    0.0    171
256    68    1024    0.06640625    164
257    0    1024    0.0    164
258    0    1024    0.0    164
259    0    1024    0.0    164
260    0    1024    0.0    161
261    0    1024    0.0    161
262    0    1024    0.0    161
263    0    1024    0.0    161
264    0    1024    0.0    158
265    0    1024    0.0    158
266    0    1024    0.0    158
267    256    1024    0.25    157
268    0    1024    0.0    157
269    0    1024    0.0    157
270    0    1024    0.0    157
271    0    1024    0.0    157
272    256    1024    0.25    156
273    0    1024    0.0    155
274    0    1024    0.0    155
275    0    1024    0.0    155
276    0    1024    0.0    155
277    0    1024    0.0    152
278    0    1024    0.0    152
279    0    1024    0.0    152
280    0    1024    0.0    150
281    0    1024    0.0    150
282    0    1024    0.0    150
283    0    1024    0.0    150
284    0    1024    0.0    150
285    0    1024    0.0    148
286    0    1024    0.0    148
287    0    1024    0.0    148
288    0    1024    0.0    148
289    328    1024    0.3203125    140
290    3    1024    0.0029296875    140
291    0    1024    0.0    140
292    0    1024    0.0    140
293    0    1024    0.0    140
294    0    1024    0.0    138
295    0    1024    0.0    138
296    0    1024    0.0    138
297    276    1024    0.26953125    134
298    0    1024    0.0    134
299    0    1024    0.0    134
300    0    1024    0.0    134
301    340    1024    0.33203125    130
302    0    1024    0.0    130
303    0    1024    0.0    130
304    0    1024    0.0    130
305    0    1024    0.0    130
306    0    1024    0.0    130
307    256    1024    0.25    128
308    0    1024    0.0    128
309    0    1024    0.0    128
310    0    1024    0.0    128
311    0    1024    0.0    128
312    256    1024    0.25    127
313    64    1024    0.0625    124
314    0    1024    0.0    124
315    0    1024    0.0    124
316    0    1024    0.0    124
317    273    1024    0.2666015625    120
318    0    1024    0.0    120
319    0    1024    0.0    120
320    0    1024    0.0    120
321    156    1024    0.15234375    114
322    0    1024    0.0    112
323    0    1024    0.0    112
324    0    1024    0.0    112
325    324    1024    0.31640625    109
326    0    1024    0.0    109
327    0    1024    0.0    109
328    0    1024    0.0    109
329    0    1024    0.0    108
330    0    1024    0.0    108
331    0    1024    0.0    108
332    280    1024    0.2734375    104
333    5    1024    0.0048828125    104
334    0    1024    0.0    104
335    0    1024    0.0    104
336    340    1024    0.33203125    97
337    80    1024    0.078125    91
338    0    1024    0.0    91
339    0    1024    0.0    91
340    0    1024    0.0    91
341    0    1024    0.0    90
342    0    1024    0.0    90
343    0    1024    0.0    90
344    0    1024    0.0    89
345    0    1024    0.0    89
346    0    1024    0.0    89
347    0    1024    0.0    89
348    272    1024    0.265625    79
349    0    1024    0.0    79
350    0    1024    0.0    79
