#timestep  occupied-CPU  total-CPU  utilization  queuingjobs
1    0    1024    0.0    1
2    128    1024    0.125    2
3    128    1024    0.125    1
4    0    1024    0.0    1
5    48    1024    0.046875    2
6    64    1024    0.0625    0
7    0    1024    0.0    28
8    32    1024    0.03125    7
9    32    1024    0.03125    0
10    128    1024    0.125    0
11    0    1024    0.0    0
12    0    1024    0.0    0
13    0    1024    0.0    0
14    16    1024    0.015625    0
15    16    1024    0.015625    0
16    0    1024    0.0    1
17    0    1024    0.0    12
18    16    1024    0.015625    5
19    128    1024    0.125    2
20    0    1024    0.0    4
21    0    1024    0.0    1
22    0    1024    0.0    0
23    0    1024    0.0    0
24    0    1024    0.0    0
25    25    1024    0.0244140625    0
26    32    1024    0.03125    0
27    128    1024    0.125    0
28    32    1024    0.03125    0
29    0    1024    0.0    4
30    64    1024    0.0625    1
31    0    1024    0.0    23
32    24    1024    0.0234375    0
33    65    1024    0.0634765625    0
34    0    1024    0.0    2
35    0    1024    0.0    0
36    0    1024    0.0    5
37    64    1024    0.0625    0
38    50    1024    0.048828125    5
39    100    1024    0.09765625    0
40    96    1024    0.09375    36
41    78    1024    0.076171875    5
42    8    1024    0.0078125    1
43    80    1024    0.078125    0
44    0    1024    0.0    2
45    128    1024    0.125    0
46    0    1024    0.0    0
47    65    1024    0.0634765625    0
48    0    1024    0.0    34
49    64    1024    0.0625    26
50    64    1024    0.0625    67
51    16    1024    0.015625    41
52    85    1024    0.0830078125    3
53    80    1024    0.078125    0
54    0    1024    0.0    1
55    64    1024    0.0625    0
56    1    1024    0.0009765625    3
57    0    1024    0.0    26
58    77    1024    0.0751953125    31
59    96    1024    0.09375    25
60    0    1024    0.0    0

average cpu utilization is: 0.03779296875
average ssd utilization is: 0.4470703125
average gpu utilization is: 0.4470703125
average utilization is: 0.31064453125
average queuing jobs are: 6.8
maximum queuing jobs are: 67


#job_number  submit  dispatch  queue  cpu#  runtime  weight  response(turnaround)  cpu_aspl  cpu_diameter
0    1563522319.7    1563522325.52    5.82100009918    128    0.1451    18.5728    5.96610009918    3.7155511811    5
1    1563522325.25    1563522326.02    0.773999929428    128    0.3726    47.6928    1.14659992943    3.73462106299    5
2    1563522325.62    1563522326.44    0.819999933243    128    0.1067    13.6576    0.926699933243    3.7155511811    5
3    1563522325.73    1563522326.89    1.16100001335    128    1.0927    139.8656    2.25370001335    3.73462106299    5
4    1563522326.83    1563522327.38    0.549000024796    128    0.2927    37.4656    0.841700024796    3.7155511811    5
5    1563522327.67    1563522327.67    0.0    1    0.001    0.001    0.001    1.0    2
6    1563522327.77    1563522327.8    0.0309998989105    32    0.0716    2.2912    0.102599898911    2.84879032258    4
7    1563522327.85    1563522327.85    0.000999927520752    1    0.0007    0.0007    0.00169992752075    1.0    2
8    1563522327.91    1563522327.91    0.0    2    0.0069    0.0138    0.0069    1.0    2
9    1563522327.91    1563522327.91    0.0    1    0.0009    0.0009    0.0009    1.0    2
10    1563522327.92    1563522327.92    0.0    1    0.0009    0.0009    0.0009    1.0    2
11    1563522327.94    1563522327.94    0.0    1    0.0884    0.0884    0.0884    1.0    2
12    1563522328.07    1563522328.1    0.0250000953674    32    0.0075    0.24    0.0325000953674    2.84879032258    4
13    1563522328.08    1563522328.1    0.0169999599457    1    0.0015    0.0015    0.0184999599457    1.0    2
14    1563522328.15    1563522328.17    0.0209999084473    32    0.0176    0.5632    0.0385999084473    2.84879032258    4
15    1563522328.17    1563522328.22    0.0420000553131    32    0.016    0.512    0.0580000553131    2.83669354839    4
16    1563522328.21    1563522328.25    0.0380001068115    32    0.0229    0.7328    0.0609001068115    2.84879032258    4
17    1563522328.25    1563522328.25    0.000999927520752    4    0.0054    0.0216    0.00639992752075    1.5    2
18    1563522328.26    1563522328.3    0.0390000343323    32    0.0237    0.7584    0.0627000343323    2.81653225806    4
19    1563522328.29    1563522328.3    0.00799989700317    4    0.0049    0.0196    0.0128998970032    1.5    2
20    1563522328.31    1563522328.34    0.0320000648499    32    0.0104    0.3328    0.0424000648499    2.84879032258    4
21    1563522328.31    1563522328.34    0.0329999923706    4    0.0057    0.0228    0.0386999923706    1.5    2
22    1563522328.31    1563522328.35    0.0380001068115    16    0.0019    0.0304    0.0399001068115    2.25    3
23    1563522328.32    1563522328.35    0.0339999198914    1    0.0007    0.0007    0.0346999198914    1.0    2
24    1563522328.33    1563522328.38    0.050999879837    32    0.0181    0.5792    0.069099879837    2.81451612903    4
25    1563522328.36    1563522328.41    0.0550000667572    32    0.0143    0.4576    0.0693000667572    2.8689516129    4
26    1563522328.37    1563522328.41    0.0409998893738    1    0.0007    0.0007    0.0416998893738    1.0    2
27    1563522328.37    1563522328.41    0.039999961853    4    0.0059    0.0236    0.045899961853    1.5    2
28    1563522328.38    1563522328.42    0.0429999828339    16    0.4034    6.4544    0.446399982834    2.25    3
29    1563522328.4    1563522328.42    0.0239999294281    1    0.0014    0.0014    0.0253999294281    1.0    2
30    1563522328.43    1563522328.43    0.0019998550415    4    0.0051    0.0204    0.0070998550415    1.5    2
31    1563522328.44    1563522328.44    0.0    1    0.001    0.001    0.001    1.0    2
32    1563522328.45    1563522328.45    0.0    4    0.0052    0.0208    0.0052    1.5    2
33    1563522328.5    1563522328.52    0.0249998569489    32    0.0147    0.4704    0.0396998569489    2.84879032258    4
34    1563522328.51    1563522328.53    0.0120000839233    1    0.0019    0.0019    0.0139000839233    1.0    2
35    1563522328.52    1563522328.53    0.0120000839233    4    0.006    0.024    0.0180000839233    1.5    2
36    1563522328.58    1563522328.58    0.000999927520752    4    0.0021    0.0084    0.00309992752075    1.5    2
37    1563522328.58    1563522328.61    0.0249998569489    32    0.02    0.64    0.0449998569489    2.84879032258    4
38    1563522328.59    1563522328.61    0.018000125885    4    0.0035    0.014    0.021500125885    1.5    2
39    1563522328.61    1563522328.61    0.00399994850159    1    0.0008    0.0008    0.00479994850159    1.0    2
40    1563522328.63    1563522328.65    0.0230000019073    32    0.0732    2.3424    0.0962000019073    2.83870967742    4
41    1563522328.67    1563522328.67    0.0    1    0.0007    0.0007    0.0007    1.0    2
42    1563522328.7    1563522328.7    0.0    4    0.0063    0.0252    0.0063    1.5    2
43    1563522328.71    1563522328.71    0.0    1    0.001    0.001    0.001    1.0    2
44    1563522328.71    1563522328.74    0.0250000953674    32    0.0727    2.3264    0.0977000953674    2.84879032258    4
45    1563522328.75    1563522328.75    0.000999927520752    4    0.0053    0.0212    0.00629992752075    1.5    2
46    1563522328.77    1563522328.8    0.0349998474121    32    0.012    0.384    0.0469998474121    2.83870967742    4
47    1563522328.78    1563522328.82    0.0460000038147    16    0.0133    0.2128    0.0593000038147    2.25    3
48    1563522328.8    1563522328.82    0.0279998779297    1    0.0008    0.0008    0.0287998779297    1.0    2
49    1563522328.8    1563522328.87    0.0650000572205    32    0.0166    0.5312    0.0816000572205    2.81653225806    4
50    1563522328.82    1563522328.91    0.0900001525879    32    0.0785    2.512    0.168500152588    2.84879032258    4
51    1563522328.83    1563522328.92    0.0909998416901    16    0.0151    0.2416    0.10609984169    2.25    3
52    1563522328.83    1563522328.92    0.0910000801086    4    0.029    0.116    0.120000080109    1.5    2
53    1563522328.83    1563522328.93    0.101000070572    16    0.5057    8.0912    0.606700070572    2.25    3
54    1563522328.86    1563522328.96    0.105000019073    32    0.0593    1.8976    0.164300019073    2.74596774194    4
55    1563522328.88    1563522328.97    0.0969998836517    16    0.0123    0.1968    0.109299883652    2.25    3
56    1563522328.9    1563522328.98    0.0869998931885    16    0.0152    0.2432    0.102199893188    2.25    3
57    1563522328.91    1563522328.98    0.0739998817444    1    0.0029    0.0029    0.0768998817444    1.0    2
58    1563522328.91    1563522328.99    0.0750000476837    4    0.0071    0.0284    0.0821000476837    1.5    2
59    1563522328.93    1563522329.03    0.101999998093    32    0.0136    0.4352    0.115599998093    2.84072580645    4
60    1563522328.94    1563522329.05    0.112999916077    32    0.0172    0.5504    0.130199916077    2.84879032258    4
