#timestep  occupied-CPU  total-CPU  utilization  queuingjobs
1    0    1024    0.0    1
2    0    1024    0.0    3
3    0    1024    0.0    3
4    128    1024    0.125    12
5    22    1024    0.021484375    54
6    16    1024    0.015625    71
7    7    1024    0.0068359375    73
8    15    1024    0.0146484375    44
9    0    1024    0.0    33
10    36    1024    0.03515625    21
11    4    1024    0.00390625    5
12    144    1024    0.140625    0
13    0    1024    0.0    0
14    16    1024    0.015625    0
15    16    1024    0.015625    0
16    0    1024    0.0    2
17    0    1024    0.0    14
18    0    1024    0.0    13
19    0    1024    0.0    12
20    0    1024    0.0    16
21    32    1024    0.03125    9
22    0    1024    0.0    21
23    0    1024    0.0    19
24    0    1024    0.0    18
25    0    1024    0.0    37
26    0    1024    0.0    38
27    0    1024    0.0    38
28    0    1024    0.0    29
29    32    1024    0.03125    33
30    0    1024    0.0    50
31    228    1024    0.22265625    50
32    64    1024    0.0625    69
33    96    1024    0.09375    100
34    20    1024    0.01953125    71
35    0    1024    0.0    49
36    176    1024    0.171875    6
37    0    1024    0.0    6
38    101    1024    0.0986328125    13
39    15    1024    0.0146484375    36
40    0    1024    0.0    80
41    0    1024    0.0    90
42    32    1024    0.03125    100
43    40    1024    0.0390625    55
44    40    1024    0.0390625    23
45    86    1024    0.083984375    2
46    0    1024    0.0    1
47    196    1024    0.19140625    3
48    16    1024    0.015625    49
49    2    1024    0.001953125    62
50    0    1024    0.0    88
51    0    1024    0.0    87
52    0    1024    0.0    85
53    0    1024    0.0    74
54    80    1024    0.078125    44
55    5    1024    0.0048828125    26
56    106    1024    0.103515625    18
57    208    1024    0.203125    68
58    64    1024    0.0625    102
59    0    1024    0.0    134
60    0    1024    0.0    116
61    64    1024    0.0625    91
62    0    1024    0.0    63
63    88    1024    0.0859375    44
64    0    1024    0.0    9

average cpu utilization is: 0.0334930419922
average ssd utilization is: 0.44841003418
average gpu utilization is: 0.44841003418
average utilization is: 0.310104370117
average queuing jobs are: 40.359375
maximum queuing jobs are: 134


#job_number  submit  dispatch  queue  cpu#  runtime  weight  response(turnaround)  cpu_aspl  cpu_diameter
0    1563522509.42    1563522514.82    5.40700006485    128    0.1451    18.5728    5.55210006485    0.0    0
1    1563522514.97    1563522515.5    0.530999898911    128    0.3726    47.6928    0.903599898911    0.0    0
2    1563522515.34    1563522516.19    0.845999956131    128    0.1067    13.6576    0.952699956131    0.0    0
3    1563522515.45    1563522516.94    1.49099993706    128    1.0927    139.8656    2.58369993706    0.0    0
4    1563522516.55    1563522517.7    1.14700007439    128    0.2927    37.4656    1.43970007439    0.0    0
5    1563522517.39    1563522518.63    1.242000103    1    0.001    0.001    1.243000103    0.0    0
6    1563522517.49    1563522518.63    1.13800001144    32    0.0716    2.2912    1.20960001144    0.0    0
7    1563522517.57    1563522518.71    1.14600014687    1    0.0007    0.0007    1.14670014687    0.0    0
8    1563522517.63    1563522518.71    1.08399987221    2    0.0069    0.0138    1.09089987221    0.0    0
9    1563522517.63    1563522518.72    1.08299994469    1    0.0009    0.0009    1.08389994469    0.0    0
10    1563522517.64    1563522518.72    1.07999992371    1    0.0009    0.0009    1.08089992371    0.0    0
11    1563522517.66    1563522518.72    1.05999994278    1    0.0884    0.0884    1.14839994278    0.0    0
12    1563522517.79    1563522518.73    0.934000015259    32    0.0075    0.24    0.941500015259    0.0    0
13    1563522517.8    1563522518.8    0.99599981308    1    0.0015    0.0015    0.99749981308    0.0    0
14    1563522517.87    1563522518.8    0.927000045776    32    0.0176    0.5632    0.944600045776    0.0    0
15    1563522517.9    1563522518.86    0.968000173569    32    0.016    0.512    0.984000173569    0.0    0
16    1563522517.94    1563522518.93    0.99799990654    32    0.0229    0.7328    1.02089990654    0.0    0
17    1563522517.98    1563522519.01    1.03799986839    4    0.0054    0.0216    1.04339986839    0.0    0
18    1563522517.98    1563522519.02    1.03699994087    32    0.0237    0.7584    1.06069994087    0.0    0
19    1563522518.01    1563522519.08    1.07099986076    4    0.0049    0.0196    1.07589986076    0.0    0
20    1563522518.03    1563522519.09    1.05500006676    32    0.0104    0.3328    1.06540006676    0.0    0
21    1563522518.03    1563522519.15    1.11600017548    4    0.0057    0.0228    1.12170017548    0.0    0
22    1563522518.04    1563522519.15    1.11099982262    16    0.0019    0.0304    1.11289982262    0.0    0
23    1563522518.04    1563522519.17    1.12300014496    1    0.0007    0.0007    1.12370014496    0.0    0
24    1563522518.06    1563522519.17    1.11199998856    32    0.0181    0.5792    1.13009998856    0.0    0
25    1563522518.08    1563522519.24    1.15700006485    32    0.0143    0.4576    1.17130006485    0.0    0
26    1563522518.1    1563522519.32    1.22499990463    1    0.0007    0.0007    1.22569990463    0.0    0
27    1563522518.1    1563522519.32    1.22199988365    4    0.0059    0.0236    1.22789988365    0.0    0
28    1563522518.11    1563522519.33    1.21999979019    16    0.4034    6.4544    1.62339979019    0.0    0
29    1563522518.13    1563522519.35    1.22599983215    1    0.0014    0.0014    1.22739983215    0.0    0
30    1563522518.16    1563522519.35    1.19800019264    4    0.0051    0.0204    1.20310019264    0.0    0
31    1563522518.17    1563522519.36    1.18700003624    1    0.001    0.001    1.18800003624    0.0    0
32    1563522518.18    1563522519.36    1.17899990082    4    0.0052    0.0208    1.18419990082    0.0    0
33    1563522518.23    1563522519.36    1.13700008392    32    0.0147    0.4704    1.15170008392    0.0    0
34    1563522518.24    1563522519.43    1.18700003624    1    0.0019    0.0019    1.18890003624    0.0    0
35    1563522518.25    1563522519.43    1.18499994278    4    0.006    0.024    1.19099994278    0.0    0
36    1563522518.31    1563522519.43    1.12599992752    4    0.0021    0.0084    1.12809992752    0.0    0
37    1563522518.31    1563522519.43    1.1210000515    32    0.02    0.64    1.1410000515    0.0    0
38    1563522518.32    1563522519.5    1.17600011826    4    0.0035    0.014    1.17950011826    0.0    0
39    1563522518.34    1563522519.5    1.16400003433    1    0.0008    0.0008    1.16480003433    0.0    0
40    1563522518.36    1563522519.5    1.14599990845    32    0.0732    2.3424    1.21919990845    0.0    0
41    1563522518.4    1563522519.56    1.16100001335    1    0.0007    0.0007    1.16170001335    0.0    0
42    1563522518.43    1563522519.56    1.13000011444    4    0.0063    0.0252    1.13630011444    0.0    0
43    1563522518.44    1563522519.57    1.1289999485    1    0.001    0.001    1.1299999485    0.0    0
44    1563522518.44    1563522519.57    1.12199997902    32    0.0727    2.3264    1.19469997902    0.0    0
45    1563522518.48    1563522519.63    1.14499998093    4    0.0053    0.0212    1.15029998093    0.0    0
46    1563522518.5    1563522519.63    1.13300013542    32    0.012    0.384    1.14500013542    0.0    0
47    1563522518.51    1563522519.69    1.1819999218    16    0.0133    0.2128    1.1952999218    0.0    0
48    1563522518.53    1563522519.7    1.17899990082    1    0.0008    0.0008    1.17979990082    0.0    0
49    1563522518.53    1563522519.71    1.1740000248    32    0.0166    0.5312    1.1906000248    0.0    0
50    1563522518.55    1563522519.77    1.21200013161    32    0.0785    2.512    1.29050013161    0.0    0
51    1563522518.56    1563522519.82    1.2619998455    16    0.0151    0.2416    1.2770998455    0.0    0
52    1563522518.56    1563522519.84    1.27300000191    4    0.029    0.116    1.30200000191    0.0    0
53    1563522518.56    1563522519.84    1.27400016785    16    0.5057    8.0912    1.77970016785    0.0    0
54    1563522518.59    1563522519.85    1.2650001049    32    0.0593    1.8976    1.3243001049    0.0    0
55    1563522518.6    1563522519.92    1.31500005722    16    0.0123    0.1968    1.32730005722    0.0    0
56    1563522518.62    1563522519.93    1.3069999218    16    0.0152    0.2432    1.3221999218    0.0    0
57    1563522518.64    1563522519.95    1.30799984932    1    0.0029    0.0029    1.31089984932    0.0    0
58    1563522518.64    1563522519.95    1.3069999218    4    0.0071    0.0284    1.3140999218    0.0    0
59    1563522518.66    1563522519.95    1.29700016975    32    0.0136    0.4352    1.31060016975    0.0    0
60    1563522518.67    1563522520.03    1.36199998856    32    0.0172    0.5504    1.37919998856    0.0    0
61    1563522518.68    1563522520.09    1.40400004387    4    0.0069    0.0276    1.41090004387    0.0    0
62    1563522518.69    1563522520.09    1.39999985695    32    0.0566    1.8112    1.45659985695    0.0    0
63    1563522518.69    1563522520.15    1.45700001717    32    0.0807    2.5824    1.53770001717    0.0    0
64    1563522518.72    1563522520.21    1.48799991608    4    0.007    0.028    1.49499991608    0.0    0
65    1563522518.75    1563522520.21    1.46099996567    32    0.475    15.2    1.93599996567    0.0    0
66    1563522518.78    1563522520.26    1.48599982262    1    0.0007    0.0007    1.48669982262    0.0    0
67    1563522518.91    1563522520.27    1.35400009155    1    0.0003    0.0003    1.35430009155    0.0    0
68    1563522518.94    1563522520.27    1.32499980927    32    0.0748    2.3936    1.39979980927    0.0    0
69    1563522518.95    1563522520.33    1.37900018692    4    0.0078    0.0312    1.38680018692    0.0    0
70    1563522518.99    1563522520.33    1.34700012207    4    0.0068    0.0272    1.35380012207    0.0    0
71    1563522518.99    1563522520.34    1.34299993515    1    0.0009    0.0009    1.34389993515    0.0    0
72    1563522519.02    1563522520.34    1.3180000782    4    0.0064    0.0256    1.3244000782    0.0    0
73    1563522519.03    1563522520.34    1.31100010872    1    0.0016    0.0016    1.31260010872    0.0    0
74    1563522519.05    1563522520.34    1.29399991035    32    0.0206    0.6592    1.31459991035    0.0    0
75    1563522519.06    1563522520.41    1.35199999809    4    0.0074    0.0296    1.35939999809    0.0    0
76    1563522519.07    1563522520.41    1.34100008011    32    0.026    0.832    1.36700008011    0.0    0
77    1563522519.08    1563522520.48    1.39900016785    4    0.0138    0.0552    1.41280016785    0.0    0
78    1563522519.1    1563522520.48    1.382999897    4    0.0024    0.0096    1.385399897    0.0    0
79    1563522519.11    1563522520.49    1.37400007248    8    0.0037    0.0296    1.37770007248    0.0    0
80    1563522519.13    1563522520.49    1.36199998856    1    0.0004    0.0004    1.36239998856    0.0    0
81    1563522519.14    1563522520.49    1.35800004005    1    0.0004    0.0004    1.35840004005    0.0    0
82    1563522519.14    1563522520.5    1.3599998951    1    0.0004    0.0004    1.3603998951    0.0    0
83    1563522519.17    1563522520.5    1.3259999752    32    0.0014    0.0448    1.3273999752    0.0    0
84    1563522519.18    1563522520.57    1.38999986649    4    0.0023    0.0092    1.39229986649    0.0    0
85    1563522519.19    1563522520.57    1.38400006294    4    0.0019    0.0076    1.38590006294    0.0    0
86    1563522519.19    1563522520.57    1.37999987602    4    0.0054    0.0216    1.38539987602    0.0    0
87    1563522519.2    1563522520.58    1.38000011444    32    0.05    1.6    1.43000011444    0.0    0
88    1563522519.2    1563522520.63    1.43099999428    8    0.0355    0.284    1.46649999428    0.0    0
89    1563522519.23    1563522520.64    1.40899991989    32    0.0235    0.752    1.43249991989    0.0    0
90    1563522519.24    1563522520.7    1.45700001717    16    0.0004    0.0064    1.45740001717    0.0    0
91    1563522519.25    1563522520.72    1.46800017357    16    0.0029    0.0464    1.47090017357    0.0    0
92    1563522519.26    1563522520.74    1.48000001907    16    0.0159    0.2544    1.49590001907    0.0    0
93    1563522519.26    1563522520.76    1.49300003052    32    0.1342    4.2944    1.62720003052    0.0    0
94    1563522519.27    1563522520.82    1.54800009727    8    0.0594    0.4752    1.60740009727    0.0    0
95    1563522519.28    1563522520.82    1.53900003433    1    0.0005    0.0005    1.53950003433    0.0    0
96    1563522519.29    1563522520.82    1.53299999237    16    0.1641    2.6256    1.69709999237    0.0    0
97    1563522519.29    1563522520.84    1.54699993134    16    0.0134    0.2144    1.56039993134    0.0    0
98    1563522519.3    1563522520.85    1.54999995232    1    0.0021    0.0021    1.55209995232    0.0    0
99    1563522519.32    1563522520.85    1.53099989891    16    0.0134    0.2144    1.54439989891    0.0    0
100    1563522519.32    1563522520.87    1.54800009727    1    0.0023    0.0023    1.55030009727    0.0    0
101    1563522519.34    1563522520.87    1.53699994087    8    0.008    0.064    1.54499994087    0.0    0
102    1563522519.35    1563522520.88    1.53100013733    16    0.0126    0.2016    1.54360013733    0.0    0
103    1563522519.35    1563522520.9    1.54600000381    1    0.0005    0.0005    1.54650000381    0.0    0
104    1563522519.35    1563522520.9    1.54699993134    1    0.008    0.008    1.55499993134    0.0    0
105    1563522519.37    1563522520.9    1.52900004387    16    0.0135    0.216    1.54250004387    0.0    0
106    1563522519.39    1563522520.92    1.52499985695    16    0.0089    0.1424    1.53389985695    0.0    0
107    1563522519.4    1563522520.93    1.53500008583    1    0.0008    0.0008    1.53580008583    0.0    0
108    1563522519.41    1563522520.93    1.52799987793    16    0.059    0.944    1.58699987793    0.0    0
109    1563522519.42    1563522520.95    1.53399991989    32    0.0493    1.5776    1.58329991989    0.0    0
110    1563522519.42    1563522521.03    1.60799980164    32    0.0459    1.4688    1.65389980164    0.0    0
111    1563522519.45    1563522521.1    1.64999985695    1    0.0027    0.0027    1.65269985695    0.0    0
112    1563522519.59    1563522521.1    1.51300001144    1    0.0016    0.0016    1.51460001144    0.0    0
113    1563522519.59    1563522521.1    1.51399993896    1    0.0013    0.0013    1.51529993896    0.0    0
114    1563522519.59    1563522521.1    1.5119998455    32    0.0485    1.552    1.5604998455    0.0    0
115    1563522519.59    1563522521.16    1.56900000572    1    0.0935    0.0935    1.66250000572    0.0    0
116    1563522519.62    1563522521.16    1.54399991035    1    0.0754    0.0754    1.61939991035    0.0    0
117    1563522519.63    1563522521.16    1.53600001335    32    0.0488    1.5616    1.58480001335    0.0    0
118    1563522519.65    1563522521.22    1.57799983025    32    0.0651    2.0832    1.64309983025    0.0    0
119    1563522519.68    1563522521.29    1.60600018501    32    0.0424    1.3568    1.64840018501    0.0    0
120    1563522519.7    1563522521.34    1.63900017738    1    0.0923    0.0923    1.73130017738    0.0    0
121    1563522519.72    1563522521.34    1.62400007248    32    0.286    9.152    1.91000007248    0.0    0
122    1563522519.73    1563522521.4    1.67300009727    32    0.018    0.576    1.69100009727    0.0    0
123    1563522519.75    1563522521.45    1.70300006866    32    0.0155    0.496    1.71850006866    0.0    0
124    1563522519.78    1563522521.51    1.72900009155    32    0.4472    14.3104    2.17620009155    0.0    0
125    1563522519.86    1563522521.57    1.71200013161    1    0.0008    0.0008    1.71280013161    0.0    0
126    1563522519.89    1563522521.57    1.68400001526    1    0.0009    0.0009    1.68490001526    0.0    0
127    1563522519.91    1563522521.57    1.66400003433    1    0.0012    0.0012    1.66520003433    0.0    0
128    1563522519.95    1563522521.57    1.62199997902    1    0.0013    0.0013    1.62329997902    0.0    0
129    1563522520.0    1563522521.57    1.57799983025    4    0.0106    0.0424    1.58859983025    0.0    0
130    1563522520.03    1563522521.58    1.54999995232    32    0.0362    1.1584    1.58619995232    0.0    0
131    1563522520.07    1563522521.63    1.56500005722    32    0.1125    3.6    1.67750005722    0.0    0
132    1563522520.08    1563522521.69    1.60400009155    1    0.0012    0.0012    1.60520009155    0.0    0
133    1563522520.11    1563522521.69    1.58000016212    32    0.0522    1.6704    1.63220016212    0.0    0
134    1563522520.11    1563522521.75    1.63800001144    1    0.0017    0.0017    1.63970001144    0.0    0
135    1563522520.12    1563522521.75    1.632999897    4    0.0454    0.1816    1.678399897    0.0    0
136    1563522520.12    1563522521.75    1.63000011444    1    0.0004    0.0004    1.63040011444    0.0    0
137    1563522520.13    1563522521.76    1.62600016594    4    0.0044    0.0176    1.63040016594    0.0    0
138    1563522520.13    1563522521.76    1.625    2    0.0021    0.0042    1.6271    0.0    0
139    1563522520.15    1563522521.76    1.60799980164    1    0.0003    0.0003    1.60829980164    0.0    0
140    1563522520.18    1563522521.76    1.58599996567    32    0.0083    0.2656    1.59429996567    0.0    0
141    1563522520.18    1563522521.83    1.64499998093    4    0.0006    0.0024    1.64559998093    0.0    0
142    1563522520.19    1563522521.83    1.64400005341    32    0.0175    0.56    1.66150005341    0.0    0
143    1563522520.2    1563522521.89    1.69400000572    4    0.0108    0.0432    1.70480000572    0.0    0
144    1563522520.2    1563522521.89    1.69400000572    32    0.0222    0.7104    1.71620000572    0.0    0
145    1563522520.22    1563522521.95    1.73199987411    1    0.0011    0.0011    1.73309987411    0.0    0
146    1563522520.23    1563522521.95    1.72699999809    32    0.0372    1.1904    1.76419999809    0.0    0
147    1563522520.27    1563522522.01    1.742000103    32    0.0922    2.9504    1.834200103    0.0    0
148    1563522520.3    1563522522.09    1.79200005531    64    0.0006    0.0384    1.79260005531    0.0    0
149    1563522520.3    1563522522.32    2.01400017738    1    0.0012    0.0012    2.01520017738    0.0    0
