#timestep  occupied-CPU  total-CPU  utilization  queuingjobs
1    0    4096    0.0    2
2    0    4096    0.0    7
3    0    4096    0.0    9
4    2385    4096    0.582275390625    2
5    2048    4096    0.5    7
6    2048    4096    0.5    6
7    2048    4096    0.5    32
8    2304    4096    0.5625    15
9    4096    4096    1.0    37
10    4096    4096    1.0    47
11    3173    4096    0.774658203125    59
12    1475    4096    0.360107421875    69
13    4096    4096    1.0    83
14    4096    4096    1.0    96
15    4096    4096    1.0    94
16    3202    4096    0.78173828125    97
17    3584    4096    0.875    68
18    2048    4096    0.5    64
19    4096    4096    1.0    67
20    2048    4096    0.5    76
21    2048    4096    0.5    84
22    2048    4096    0.5    91
23    4096    4096    1.0    100
24    4096    4096    1.0    107
25    2291    4096    0.559326171875    113
26    4096    4096    1.0    121
27    2048    4096    0.5    122
28    4096    4096    1.0    129
29    4096    4096    1.0    133
30    2048    4096    0.5    145
31    4096    4096    1.0    146
32    4096    4096    1.0    149
33    4096    4096    1.0    154
34    2433    4096    0.593994140625    161
35    3040    4096    0.7421875    159
36    2754    4096    0.67236328125    191
37    1280    4096    0.3125    195
38    256    4096    0.0625    220
39    2048    4096    0.5    232
40    0    4096    0.0    239
41    4096    4096    1.0    247
42    4096    4096    1.0    255
43    1475    4096    0.360107421875    265
44    4096    4096    1.0    264
45    4096    4096    1.0    264
46    4096    4096    1.0    263
47    4096    4096    1.0    262
48    4096    4096    1.0    261
49    4096    4096    1.0    261
50    4096    4096    1.0    261
51    2048    4096    0.5    280
52    4096    4096    1.0    279
53    4012    4096    0.9794921875    294
54    4096    4096    1.0    309
55    2048    4096    0.5    315
56    4096    4096    1.0    336
57    2604    4096    0.6357421875    354
58    0    4096    0.0    366
59    0    4096    0.0    366
60    0    4096    0.0    366
61    0    4096    0.0    372
62    0    4096    0.0    381
63    0    4096    0.0    389
64    0    4096    0.0    398
65    0    4096    0.0    411
66    0    4096    0.0    427
67    0    4096    0.0    450
68    0    4096    0.0    470
69    0    4096    0.0    495
70    0    4096    0.0    516
71    0    4096    0.0    542
72    0    4096    0.0    557
73    0    4096    0.0    569
74    0    4096    0.0    579
75    0    4096    0.0    598
76    0    4096    0.0    616
77    0    4096    0.0    636
78    2048    4096    0.5    647
79    2048    4096    0.5    666
80    2048    4096    0.5    682
81    2048    4096    0.5    697
82    4096    4096    1.0    708
83    3197    4096    0.780517578125    738
84    1543    4096    0.376708984375    763
85    0    4096    0.0    793
86    0    4096    0.0    793
87    0    4096    0.0    793
88    0    4096    0.0    793
89    0    4096    0.0    793
90    0    4096    0.0    793
91    0    4096    0.0    793
92    0    4096    0.0    793
93    0    4096    0.0    793
94    0    4096    0.0    793
95    0    4096    0.0    788
96    0    4096    0.0    784
97    1967    4096    0.480224609375    778
98    0    4096    0.0    778
99    0    4096    0.0    778
100    0    4096    0.0    778
101    0    4096    0.0    778
102    0    4096    0.0    778
103    0    4096    0.0    778
104    0    4096    0.0    778
105    0    4096    0.0    778
106    0    4096    0.0    778
107    0    4096    0.0    778
108    0    4096    0.0    778
109    0    4096    0.0    778
110    0    4096    0.0    778
111    0    4096    0.0    778
112    0    4096    0.0    778
113    0    4096    0.0    778
114    0    4096    0.0    778
115    0    4096    0.0    778
116    0    4096    0.0    778
117    0    4096    0.0    778
118    2048    4096    0.5    776
119    4003    4096    0.977294921875    774
120    1566    4096    0.38232421875    774
121    4096    4096    1.0    772
122    2798    4096    0.68310546875    772
123    1347    4096    0.328857421875    772
124    4096    4096    1.0    770
125    2061    4096    0.503173828125    770
126    2946    4096    0.71923828125    763
127    1536    4096    0.375    730
128    38    4096    0.00927734375    730
129    3795    4096    0.926513671875    727
130    0    4096    0.0    727
131    0    4096    0.0    722
132    0    4096    0.0    717
133    4096    4096    1.0    707
134    3025    4096    0.738525390625    707
135    3065    4096    0.748291015625    700
136    2856    4096    0.697265625    681
137    2164    4096    0.5283203125    643
138    688    4096    0.16796875    627
139    4096    4096    1.0    624
140    4084    4096    0.9970703125    624
141    4096    4096    1.0    622
142    4096    4096    1.0    620
143    4096    4096    1.0    618
144    4096    4096    1.0    615
145    2048    4096    0.5    615
146    4096    4096    1.0    604
147    2133    4096    0.520751953125    603
148    3072    4096    0.75    601
149    2066    4096    0.50439453125    592
150    2816    4096    0.6875    569
151    2563    4096    0.625732421875    566
152    4040    4096    0.986328125    565
153    4096    4096    1.0    563
154    2048    4096    0.5    561
155    4096    4096    1.0    559
156    4096    4096    1.0    557
157    2151    4096    0.525146484375    557
158    4096    4096    1.0    555
159    2782    4096    0.67919921875    555
160    1737    4096    0.424072265625    555
161    4096    4096    1.0    553
162    4096    4096    1.0    551
163    4096    4096    1.0    549
164    3969    4096    0.968994140625    548
165    4096    4096    1.0    546
166    2225    4096    0.543212890625    546
167    4096    4096    1.0    544
168    3119    4096    0.761474609375    544
169    1993    4096    0.486572265625    544
170    4096    4096    1.0    542
171    4096    4096    1.0    540
172    2000    4096    0.48828125    537
173    471    4096    0.114990234375    533
174    1418    4096    0.34619140625    528
175    0    4096    0.0    524
176    0    4096    0.0    518
177    0    4096    0.0    512
178    672    4096    0.1640625    507
179    2263    4096    0.552490234375    505
180    1977    4096    0.482666015625    504
181    2087    4096    0.509521484375    500
182    810    4096    0.19775390625    497
183    0    4096    0.0    492
184    1987    4096    0.485107421875    486
185    8    4096    0.001953125    482
186    1930    4096    0.47119140625    477
187    0    4096    0.0    472
188    4096    4096    1.0    467
189    4096    4096    1.0    463
190    4096    4096    1.0    460
191    2048    4096    0.5    446
192    0    4096    0.0    446
193    0    4096    0.0    446
194    0    4096    0.0    446
195    0    4096    0.0    446
196    0    4096    0.0    446
197    0    4096    0.0    446
198    0    4096    0.0    446
199    0    4096    0.0    446
200    0    4096    0.0    446
201    0    4096    0.0    446
202    0    4096    0.0    446
203    0    4096    0.0    446
204    0    4096    0.0    446
205    0    4096    0.0    446
206    0    4096    0.0    446
207    0    4096    0.0    446
208    0    4096    0.0    446
209    0    4096    0.0    446
210    0    4096    0.0    446
211    4096    4096    1.0    428
212    3460    4096    0.8447265625    420
213    2717    4096    0.663330078125    420
214    1479    4096    0.361083984375    420
215    1397    4096    0.341064453125    403
216    2870    4096    0.70068359375    400
217    2048    4096    0.5    399
218    0    4096    0.0    399
219    0    4096    0.0    399
220    0    4096    0.0    399
221    0    4096    0.0    399
222    0    4096    0.0    399
223    0    4096    0.0    399
224    0    4096    0.0    399
225    0    4096    0.0    399
226    0    4096    0.0    399
227    0    4096    0.0    399
228    0    4096    0.0    399
229    0    4096    0.0    399
230    0    4096    0.0    399
231    0    4096    0.0    399
232    0    4096    0.0    399
233    0    4096    0.0    399
234    0    4096    0.0    399
235    0    4096    0.0    399
236    2048    4096    0.5    395
237    2048    4096    0.5    393
238    2048    4096    0.5    392
239    4096    4096    1.0    390
240    2048    4096    0.5    389
241    2048    4096    0.5    388
242    4096    4096    1.0    386
243    2794    4096    0.68212890625    386
244    1468    4096    0.3583984375    386
245    4096    4096    1.0    384
246    4096    4096    1.0    382
247    1864    4096    0.455078125    382
248    4096    4096    1.0    380
249    4096    4096    1.0    378
250    4096    4096    1.0    376
251    2048    4096    0.5    375
252    1999    4096    0.488037109375    371
253    2048    4096    0.5    369
254    2048    4096    0.5    367
255    2048    4096    0.5    365
256    2167    4096    0.529052734375    364
257    4096    4096    1.0    361
258    3430    4096    0.83740234375    359
259    2807    4096    0.685302734375    359
260    1396    4096    0.3408203125    359
261    1927    4096    0.470458984375    355
262    4027    4096    0.983154296875    352
263    2520    4096    0.615234375    352
264    2048    4096    0.5    351
265    0    4096    0.0    351
266    0    4096    0.0    351
267    0    4096    0.0    351
268    0    4096    0.0    351
269    0    4096    0.0    351
270    0    4096    0.0    351
271    0    4096    0.0    351
272    0    4096    0.0    351
273    0    4096    0.0    351
274    0    4096    0.0    351
275    0    4096    0.0    351
276    0    4096    0.0    351
277    0    4096    0.0    351
278    0    4096    0.0    351
279    0    4096    0.0    351
280    0    4096    0.0    351
281    0    4096    0.0    351
282    0    4096    0.0    351
283    0    4096    0.0    351
284    0    4096    0.0    348
285    0    4096    0.0    348
286    0    4096    0.0    348
287    0    4096    0.0    348
288    0    4096    0.0    348
289    0    4096    0.0    348
290    0    4096    0.0    348
291    0    4096    0.0    348
292    0    4096    0.0    348
293    0    4096    0.0    348
294    0    4096    0.0    348
295    0    4096    0.0    348
296    0    4096    0.0    348
297    0    4096    0.0    348
298    0    4096    0.0    348
299    0    4096    0.0    348
300    0    4096    0.0    348
301    0    4096    0.0    348
302    0    4096    0.0    348
303    0    4096    0.0    348
304    0    4096    0.0    348
305    0    4096    0.0    320
306    2048    4096    0.5    318
307    2048    4096    0.5    316
308    0    4096    0.0    314
309    2083    4096    0.508544921875    312
310    3838    4096    0.93701171875    310
311    1502    4096    0.36669921875    310
312    2048    4096    0.5    302
313    3827    4096    0.934326171875    299
314    911    4096    0.222412109375    295
315    994    4096    0.24267578125    292
316    2048    4096    0.5    288
317    4096    4096    1.0    285
318    1624    4096    0.396484375    283
319    0    4096    0.0    283
320    0    4096    0.0    283
321    0    4096    0.0    283
322    0    4096    0.0    283
323    0    4096    0.0    283
324    0    4096    0.0    283
325    0    4096    0.0    283
326    0    4096    0.0    283
327    0    4096    0.0    283
328    0    4096    0.0    283
329    0    4096    0.0    283
330    0    4096    0.0    283
331    0    4096    0.0    283
332    0    4096    0.0    283
333    0    4096    0.0    283
334    2048    4096    0.5    278
335    3986    4096    0.97314453125    262
336    2005    4096    0.489501953125    259
337    71    4096    0.017333984375    257
338    3624    4096    0.884765625    253
339    2048    4096    0.5    252
340    2048    4096    0.5    252
341    683    4096    0.166748046875    252
342    0    4096    0.0    252
343    0    4096    0.0    252
344    0    4096    0.0    252
345    0    4096    0.0    252
346    0    4096    0.0    252
347    0    4096    0.0    252
348    0    4096    0.0    252
349    0    4096    0.0    252
350    0    4096    0.0    252
351    0    4096    0.0    252
352    0    4096    0.0    252
353    0    4096    0.0    252
354    0    4096    0.0    252
355    0    4096    0.0    252
356    0    4096    0.0    252
357    0    4096    0.0    251
358    0    4096    0.0    251
359    0    4096    0.0    251
360    0    4096    0.0    251
361    0    4096    0.0    251
362    0    4096    0.0    251
363    0    4096    0.0    251
364    0    4096    0.0    251
365    0    4096    0.0    251
366    0    4096    0.0    251
367    0    4096    0.0    251
368    0    4096    0.0    251
369    0    4096    0.0    251
370    0    4096    0.0    251
371    0    4096    0.0    251
372    0    4096    0.0    251
373    0    4096    0.0    251
374    0    4096    0.0    251
375    0    4096    0.0    251
376    0    4096    0.0    251
377    0    4096    0.0    250
378    0    4096    0.0    250
379    0    4096    0.0    250
380    0    4096    0.0    250
381    0    4096    0.0    250
382    0    4096    0.0    250
383    0    4096    0.0    250
384    0    4096    0.0    250
385    0    4096    0.0    250
386    0    4096    0.0    250
387    0    4096    0.0    250
