#timestep  occupied-CPU  total-CPU  utilization  queuingjobs
1    30    8192    0.003662109375    1
2    256    8192    0.03125    0
3    384    8192    0.046875    0
4    2688    8192    0.328125    0
5    3712    8192    0.453125    25
6    3362    8192    0.410400390625    55
7    3201    8192    0.390747070312    150
8    3200    8192    0.390625    177
9    3200    8192    0.390625    206
10    2527    8192    0.308471679688    139
11    1226    8192    0.149658203125    91
12    553    8192    0.0675048828125    133
13    5409    8192    0.660278320312    103
14    7425    8192    0.906372070312    119
15    3328    8192    0.40625    194
16    4833    8192    0.589965820312    184
17    4353    8192    0.531372070312    184
18    4353    8192    0.531372070312    184
19    6431    8192    0.785034179688    172
20    1424    8192    0.173828125    229
21    820    8192    0.10009765625    227
22    2706    8192    0.330322265625    69
23    3233    8192    0.394653320312    78
24    3017    8192    0.368286132812    104
25    3928    8192    0.4794921875    0
26    3560    8192    0.4345703125    0
27    2072    8192    0.2529296875    0
28    1640    8192    0.2001953125    0
29    576    8192    0.0703125    0
30    640    8192    0.078125    0
31    112    8192    0.013671875    0
32    32    8192    0.00390625    0
33    32    8192    0.00390625    0
34    32    8192    0.00390625    0
35    32    8192    0.00390625    0
36    32    8192    0.00390625    0
37    0    8192    0.0    0
38    0    8192    0.0    0
39    0    8192    0.0    0
40    0    8192    0.0    0
41    0    8192    0.0    0
42    0    8192    0.0    0
43    0    8192    0.0    0
44    0    8192    0.0    0
45    0    8192    0.0    0
46    0    8192    0.0    0
47    0    8192    0.0    13
48    0    8192    0.0    37
49    0    8192    0.0    81
50    0    8192    0.0    99
51    4096    8192    0.5    99
52    2756    8192    0.33642578125    79
53    3591    8192    0.438354492188    78
54    2859    8192    0.348999023438    78
55    0    8192    0.0    77
56    5073    8192    0.619262695312    61
57    1168    8192    0.142578125    50
58    1696    8192    0.20703125    25
59    3296    8192    0.40234375    24
60    7698    8192    0.939697265625    19
61    7132    8192    0.87060546875    19
62    0    8192    0.0    3
63    0    8192    0.0    3

average cpu utilization is: 0.239730592758
average ssd utilization is: 1.0
average gpu utilization is: 1.0
average utilization is: 0.746576864253
average queuing jobs are: 58.2380952381
maximum queuing jobs are: 229


#job_number  submit  dispatch  queue  cpu#  runtime  weight  response(turnaround)  cpu_aspl  cpu_diameter
0    1598966525.8    1598966888.8    363.004302979    256    8.6395    2211.712    371.6438029785156    1.0    1
1    1598966889.58    1598966889.62    0.0435268878937    2048    0.1189    243.5072    0.16242688789367676    1.0    1
2    1598966890.21    0.0    -1598966890.21    0    0.0    0.0    -1598966890.21    0.0    0
3    1598966890.54    1598966890.54    0.00126600265503    128    8.6389    1105.7792    8.640166002655029    1.0    1
4    1598966891.18    1598966891.23    0.049800157547    2048    6.0943    12481.1264    6.144100157546997    1.0    1
5    1598966891.5    1598966891.51    0.0098819732666    128    8.6608    1108.5824    8.670681973266602    1.0    1
6    1598966891.51    1598966891.52    0.00693106651306    128    8.6608    1108.5824    8.667731066513062    1.0    1
7    1598966891.97    1598966891.97    4.10079956055e-05    32    0.0061    0.1952    0.006141007995605469    0    0
8    1598966892.02    1598966892.02    0.00650405883789    64    0.0058    0.3712    0.012304058837890625    0    0
9    1598966892.04    1598966892.04    0.00481295585632    128    0.0071    0.9088    0.011912955856323243    1.0    1
10    1598966892.08    1598966892.09    0.0102779865265    16    0.0071    0.1136    0.01737798652648926    0    0
11    1598966892.08    1598966892.1    0.0209259986877    512    1.6271    833.0752    1.6480259986877441    1.0    1
12    1598966892.09    1598966892.12    0.0255899429321    32    0.0039    0.1248    0.029489942932128907    1.0    1
13    1598966892.1    1598966892.13    0.022796869278    64    0.0041    0.2624    0.0268968692779541    1.0    1
14    1598966892.12    1598966892.13    0.0195620059967    8    0.0104    0.0832    0.0299620059967041    0    0
15    1598966892.13    1598966892.15    0.0119881629944    128    0.0049    0.6272    0.016888162994384767    1.0    1
16    1598966892.15    1598966892.16    0.0090229511261    4    0.0156    0.0624    0.024622951126098632    0    0
17    1598966892.17    1598966892.17    0.000203847885132    16    0.004    0.064    0.004203847885131836    1.0    1
18    1598966892.18    1598966892.19    0.0120499134064    2    0.0249    0.0498    0.03694991340637207    0    0
19    1598966892.18    1598966892.2    0.0187559127808    8    0.0048    0.0384    0.023555912780761717    0    0
20    1598966892.2    1598966892.21    0.007493019104    4    0.007    0.028    0.014493019104003906    0    0
21    1598966892.22    1598966892.23    0.00819611549377    2    0.0091    0.0182    0.017296115493774415    0    0
22    1598966892.23    1598966892.23    0.00766396522522    1    0.0001    0.0001    0.007763965225219727    0    0
23    1598966892.24    1598966892.25    0.00320911407471    1    0.0037    0.0037    0.006909114074707031    0    0
24    1598966892.25    1598966892.26    0.012256860733    32    0.0007    0.0224    0.012956860733032226    1.0    1
25    1598966892.25    1598966892.27    0.0208780765533    1    0.0307    0.0307    0.05157807655334473    0    0
26    1598966892.26    1598966892.28    0.0203671455383    32    0.004    0.128    0.024367145538330078    1.0    1
27    1598966892.27    1598966892.29    0.0229649543762    64    0.0043    0.2752    0.0272649543762207    1.0    1
28    1598966892.28    1598966892.3    0.021791934967    1    0.0118    0.0118    0.033591934967041014    0    0
29    1598966892.29    1598966892.31    0.0216209888458    32    0.0024    0.0768    0.024020988845825195    1.0    1
30    1598966892.3    1598966892.32    0.0206551551819    128    0.0052    0.6656    0.025855155181884765    1.0    1
31    1598966892.31    1598966892.33    0.0210528373718    16    0.0038    0.0608    0.024852837371826173    0    0
32    1598966892.32    1598966892.35    0.0279490947723    512    5.9134    3027.6608    5.941349094772339    1.0    1
33    1598966892.33    1598966892.36    0.0323429107666    32    0.0014    0.0448    0.03374291076660156    0    0
34    1598966892.34    1598966892.38    0.0377459526062    32    0.0124    0.3968    0.05014595260620117    0    0
35    1598966892.34    1598966892.39    0.043771982193    63    0.0045    0.2835    0.04827198219299316    1.0    1
36    1598966892.36    1598966893.76    1.40188193321    512    0.0006    0.3072    1.4024819332122802    1.0    1
37    1598966892.37    1598966893.78    1.41045403481    28    0.005    0.14    1.4154540348052977    0    0
38    1598966892.38    1598966893.79    1.41919803619    256    0.012    3.072    1.4311980361938477    1.0    1
39    1598966892.39    1598966893.81    1.41825890541    8    0.0042    0.0336    1.4224589054107666    0    0
40    1598966892.39    1598966893.82    1.42966103554    512    0.0004    0.2048    1.4300610355377197    1.0    1
41    1598966892.41    1598966893.86    1.45340299606    512    0.0004    0.2048    1.4538029960632324    1.0    1
42    1598966892.44    1598966893.87    1.43012595177    4    0.0055    0.022    1.4356259517669678    0    0
43    1598966892.47    1598966893.89    1.41749501228    256    0.0064    1.6384    1.4238950122833252    1.0    1
44    1598966892.49    1598966893.91    1.41854500771    512    0.0003    0.1536    1.4188450077056884    1.0    1
45    1598966892.5    1598966893.93    1.42728996277    512    0.0005    0.256    1.4277899627685546    1.0    1
46    1598966892.51    1598966893.94    1.43510103226    2    0.0069    0.0138    1.44200103225708    0    0
47    1598966892.54    1598966893.95    1.41651797295    16    0.0003    0.0048    1.416817972946167    0    0
48    1598966892.57    1598966893.97    1.39516687393    512    0.0005    0.256    1.3956668739318847    1.0    1
49    1598966892.6    1598966894.02    1.42528390884    512    0.0005    0.256    1.425783908843994    1.0    1
50    1598966892.62    1598966894.06    1.43727898598    512    0.0216    11.0592    1.458878985977173    1.0    1
51    1598966892.65    1598966894.07    1.41875195503    1    1.0213    1.0213    2.4400519550323487    0    0
52    1598966892.66    1598966894.09    1.42382216454    256    0.0099    2.5344    1.4337221645355225    1.0    1
53    1598966892.71    1598966894.1    1.39701199532    256    0.0053    1.3568    1.4023119953155518    1.0    1
54    1598966892.73    1598966894.14    1.41329789162    512    0.0188    9.6256    1.4320978916168212    1.0    1
55    1598966892.78    1598966894.21    1.42394399643    512    0.0025    1.28    1.4264439964294433    1.5641025641    3
56    1598966892.82    1598966894.22    1.39531683922    128    0.7185    91.968    2.11381683921814    1.0    1
57    1598966892.89    1598966894.25    1.35913586617    512    0.009    4.608    1.368135866165161    1.0    1
58    1598966892.9    1598966894.26    1.36535000801    1    0.004    0.004    1.3693500080108643    0    0
59    1598966892.93    1598966894.29    1.35848402977    512    0.0344    17.6128    1.3928840297698974    1.0    1
60    1598966893.01    1598966894.31    1.30085515976    28    0.0048    0.1344    1.3056551597595214    1.0    1
61    1598966893.03    1598966894.32    1.28908991814    32    0.0008    0.0256    1.2898899181365966    1.0    1
62    1598966893.05    1598966894.33    1.28488397598    63    0.0042    0.2646    1.289083975982666    1.0    1
63    1598966893.1    1598966894.34    1.24846291542    63    0.0021    0.1323    1.2505629154205322    1.0    1
64    1598966893.15    1598966894.37    1.22539782524    512    0.0009    0.4608    1.2262978252410888    1.0    1
65    1598966893.22    1598966894.44    1.21815299988    512    0.0088    4.5056    1.2269529998779296    1.60606060606    3
66    1598966893.25    1598966894.45    1.19840598106    32    0.0011    0.0352    1.1995059810638429    1.0    1
67    1598966893.29    1598966894.48    1.19352412224    512    0.0003    0.1536    1.1938241222381591    1.0    1
68    1598966893.3    1598966894.56    1.261302948    512    0.0003    0.1536    1.2616029479980468    1.3956043956    2
69    1598966893.32    1598966894.6    1.2717871666    512    0.0082    4.1984    1.279987166595459    1.0    1
70    1598966893.39    1598966894.61    1.22199010849    32    0.0009    0.0288    1.2228901084899901    0    0
71    1598966893.4    1598966894.63    1.22617983818    32    0.0013    0.0416    1.227479838180542    1.0    1
72    1598966893.43    1598966894.65    1.22018694878    512    0.0149    7.6288    1.235086948776245    1.0    1
73    1598966893.46    1598966894.66    1.19936203957    32    0.0006    0.0192    1.19996203956604    0    0
74    1598966893.47    1598966894.68    1.20599913597    32    0.0012    0.0384    1.2071991359710694    1.0    1
