#timestep  occupied-CPU  total-CPU  utilization  queuingjobs
1    256    4096    0.0625    0
2    256    4096    0.0625    0
3    384    4096    0.09375    0
4    2688    4096    0.65625    4
5    3712    4096    0.90625    188
6    3713    4096    0.906494140625    279
7    3200    4096    0.78125    346
8    3200    4096    0.78125    394
9    904    4096    0.220703125    485
10    1225    4096    0.299072265625    297
11    1041    4096    0.254150390625    257
12    137    4096    0.033447265625    258
13    1    4096    0.000244140625    360
14    4096    4096    1.0    360
15    4096    4096    1.0    362
16    3456    4096    0.84375    411
17    3328    4096    0.8125    412
18    3328    4096    0.8125    412
19    3328    4096    0.8125    412
20    3328    4096    0.8125    415
21    3297    4096    0.804931640625    395
22    2305    4096    0.562744140625    399
23    2305    4096    0.562744140625    407
24    1025    4096    0.250244140625    409
25    1153    4096    0.281494140625    380
26    2722    4096    0.66455078125    226
27    3233    4096    0.789306640625    131
28    3881    4096    0.947509765625    126
29    4017    4096    0.980712890625    0
30    2608    4096    0.63671875    0
31    1912    4096    0.466796875    0
32    1688    4096    0.412109375    0
33    608    4096    0.1484375    0
34    32    4096    0.0078125    0
35    0    4096    0.0    0
36    0    4096    0.0    0
37    0    4096    0.0    0
38    144    4096    0.03515625    17
39    1270    4096    0.31005859375    78
40    1920    4096    0.46875    24
41    0    4096    0.0    0

average cpu utilization is: 0.475163157393
average ssd utilization is: 1.0
average gpu utilization is: 1.0
average utilization is: 0.825054385798
average queuing jobs are: 201.073170732
maximum queuing jobs are: 485


#job_number  submit  dispatch  queue  cpu#  runtime  weight  response(turnaround)  cpu_aspl  cpu_diameter
0    1600172716.99    1600172784.25    67.254999876    256    8.6395    2211.712    75.894499876    3    6
1    1600172785.01    1600172785.01    0.00300002098083    2048    0.1189    243.5072    0.121900020981    3    6
2    1600172785.63    0.0    -1600172785.63    0    0.0    0.0    -1600172785.63    0.0    0
3    1600172785.96    1600172785.96    0.0    128    8.6389    1105.7792    8.6389    2    6
4    1600172786.61    1600172786.61    0.00300002098083    2048    6.0943    12481.1264    6.09730002098    3    6
5    1600172786.92    1600172786.92    0.00300002098083    128    8.6608    1108.5824    8.66380002098    2    6
6    1600172786.92    1600172786.93    0.00600004196167    128    8.6608    1108.5824    8.66680004196    2    6
7    1600172787.37    1600172787.37    0.00299978256226    32    0.0061    0.1952    0.00909978256226    2    2
8    1600172787.41    1600172787.42    0.0019998550415    64    0.0058    0.3712    0.0077998550415    2    5
9    1600172787.43    1600172787.44    0.0139999389648    128    0.0071    0.9088    0.0210999389648    2    6
10    1600172787.47    1600172787.48    0.0130000114441    16    0.0071    0.1136    0.0201000114441    2    2
11    1600172787.47    1600172787.5    0.0320000648499    512    1.6271    833.0752    1.65910006485    3    6
12    1600172787.47    1600172787.51    0.039999961853    32    0.0039    0.1248    0.043899961853    2    2
13    1600172787.48    1600172787.52    0.0329999923706    64    0.0041    0.2624    0.0370999923706    3    6
14    1600172787.49    1600172787.52    0.0329999923706    8    0.0104    0.0832    0.0433999923706    2    2
15    1600172787.51    1600172787.53    0.0199999809265    128    0.0049    0.6272    0.0248999809265    2    6
16    1600172787.52    1600172787.55    0.0260000228882    4    0.0156    0.0624    0.0416000228882    2    2
17    1600172787.53    1600172787.55    0.0150001049042    16    0.004    0.064    0.0190001049042    2    2
18    1600172787.54    1600172787.56    0.0130000114441    2    0.0249    0.0498    0.0379000114441    2    2
19    1600172787.54    1600172787.56    0.0160000324249    8    0.0048    0.0384    0.0208000324249    2    2
20    1600172787.56    1600172787.57    0.00800013542175    4    0.007    0.028    0.0150001354218    2    2
21    1600172787.57    1600172787.58    0.00500011444092    2    0.0091    0.0182    0.0141001144409    2    2
22    1600172787.57    1600172787.58    0.00600004196167    1    0.0001    0.0001    0.00610004196167    2    2
