#timestep  occupied-CPU  total-CPU  utilization  queuingjobs
1    256    8192    0.03125    0
2    256    8192    0.03125    0
3    384    8192    0.046875    0
4    3712    8192    0.453125    33
5    3224    8192    0.3935546875    186
6    4008    8192    0.4892578125    173
7    3985    8192    0.486450195312    174
8    5313    8192    0.648559570312    235
9    7937    8192    0.968872070312    204
10    4609    8192    0.562622070312    175
11    4353    8192    0.531372070312    176
12    4353    8192    0.531372070312    278
13    3393    8192    0.414184570312    265
14    2105    8192    0.256958007812    248
15    4489    8192    0.547973632812    105
16    4921    8192    0.600708007812    0
17    2864    8192    0.349609375    0
18    1840    8192    0.224609375    0
19    1640    8192    0.2001953125    0
20    1681    8192    0.205200195312    0
21    624    8192    0.076171875    0
22    32    8192    0.00390625    0
23    32    8192    0.00390625    0
24    32    8192    0.00390625    0
25    32    8192    0.00390625    0
26    0    8192    0.0    0
27    0    8192    0.0    0
28    0    8192    0.0    0
29    0    8192    0.0    0
30    0    8192    0.0    0
31    0    8192    0.0    0
32    0    8192    0.0    0
33    0    8192    0.0    0
34    0    8192    0.0    0
35    0    8192    0.0    0
36    4407    8192    0.537963867188    65
37    7680    8192    0.9375    70
38    0    8192    0.0    41

average cpu utilization is: 0.251085783306
average ssd utilization is: 1.0
average gpu utilization is: 1.0
average utilization is: 0.750361927769
average queuing jobs are: 63.8947368421
maximum queuing jobs are: 278


#job_number  submit  dispatch  queue  cpu#  runtime  weight  response(turnaround)  cpu_aspl  cpu_diameter
0    1600177932.11    1600178389.25    457.133999825    256    8.6395    2211.712    465.773499825    2    4
1    1600178390.01    1600178390.01    0.00300002098083    2048    0.1189    243.5072    0.121900020981    2    4
2    1600178390.63    0.0    -1600178390.63    0    0.0    0.0    -1600178390.63    0.0    0
3    1600178390.96    1600178390.96    0.00200009346008    128    8.6389    1105.7792    8.64090009346    2    4
4    1600178391.61    1600178391.62    0.0169999599457    2048    6.0943    12481.1264    6.11129995995    2    4
5    1600178391.92    1600178391.92    0.00399994850159    128    8.6608    1108.5824    8.6647999485    2    4
6    1600178391.92    1600178391.93    0.00899982452393    128    8.6608    1108.5824    8.66979982452    2    4
7    1600178392.37    1600178392.37    0.00300002098083    32    0.0061    0.1952    0.00910002098083    1    2
8    1600178392.41    1600178392.42    0.00399994850159    64    0.0058    0.3712    0.00979994850159    1    2
9    1600178392.43    1600178392.43    0.00300002098083    128    0.0071    0.9088    0.0101000209808    2    4
10    1600178392.47    1600178392.47    0.00399994850159    16    0.0071    0.1136    0.0110999485016    1    2
11    1600178392.47    1600178392.48    0.00699996948242    512    1.6271    833.0752    1.63409996948    2    4
12    1600178392.47    1600178392.49    0.0150001049042    32    0.0039    0.1248    0.0189001049042    2    4
13    1600178392.48    1600178392.49    0.010999917984    64    0.0041    0.2624    0.015099917984    2    4
14    1600178392.49    1600178392.5    0.0090000629425    8    0.0104    0.0832    0.0194000629425    1    2
15    1600178392.51    1600178392.51    0.00499987602234    128    0.0049    0.6272    0.00989987602234    2    4
16    1600178392.52    1600178392.53    0.00800013542175    4    0.0156    0.0624    0.0236001354218    1    2
17    1600178392.53    1600178392.54    0.00399994850159    16    0.004    0.064    0.00799994850159    2    4
18    1600178392.54    1600178392.55    0.00600004196167    2    0.0249    0.0498    0.0309000419617    1    2
19    1600178392.54    1600178392.55    0.00699996948242    8    0.0048    0.0384    0.0117999694824    1    2
20    1600178392.56    1600178392.56    0.00400018692017    4    0.007    0.028    0.0110001869202    1    2
21    1600178392.57    1600178392.57    0.00399994850159    2    0.0091    0.0182    0.0130999485016    1    2
22    1600178392.57    1600178392.58    0.00499987602234    1    0.0001    0.0001    0.00509987602234    1    2
23    1600178392.58    1600178392.59    0.00499987602234    1    0.0037    0.0037    0.00869987602234    1    2
