#timestep  occupied-CPU  total-CPU  utilization  queuingjobs
1    1123    4096    0.274169921875    1
2    4096    4096    1.0    4
3    4096    4096    1.0    0
4    4096    4096    1.0    6
5    2304    4096    0.5625    0
6    4096    4096    1.0    11
7    4096    4096    1.0    37
8    3308    4096    0.8076171875    56
9    4096    4096    1.0    66
10    4096    4096    1.0    98
11    2048    4096    0.5    94
12    4096    4096    1.0    98
13    4096    4096    1.0    100
14    4096    4096    1.0    104
15    4096    4096    1.0    115
16    4096    4096    1.0    128
17    4096    4096    1.0    146
18    2276    4096    0.5556640625    159
19    4096    4096    1.0    161
20    4096    4096    1.0    167
21    4096    4096    1.0    173
22    2667    4096    0.651123046875    185
23    4096    4096    1.0    184
24    4096    4096    1.0    194
25    2853    4096    0.696533203125    163
26    4096    4096    1.0    238
27    4096    4096    1.0    265
28    4096    4096    1.0    281
29    4096    4096    1.0    292
30    4096    4096    1.0    312
31    4096    4096    1.0    313
32    4096    4096    1.0    314
33    4096    4096    1.0    313
34    4096    4096    1.0    311
35    4096    4096    1.0    309
36    4096    4096    1.0    307
37    4096    4096    1.0    327
38    4096    4096    1.0    326
39    4096    4096    1.0    342
40    1280    4096    0.3125    351
41    4096    4096    1.0    409
42    4096    4096    1.0    409
43    4096    4096    1.0    409
44    4096    4096    1.0    415
45    2048    4096    0.5    417
46    2048    4096    0.5    430
47    3039    4096    0.741943359375    443
48    4096    4096    1.0    489
49    2560    4096    0.625    533
50    256    4096    0.0625    569
51    4096    4096    1.0    582
52    4096    4096    1.0    622
53    4096    4096    1.0    673
54    4096    4096    1.0    715
55    2560    4096    0.625    761
56    3328    4096    0.8125    770
57    4096    4096    1.0    757
58    4096    4096    1.0    757
59    4096    4096    1.0    755
60    4096    4096    1.0    754
61    4096    4096    1.0    753
62    4096    4096    1.0    751
63    4096    4096    1.0    749
64    4096    4096    1.0    746
65    2048    4096    0.5    742
66    4096    4096    1.0    741
67    4096    4096    1.0    740
68    2304    4096    0.5625    719
69    4096    4096    1.0    717
70    4096    4096    1.0    715
71    117    4096    0.028564453125    715
72    4096    4096    1.0    712
73    4096    4096    1.0    710
74    4096    4096    1.0    708
75    4096    4096    1.0    706
76    4096    4096    1.0    704
77    4096    4096    1.0    702
78    2646    4096    0.64599609375    699
79    4096    4096    1.0    697
80    2280    4096    0.556640625    694
81    4096    4096    1.0    692
82    450    4096    0.10986328125    682
83    1696    4096    0.4140625    668
84    4096    4096    1.0    657
85    4096    4096    1.0    655
86    1634    4096    0.39892578125    646
87    2663    4096    0.650146484375    633
88    3557    4096    0.868408203125    620
89    4096    4096    1.0    615
90    4096    4096    1.0    612
91    2048    4096    0.5    591
92    4096    4096    1.0    585
93    1948    4096    0.4755859375    539
94    4096    4096    1.0    505
95    3775    4096    0.921630859375    498
96    3584    4096    0.875    476
97    3274    4096    0.79931640625    474
98    4096    4096    1.0    473
99    4096    4096    1.0    471
100    4096    4096    1.0    469
101    4096    4096    1.0    466
102    4096    4096    1.0    464
103    2048    4096    0.5    463
104    4096    4096    1.0    461
105    4096    4096    1.0    459
106    3437    4096    0.839111328125    453
107    4096    4096    1.0    451
108    4096    4096    1.0    449
109    4096    4096    1.0    446
110    4096    4096    1.0    436
111    256    4096    0.0625    403
112    1318    4096    0.32177734375    399
113    4096    4096    1.0    394
114    4096    4096    1.0    390
115    3072    4096    0.75    375
116    3228    4096    0.7880859375    372
117    4096    4096    1.0    364
118    4096    4096    1.0    354
119    4096    4096    1.0    350
120    4096    4096    1.0    342
121    4096    4096    1.0    318
122    4096    4096    1.0    313
123    2048    4096    0.5    310
124    4096    4096    1.0    309
125    4096    4096    1.0    309
126    4096    4096    1.0    309
