#timestep  occupied-CPU  total-CPU  utilization  queuingjobs
1    256    8192    0.03125    0
2    256    8192    0.03125    0
3    384    8192    0.046875    0
4    3968    8192    0.484375    32
5    3232    8192    0.39453125    188
6    4008    8192    0.4892578125    178
7    4028    8192    0.49169921875    170
8    5305    8192    0.647583007812    234
9    6460    8192    0.78857421875    204
10    4609    8192    0.562622070312    175
11    4353    8192    0.531372070312    178
12    4353    8192    0.531372070312    278
13    1874    8192    0.228759765625    257
14    2369    8192    0.289184570312    213
15    5698    8192    0.695556640625    76
16    4737    8192    0.578247070312    0
17    2648    8192    0.3232421875    0
18    1768    8192    0.2158203125    0
19    1632    8192    0.19921875    0
20    1616    8192    0.197265625    0
21    624    8192    0.076171875    0
22    32    8192    0.00390625    0
23    32    8192    0.00390625    0
24    32    8192    0.00390625    0
25    32    8192    0.00390625    0
26    0    8192    0.0    0
27    0    8192    0.0    0
28    0    8192    0.0    0
29    0    8192    0.0    0
30    0    8192    0.0    0
31    0    8192    0.0    0
32    0    8192    0.0    0
33    0    8192    0.0    0
34    0    8192    0.0    0
35    4433    8192    0.541137695312    90
36    522    8192    0.063720703125    78
37    8192    8192    1.0    49
38    2048    8192    0.25    0
39    0    8192    0.0    0

average cpu utilization is: 0.248838767027
average ssd utilization is: 1.0
average gpu utilization is: 1.0
average utilization is: 0.749612922342
average queuing jobs are: 61.5384615385
maximum queuing jobs are: 278


#job_number  submit  dispatch  queue  cpu#  runtime  weight  response(turnaround)  cpu_aspl  cpu_diameter
0    1601295695.78    1601296153.05    457.265000105    256    8.6395    2211.712    465.904500105    2    4
1    1601296153.81    1601296153.81    0.00200009346008    2048    0.1189    243.5072    0.12090009346    2    4
2    1601296154.43    0.0    -1601296154.43    0    0.0    0.0    -1601296154.43    0.0    0
3    1601296154.76    1601296154.76    0.000999927520752    128    8.6389    1105.7792    8.63989992752    2    4
4    1601296155.4    1601296155.42    0.0179998874664    2048    6.0943    12481.1264    6.11229988747    2    4
5    1601296155.72    1601296155.72    0.00399994850159    128    8.6608    1108.5824    8.6647999485    2    4
6    1601296155.72    1601296155.73    0.00699996948242    128    8.6608    1108.5824    8.66779996948    2    4
7    1601296156.16    1601296156.17    0.00300002098083    32    0.0061    0.1952    0.00910002098083    1    2
8    1601296156.21    1601296156.21    0.00300002098083    64    0.0058    0.3712    0.00880002098083    1    2
9    1601296156.23    1601296156.23    0.00300002098083    128    0.0071    0.9088    0.0101000209808    2    4
10    1601296156.27    1601296156.27    0.00399994850159    16    0.0071    0.1136    0.0110999485016    1    2
11    1601296156.27    1601296156.28    0.00600004196167    512    1.6271    833.0752    1.63310004196    2    4
12    1601296156.27    1601296156.29    0.0149998664856    32    0.0039    0.1248    0.0188998664856    2    4
13    1601296156.28    1601296156.29    0.010999917984    64    0.0041    0.2624    0.015099917984    2    4
14    1601296156.29    1601296156.3    0.0090000629425    8    0.0104    0.0832    0.0194000629425    1    2
15    1601296156.31    1601296156.31    0.00499987602234    128    0.0049    0.6272    0.00989987602234    2    4
