#timestep  occupied-CPU  total-CPU  utilization  queuingjobs
1    256    2048    0.125    0
2    256    2048    0.125    1
3    256    2048    0.125    3
4    256    2048    0.125    9
5    256    2048    0.125    210
6    256    2048    0.125    327
7    256    2048    0.125    410
8    256    2048    0.125    472
9    256    2048    0.125    564
10    128    2048    0.0625    580
11    128    2048    0.0625    581
12    128    2048    0.0625    582
13    128    2048    0.0625    633
14    128    2048    0.0625    684
15    128    2048    0.0625    686
16    128    2048    0.0625    787
17    128    2048    0.0625    789
18    2048    2048    1.0    788
19    2048    2048    1.0    788
20    2048    2048    1.0    788
21    2048    2048    1.0    791
22    2048    2048    1.0    792
23    2048    2048    1.0    808
24    1485    2048    0.72509765625    751
25    1280    2048    0.625    739
26    1576    2048    0.76953125    596
27    1576    2048    0.76953125    596
28    1216    2048    0.59375    559
29    913    2048    0.44580078125    477
30    1537    2048    0.75048828125    475
31    1537    2048    0.75048828125    475
32    1495    2048    0.72998046875    452
33    1280    2048    0.625    449
34    1280    2048    0.625    449
35    1280    2048    0.625    449
36    1280    2048    0.625    449
37    1280    2048    0.625    449
38    2048    2048    1.0    456
39    2048    2048    1.0    502
40    2048    2048    1.0    612
41    2048    2048    1.0    627
42    2048    2048    1.0    627
43    1633    2048    0.79736328125    600
44    1025    2048    0.50048828125    599
45    1025    2048    0.50048828125    599
46    1025    2048    0.50048828125    599
47    1569    2048    0.76611328125    579
48    937    2048    0.45751953125    440
49    1921    2048    0.93798828125    415
50    1849    2048    0.90283203125    415
51    2048    2048    1.0    374
52    2048    2048    1.0    361
53    2048    2048    1.0    353
54    2024    2048    0.98828125    312
55    1904    2048    0.9296875    312
56    2048    2048    1.0    269
57    2048    2048    1.0    250
58    1336    2048    0.65234375    164
59    456    2048    0.22265625    162
60    184    2048    0.08984375    162
61    104    2048    0.05078125    162
62    96    2048    0.046875    162
63    32    2048    0.015625    162
64    2048    2048    1.0    103
65    0    2048    0.0    82
66    833    2048    0.40673828125    60
67    97    2048    0.04736328125    6
68    0    2048    0.0    0

average cpu utilization is: 0.540046243107
average ssd utilization is: 1.0
average gpu utilization is: 1.0
average utilization is: 0.846682081036
average queuing jobs are: 440.647058824
maximum queuing jobs are: 808


#job_number  submit  dispatch  queue  cpu#  runtime  weight  response(turnaround)  cpu_aspl  cpu_diameter
0    1601890165.48    1601890194.53    29.0490000248    256    8.6395    2211.712    37.6885000248    2    4
1    1601890195.29    1601890203.19    7.89800000191    2048    0.1189    243.5072    8.01690000191    2    5
2    1601890195.91    0.0    -1601890195.91    0    0.0    0.0    -1601890195.91    0.0    0
3    1601890196.24    1601890203.38    7.14199995995    128    8.6389    1105.7792    15.7808999599    2    4
4    1601890196.89    1601890212.03    15.146999836    2048    6.0943    12481.1264    21.241299836    2    5
5    1601890197.2    1601890218.17    20.9689998627    128    8.6608    1108.5824    29.6297998627    2    4
6    1601890197.2    1601890218.19    20.9879999161    128    8.6608    1108.5824    29.6487999161    2    4
7    1601890197.65    1601890218.2    20.5539999008    32    0.0061    0.1952    20.5600999008    1    2
8    1601890197.69    1601890218.2    20.5080001354    64    0.0058    0.3712    20.5138001354    2    4
9    1601890197.71    1601890218.2    20.4949998856    128    0.0071    0.9088    20.5020998856    2    4
10    1601890197.75    1601890218.21    20.4570000172    16    0.0071    0.1136    20.4641000172    1    2
11    1601890197.75    1601890218.21    20.4619998932    512    1.6271    833.0752    22.0890998932    2    4
12    1601890197.76    1601890218.22    20.4670000076    32    0.0039    0.1248    20.4709000076    1    2
13    1601890197.77    1601890218.22    20.4570000172    64    0.0041    0.2624    20.4611000172    2    4
14    1601890197.77    1601890218.23    20.4530000687    8    0.0104    0.0832    20.4634000687    1    2
15    1601890197.79    1601890218.23    20.4360001087    128    0.0049    0.6272    20.4409001087    2    4
16    1601890197.8    1601890218.23    20.4319999218    4    0.0156    0.0624    20.4475999218    1    2
17    1601890197.82    1601890218.23    20.4170000553    16    0.004    0.064    20.4210000553    1    2
18    1601890197.83    1601890218.23    20.4099998474    2    0.0249    0.0498    20.4348998474    1    2
19    1601890197.83    1601890218.24    20.4079999924    8    0.0048    0.0384    20.4127999924    1    2
20    1601890197.84    1601890218.24    20.3949999809    4    0.007    0.028    20.4019999809    2    4
21    1601890197.86    1601890218.24    20.388999939    2    0.0091    0.0182    20.398099939    1    2
22    1601890197.86    1601890218.25    20.388999939    1    0.0001    0.0001    20.389099939    1    2
23    1601890197.87    1601890218.25    20.3819999695    1    0.0037    0.0037    20.3856999695    1    2
24    1601890197.87    1601890218.25    20.3819999695    32    0.0007    0.0224    20.3826999695    2    4
25    1601890197.87    1601890218.25    20.3840000629    1    0.0307    0.0307    20.4147000629    1    2
26    1601890197.87    1601890218.25    20.382999897    32    0.004    0.128    20.386999897    2    4
27    1601890197.88    1601890218.26    20.3759999275    64    0.0043    0.2752    20.3802999275    2    4
28    1601890197.89    1601890218.26    20.3680000305    1    0.0118    0.0118    20.3798000305    1    2
29    1601890197.89    1601890218.26    20.3680000305    32    0.0024    0.0768    20.3704000305    2    4
30    1601890197.9    1601890218.27    20.3619999886    128    0.0052    0.6656    20.3671999886    2    4
31    1601890197.91    1601890218.27    20.3529999256    16    0.0038    0.0608    20.3567999256    1    2
32    1601890197.92    1601890218.27    20.3469998837    512    5.9134    3027.6608    26.2603998837    2    5
33    1601890197.92    1601890218.28    20.3559999466    32    0.0014    0.0448    20.3573999466    2    4
34    1601890197.93    1601890218.28    20.3540000916    32    0.0124    0.3968    20.3664000916    2    4
35    1601890197.93    1601890218.29    20.3519999981    63    0.0045    0.2835    20.3564999981    2    4
36    1601890197.95    1601890218.29    20.3439998627    512    0.0006    0.3072    20.3445998627    2    5
37    1601890197.95    1601890218.31    20.3589999676    28    0.005    0.14    20.3639999676    2    4
38    1601890197.95    1601890218.32    20.367000103    256    0.012    3.072    20.379000103    2    5
39    1601890197.95    1601890218.32    20.368999958    8    0.0042    0.0336    20.373199958    1    2
40    1601890197.95    1601890218.33    20.375    512    0.0004    0.2048    20.3754    2    4
41    1601890197.97    1601890218.36    20.393999815    512    0.0004    0.2048    20.394399815    2    5
42    1601890197.97    1601890218.37    20.4049999714    4    0.0055    0.022    20.4104999714    1    2
43    1601890197.97    1601890218.38    20.4129998684    256    0.0064    1.6384    20.4193998684    2    5
44    1601890197.97    1601890218.39    20.4160001278    512    0.0003    0.1536    20.4163001278    2    5
45    1601890197.97    1601890218.42    20.4470000267    512    0.0005    0.256    20.4475000267    2    5
46    1601890197.98    1601890218.43    20.4530000687    2    0.0069    0.0138    20.4599000687    1    2
47    1601890197.98    1601890218.44    20.4620001316    16    0.0003    0.0048    20.4623001316    1    2
