#timestep  occupied-CPU  total-CPU  utilization  queuingjobs
1    0    4096    0.0    0
2    256    4096    0.0625    1
3    256    4096    0.0625    3
4    256    4096    0.0625    26
5    256    4096    0.0625    225
6    256    4096    0.0625    352
7    256    4096    0.0625    432
8    256    4096    0.0625    473
9    0    4096    0.0    581
10    128    4096    0.03125    581
11    128    4096    0.03125    581
12    128    4096    0.03125    582
13    128    4096    0.03125    684
14    128    4096    0.03125    685
15    128    4096    0.03125    687
16    128    4096    0.03125    788
17    128    4096    0.03125    789
18    2048    4096    0.5    788
19    2176    4096    0.53125    787
20    2304    4096    0.5625    788
21    2304    4096    0.5625    785
22    2816    4096    0.6875    795
23    2816    4096    0.6875    802
24    897    4096    0.218994140625    755
25    776    4096    0.189453125    728
26    1576    4096    0.384765625    615
27    1448    4096    0.353515625    615
28    832    4096    0.203125    615
29    8    4096    0.001953125    615
30    0    4096    0.0    615
31    0    4096    0.0    615
32    0    4096    0.0    615
33    0    4096    0.0    615
34    0    4096    0.0    615
35    0    4096    0.0    615
36    0    4096    0.0    615
37    0    4096    0.0    630
38    0    4096    0.0    734
39    0    4096    0.0    796
40    0    4096    0.0    796
41    0    4096    0.0    796
42    0    4096    0.0    796
43    0    4096    0.0    796
44    0    4096    0.0    796
45    0    4096    0.0    796
46    0    4096    0.0    796
47    0    4096    0.0    796
48    0    4096    0.0    796
49    0    4096    0.0    796
50    0    4096    0.0    796
51    0    4096    0.0    796
52    0    4096    0.0    796
53    0    4096    0.0    796
54    0    4096    0.0    796
55    0    4096    0.0    796
56    0    4096    0.0    796
57    0    4096    0.0    796
58    0    4096    0.0    796
59    0    4096    0.0    796
60    0    4096    0.0    796
61    0    4096    0.0    796
62    0    4096    0.0    796
63    0    4096    0.0    796
64    0    4096    0.0    796
65    0    4096    0.0    732
66    129    4096    0.031494140625    672
67    1    4096    0.000244140625    672
68    1    4096    0.000244140625    672
69    0    4096    0.0    672
70    0    4096    0.0    672
71    0    4096    0.0    672
72    0    4096    0.0    672
73    0    4096    0.0    672
74    0    4096    0.0    672
75    0    4096    0.0    672
76    0    4096    0.0    672
77    0    4096    0.0    672
78    0    4096    0.0    672
79    0    4096    0.0    672
80    0    4096    0.0    672
81    0    4096    0.0    672
82    0    4096    0.0    672
83    0    4096    0.0    672
84    0    4096    0.0    672
85    0    4096    0.0    672
86    0    4096    0.0    672
87    0    4096    0.0    672
88    0    4096    0.0    672
89    0    4096    0.0    672
90    0    4096    0.0    672
91    0    4096    0.0    672
92    0    4096    0.0    672
93    0    4096    0.0    672
94    0    4096    0.0    672
95    0    4096    0.0    672
96    0    4096    0.0    672
97    0    4096    0.0    672
98    0    4096    0.0    672
99    0    4096    0.0    672
100    0    4096    0.0    672
101    0    4096    0.0    672
102    0    4096    0.0    672
103    0    4096    0.0    672
104    0    4096    0.0    672
105    0    4096    0.0    672
106    0    4096    0.0    672
107    0    4096    0.0    672
108    0    4096    0.0    672
109    0    4096    0.0    672
110    0    4096    0.0    672
111    0    4096    0.0    672
112    0    4096    0.0    672
113    0    4096    0.0    672
114    0    4096    0.0    672
115    0    4096    0.0    672
116    0    4096    0.0    672
117    1312    4096    0.3203125    630
118    1280    4096    0.3125    628
119    1280    4096    0.3125    628
120    1280    4096    0.3125    628
121    1280    4096    0.3125    628
122    1280    4096    0.3125    628
123    1280    4096    0.3125    628
124    1280    4096    0.3125    628
125    3681    4096    0.898681640625    600
126    3697    4096    0.902587890625    508
127    4089    4096    0.998291015625    413
128    4060    4096    0.9912109375    335
129    3169    4096    0.773681640625    239
