#timestep  occupied-CPU  total-CPU  utilization  queuingjobs
1    256    4096    0.0625    0
2    256    4096    0.0625    0
3    384    4096    0.09375    0
4    3200    4096    0.78125    12
5    3712    4096    0.90625    189
6    3460    4096    0.8447265625    289
7    3200    4096    0.78125    355
8    3200    4096    0.78125    395
9    1328    4096    0.32421875    423
10    1624    4096    0.396484375    293
11    977    4096    0.238525390625    257
12    81    4096    0.019775390625    258
13    1    4096    0.000244140625    360
14    4096    4096    1.0    361
15    4096    4096    1.0    443
16    3456    4096    0.84375    412
17    3328    4096    0.8125    412
18    3328    4096    0.8125    412
19    3328    4096    0.8125    412
20    3328    4096    0.8125    415
21    2785    4096    0.679931640625    388
22    2305    4096    0.562744140625    407
23    2305    4096    0.562744140625    409
24    1025    4096    0.250244140625    409
25    234    4096    0.05712890625    359
26    2985    4096    0.728759765625    161
27    3233    4096    0.789306640625    131
28    4018    4096    0.98095703125    80
29    3889    4096    0.949462890625    0
30    2512    4096    0.61328125    0
31    1784    4096    0.435546875    0
32    1648    4096    0.40234375    0
33    608    4096    0.1484375    0
34    32    4096    0.0078125    0
35    0    4096    0.0    0
36    0    4096    0.0    0
37    0    4096    0.0    0
38    2242    4096    0.54736328125    60
39    0    4096    0.0    58
40    22    4096    0.00537109375    6
41    0    4096    0.0    0

average cpu utilization is: 0.466046589177
average ssd utilization is: 1.0
average gpu utilization is: 1.0
average utilization is: 0.822015529726
average queuing jobs are: 199.170731707
maximum queuing jobs are: 443


#job_number  submit  dispatch  queue  cpu#  runtime  weight  response(turnaround)  cpu_aspl  cpu_diameter
0    1601905759.29    1601905880.3    121.002000093    256    8.6395    2211.712    129.641500093    2    4
1    1601905881.06    1601905881.06    0.00300002098083    2048    0.1189    243.5072    0.121900020981    3    5
2    1601905881.68    0.0    -1601905881.68    0    0.0    0.0    -1601905881.68    0.0    0
3    1601905882.01    1601905882.01    0.000999927520752    128    8.6389    1105.7792    8.63989992752    2    4
4    1601905882.65    1601905882.66    0.00299978256226    2048    6.0943    12481.1264    6.09729978256    3    5
5    1601905882.97    1601905882.97    0.00399994850159    128    8.6608    1108.5824    8.6647999485    2    4
6    1601905882.97    1601905882.98    0.00799989700317    128    8.6608    1108.5824    8.668799897    2    4
7    1601905883.41    1601905883.42    0.00300002098083    32    0.0061    0.1952    0.00910002098083    2    2
8    1601905883.46    1601905883.46    0.00300002098083    64    0.0058    0.3712    0.00880002098083    2    4
9    1601905883.48    1601905883.48    0.00300002098083    128    0.0071    0.9088    0.0101000209808    2    4
10    1601905883.52    1601905883.52    0.00399994850159    16    0.0071    0.1136    0.0110999485016    2    2
11    1601905883.52    1601905883.54    0.0239999294281    512    1.6271    833.0752    1.65109992943    3    5
12    1601905883.52    1601905883.58    0.0599999427795    32    0.0039    0.1248    0.0638999427795    2    2
13    1601905883.53    1601905883.6    0.0699999332428    64    0.0041    0.2624    0.0740999332428    2    4
14    1601905883.54    1601905883.63    0.0880000591278    8    0.0104    0.0832    0.0984000591278    2    2
15    1601905883.56    1601905883.64    0.0829999446869    128    0.0049    0.6272    0.0878999446869    2    4
