#timestep  occupied-CPU  total-CPU  utilization  queuingjobs
1    0    2048    0.0    0
2    256    2048    0.125    1
3    256    2048    0.125    3
4    256    2048    0.125    9
5    256    2048    0.125    206
6    256    2048    0.125    328
7    256    2048    0.125    410
8    256    2048    0.125    472
9    256    2048    0.125    536
10    1408    2048    0.6875    549
11    1408    2048    0.6875    546
12    1025    2048    0.50048828125    510
13    1592    2048    0.77734375    429
14    1704    2048    0.83203125    491
15    1568    2048    0.765625    484
16    529    2048    0.25830078125    509
17    385    2048    0.18798828125    510
18    289    2048    0.14111328125    488
19    1281    2048    0.62548828125    426
20    1280    2048    0.625    426
21    1633    2048    0.79736328125    402
22    1841    2048    0.89892578125    331
23    2041    2048    0.99658203125    269
24    2043    2048    0.99755859375    265
25    1641    2048    0.80126953125    268
26    2041    2048    0.99658203125    181
27    753    2048    0.36767578125    176
28    361    2048    0.17626953125    176
29    24    2048    0.01171875    176
30    2048    2048    1.0    173
31    2048    2048    1.0    173
32    2048    2048    1.0    173
33    2048    2048    1.0    173
34    2048    2048    1.0    173
35    2048    2048    1.0    173
36    1024    2048    0.5    172
37    1024    2048    0.5    172
38    1024    2048    0.5    180
39    992    2048    0.484375    228
40    1024    2048    0.5    341
41    1936    2048    0.9453125    267
42    2048    2048    1.0    253
43    1920    2048    0.9375    246
44    1912    2048    0.93359375    207
45    1856    2048    0.90625    207
46    1992    2048    0.97265625    177
47    944    2048    0.4609375    87
48    760    2048    0.37109375    87
49    128    2048    0.0625    87
50    96    2048    0.046875    87
51    96    2048    0.046875    87
52    32    2048    0.015625    87
53    2048    2048    1.0    84
54    2048    2048    1.0    84
55    2048    2048    1.0    84
56    2048    2048    1.0    84
57    2048    2048    1.0    84
58    0    2048    0.0    84
59    1184    2048    0.578125    71
60    1056    2048    0.515625    71
61    914    2048    0.4462890625    48
62    40    2048    0.01953125    39
63    40    2048    0.01953125    30
64    2048    2048    1.0    13
65    2016    2048    0.984375    11
66    0    2048    0.0    2

average cpu utilization is: 0.558778705019
average ssd utilization is: 1.0
average gpu utilization is: 1.0
average utilization is: 0.852926235006
average queuing jobs are: 217.818181818
maximum queuing jobs are: 549


#job_number  submit  dispatch  queue  cpu#  runtime  weight  response(turnaround)  cpu_aspl  cpu_diameter
0    1601949120.87    1601949139.55    18.6800000668    256    8.6395    2211.712    27.3195000668    1.0    1
1    1601949140.3    1601949148.36    8.0609998703    2048    0.1189    243.5072    8.1798998703    1.49206349206    2
2    1601949140.92    0.0    -1601949140.92    0    0.0    0.0    -1601949140.92    0.0    0
3    1601949141.25    1601949148.55    7.3029999733    128    8.6389    1105.7792    15.9418999733    1.5    2
4    1601949141.9    1601949169.26    27.3630001545    2048    6.0943    12481.1264    33.4573001545    1.49206349206    2
5    1601949142.21    1601949148.56    6.34299993515    128    8.6608    1108.5824    15.0037999352    1.0    1
6    1601949142.21    1601949148.56    6.34500002861    128    8.6608    1108.5824    15.0058000286    1.0    1
7    1601949142.66    1601949148.56    5.90400004387    32    0.0061    0.1952    5.91010004387    0    0
8    1601949142.71    1601949148.57    5.85899996758    64    0.0058    0.3712    5.86479996758    1.0    1
9    1601949142.72    1601949148.57    5.84700012207    128    0.0071    0.9088    5.85410012207    1.0    1
10    1601949142.76    1601949148.58    5.81500005722    16    0.0071    0.1136    5.82210005722    0    0
11    1601949142.76    1601949148.59    5.83100008965    512    1.6271    833.0752    7.45810008965    1.0    1
12    1601949142.77    1601949148.6    5.83500003815    32    0.0039    0.1248    5.83890003815    1.0    1
13    1601949142.78    1601949148.61    5.83200001717    64    0.0041    0.2624    5.83610001717    1.0    1
14    1601949142.79    1601949148.61    5.8259999752    8    0.0104    0.0832    5.8363999752    0    0
15    1601949142.8    1601949148.62    5.8180000782    128    0.0049    0.6272    5.8229000782    1.0    1
16    1601949142.81    1601949148.62    5.81200003624    4    0.0156    0.0624    5.82760003624    0    0
17    1601949142.83    1601949148.64    5.80799984932    16    0.004    0.064    5.81199984932    1.0    1
18    1601949142.84    1601949148.64    5.80100011826    2    0.0249    0.0498    5.82590011826    0    0
19    1601949142.84    1601949148.64    5.80599999428    8    0.0048    0.0384    5.81079999428    1.0    1
20    1601949142.85    1601949148.65    5.79400014877    4    0.007    0.028    5.80100014877    0    0
21    1601949142.87    1601949148.65    5.78199982643    2    0.0091    0.0182    5.79109982643    0    0
22    1601949142.87    1601949148.65    5.78200006485    1    0.0001    0.0001    5.78210006485    0    0
23    1601949142.88    1601949148.66    5.77599978447    1    0.0037    0.0037    5.77969978447    0    0
