#timestep  occupied-CPU  total-CPU  utilization  queuingjobs
1    256    2048    0.125    0
2    256    2048    0.125    1
3    256    2048    0.125    3
4    256    2048    0.125    8
5    256    2048    0.125    204
6    256    2048    0.125    328
7    256    2048    0.125    410
8    256    2048    0.125    472
9    256    2048    0.125    544
10    128    2048    0.0625    580
11    128    2048    0.0625    581
12    128    2048    0.0625    582
13    128    2048    0.0625    631
14    128    2048    0.0625    684
15    128    2048    0.0625    686
16    128    2048    0.0625    787
17    128    2048    0.0625    789
18    2048    2048    1.0    788
19    2048    2048    1.0    788
20    2048    2048    1.0    788
21    2048    2048    1.0    791
22    2048    2048    1.0    792
23    2048    2048    1.0    811
24    1387    2048    0.67724609375    761
25    1280    2048    0.625    739
26    1576    2048    0.76953125    596
27    1576    2048    0.76953125    596
28    1232    2048    0.6015625    559
29    913    2048    0.44580078125    477
30    1537    2048    0.75048828125    475
31    1537    2048    0.75048828125    475
32    1287    2048    0.62841796875    457
33    1280    2048    0.625    449
34    1280    2048    0.625    449
35    1280    2048    0.625    449
36    1280    2048    0.625    449
37    1280    2048    0.625    449
38    2048    2048    1.0    459
39    2048    2048    1.0    529
40    2048    2048    1.0    627
41    2048    2048    1.0    627
42    2048    2048    1.0    627
43    1633    2048    0.79736328125    600
44    1025    2048    0.50048828125    599
45    1025    2048    0.50048828125    599
46    1025    2048    0.50048828125    599
47    321    2048    0.15673828125    575
48    1001    2048    0.48876953125    438
49    1921    2048    0.93798828125    415
50    1833    2048    0.89501953125    415
51    2048    2048    1.0    374
52    2048    2048    1.0    360
53    1992    2048    0.97265625    348
54    2016    2048    0.984375    312
55    1904    2048    0.9296875    312
56    2040    2048    0.99609375    268
57    2048    2048    1.0    250
58    1328    2048    0.6484375    164
59    456    2048    0.22265625    162
60    176    2048    0.0859375    162
61    104    2048    0.05078125    162
62    96    2048    0.046875    162
63    32    2048    0.015625    162
64    2048    2048    1.0    103
65    1504    2048    0.734375    80
66    0    2048    0.0    60
67    167    2048    0.08154296875    6
68    0    2048    0.0    0

average cpu utilization is: 0.534036075368
average ssd utilization is: 1.0
average gpu utilization is: 1.0
average utilization is: 0.844678691789
average queuing jobs are: 440.941176471
maximum queuing jobs are: 811


#job_number  submit  dispatch  queue  cpu#  runtime  weight  response(turnaround)  cpu_aspl  cpu_diameter
0    1601949352.19    1601949370.48    18.2969999313    256    8.6395    2211.712    26.9364999313    2    3
1    1601949371.25    1601949379.15    7.90100002289    2048    0.1189    243.5072    8.01990002289    2    5
2    1601949371.87    0.0    -1601949371.87    0    0.0    0.0    -1601949371.87    0.0    0
3    1601949372.2    1601949379.29    7.08800005913    128    8.6389    1105.7792    15.7269000591    2    3
4    1601949372.84    1601949387.94    15.0979998112    2048    6.0943    12481.1264    21.1922998112    2    5
5    1601949373.16    1601949394.11    20.9519999027    128    8.6608    1108.5824    29.6127999027    2    3
6    1601949373.16    1601949394.11    20.9530000687    128    8.6608    1108.5824    29.6138000687    2    3
7    1601949373.61    1601949394.12    20.5110001564    32    0.0061    0.1952    20.5171001564    2    2
8    1601949373.65    1601949394.12    20.4649999142    64    0.0058    0.3712    20.4707999142    2    3
9    1601949373.67    1601949394.12    20.4529998302    128    0.0071    0.9088    20.4600998302    2    3
10    1601949373.71    1601949394.12    20.4149999619    16    0.0071    0.1136    20.4220999619    2    2
11    1601949373.71    1601949394.13    20.4230000973    512    1.6271    833.0752    22.0501000973    2    3
12    1601949373.71    1601949394.15    20.4330000877    32    0.0039    0.1248    20.4369000877    2    2
13    1601949373.72    1601949394.15    20.4240000248    64    0.0041    0.2624    20.4281000248    2    3
14    1601949373.73    1601949394.15    20.4210000038    8    0.0104    0.0832    20.4314000038    2    2
15    1601949373.75    1601949394.16    20.4100000858    128    0.0049    0.6272    20.4149000858    2    3
16    1601949373.76    1601949394.17    20.4079999924    4    0.0156    0.0624    20.4235999924    2    2
17    1601949373.77    1601949394.17    20.4019999504    16    0.004    0.064    20.4059999504    2    2
18    1601949373.78    1601949394.18    20.3960001469    2    0.0249    0.0498    20.4209001469    2    2
19    1601949373.78    1601949394.18    20.3959999084    8    0.0048    0.0384    20.4007999084    2    2
20    1601949373.8    1601949394.18    20.3819999695    4    0.007    0.028    20.3889999695    2    2
21    1601949373.81    1601949394.19    20.376999855    2    0.0091    0.0182    20.386099855    2    2
22    1601949373.81    1601949394.19    20.3759999275    1    0.0001    0.0001    20.3760999275    2    2
23    1601949373.82    1601949394.19    20.3710000515    1    0.0037    0.0037    20.3747000515    2    2
24    1601949373.82    1601949394.19    20.371999979    32    0.0007    0.0224    20.372699979    2    3
25    1601949373.82    1601949394.2    20.3760001659    1    0.0307    0.0307    20.4067001659    2    2
26    1601949373.83    1601949394.2    20.375    32    0.004    0.128    20.379    2    3
27    1601949373.84    1601949394.2    20.368999958    64    0.0043    0.2752    20.373299958    2    3
28    1601949373.85    1601949394.21    20.3629999161    1    0.0118    0.0118    20.3747999161    2    2
29    1601949373.85    1601949394.21    20.3660001755    32    0.0024    0.0768    20.3684001755    2    3
30    1601949373.86    1601949394.21    20.3559999466    128    0.0052    0.6656    20.3611999466    2    3
31    1601949373.87    1601949394.22    20.3519999981    16    0.0038    0.0608    20.3557999981    2    2
32    1601949373.88    1601949394.24    20.3579998016    512    5.9134    3027.6608    26.2713998016    2    5
33    1601949373.88    1601949394.24    20.3629999161    32    0.0014    0.0448    20.3643999161    2    3
34    1601949373.89    1601949394.25    20.364000082    32    0.0124    0.3968    20.376400082    2    3
35    1601949373.89    1601949394.25    20.3619999886    63    0.0045    0.2835    20.3664999886    2    3
36    1601949373.9    1601949394.27    20.3659999371    512    0.0006    0.3072    20.3665999371    2    5
37    1601949373.9    1601949394.3    20.3970000744    28    0.005    0.14    20.4020000744    2    3
38    1601949373.91    1601949394.31    20.3960001469    256    0.012    3.072    20.4080001469    2    5
39    1601949373.91    1601949394.31    20.4000000954    8    0.0042    0.0336    20.4042000954    2    2
40    1601949373.91    1601949394.32    20.4110000134    512    0.0004    0.2048    20.4114000134    2    5
41    1601949373.92    1601949394.37    20.4419999123    512    0.0004    0.2048    20.4423999123    2    5
42    1601949373.92    1601949394.39    20.4639999866    4    0.0055    0.022    20.4694999866    2    2
43    1601949373.93    1601949394.39    20.4659998417    256    0.0064    1.6384    20.4723998417    2    5
44    1601949373.93    1601949394.4    20.4750001431    512    0.0003    0.1536    20.4753001431    2    5
45    1601949373.93    1601949394.44    20.5119998455    512    0.0005    0.256    20.5124998455    2    5
46    1601949373.94    1601949394.46    20.5239999294    2    0.0069    0.0138    20.5308999294    2    2
47    1601949373.94    1601949394.47    20.5290000439    16    0.0003    0.0048    20.5293000439    2    3
48    1601949373.94    1601949394.47    20.5329999924    512    0.0005    0.256    20.5334999924    2    5
49    1601949373.95    1601949394.5    20.5559999943    512    0.0005    0.256    20.5564999943    2    5
50    1601949373.96    1601949394.53    20.5759999752    512    0.0216    11.0592    20.5975999752    2    5
51    1601949373.96    1601949394.54    20.5779998302    1    1.0213    1.0213    21.5992998302    2    2
52    1601949373.97    1601949394.58    20.611000061    256    0.0099    2.5344    20.620900061    2    5
53    1601949373.98    1601949394.59    20.6039998531    256    0.0053    1.3568    20.6092998531    2    3
54    1601949373.99    1601949394.62    20.6330001354    512    0.0188    9.6256    20.6518001354    2    3
55    1601949373.99    1601949394.7    20.7089998722    512    0.0025    1.28    20.7114998722    2    5
56    1601949374.0    1601949394.74    20.7389998436    128    0.7185    91.968    21.4574998436    2    5
57    1601949374.01    1601949394.76    20.748000145    512    0.009    4.608    20.757000145    2    5
58    1601949374.02    1601949394.76    20.746999979    1    0.004    0.004    20.750999979    2    2
59    1601949374.02    1601949394.79    20.7660000324    512    0.0344    17.6128    20.8004000324    2    5
60    1601949374.06    1601949394.79    20.7329998016    28    0.0048    0.1344    20.7377998016    2    3
61    1601949374.06    1601949394.8    20.7330000401    32    0.0008    0.0256    20.7338000401    2    3
62    1601949374.07    1601949394.8    20.7339999676    63    0.0042    0.2646    20.7381999676    2    3
63    1601949374.08    1601949394.81    20.7219998837    63    0.0021    0.1323    20.7240998837    2    5
64    1601949374.11    1601949394.85    20.7379999161    512    0.0009    0.4608    20.7388999161    2    5
65    1601949374.11    1601949394.87    20.7590000629    512    0.0088    4.5056    20.7678000629    2    5
66    1601949374.13    1601949394.88    20.7489998341    32    0.0011    0.0352    20.7500998341    2    3
67    1601949374.14    1601949394.9    20.7690000534    512    0.0003    0.1536    20.7693000534    2    5
68    1601949374.15    1601949394.93    20.7799999714    512    0.0003    0.1536    20.7802999714    2    5
69    1601949374.17    1601949394.95    20.7860000134    512    0.0082    4.1984    20.7942000134    2    5
70    1601949374.17    1601949394.96    20.7860000134    32    0.0009    0.0288    20.7869000134    2    3
71    1601949374.18    1601949394.98    20.8029999733    32    0.0013    0.0416    20.8042999733    2    3
72    1601949374.19    1601949394.99    20.7999999523    512    0.0149    7.6288    20.8148999523    2    5
73    1601949374.2    1601949395.0    20.7990000248    32    0.0006    0.0192    20.7996000248    2    3
74    1601949374.21    1601949395.0    20.7969999313    32    0.0012    0.0384    20.7981999313    2    3
75    1601949374.22    1601949395.01    20.7879998684    32    0.0014    0.0448    20.7893998684    2    3
76    1601949374.22    1601949395.03    20.8029999733    63    0.0043    0.2709    20.8072999733    2    3
77    1601949374.29    1601949395.03    20.7400000095    512    0.0152    7.7824    20.7552000095    2    5
78    1601949374.32    0.0    -1601949374.32    0    0.0    0.0    -1601949374.32    0.0    0
79    1601949374.34    1601949395.08    20.7339999676    512    0.0148    7.5776    20.7487999676    2    5
80    1601949374.37    1601949395.81    21.4330000877    1024    0.1184    121.2416    21.5514000877    2    5
81    1601949374.39    1601949395.96    21.5759999752    512    0.0149    7.6288    21.5908999752    2    3
82    1601949374.4    1601949395.97    21.5709998608    32    0.0009    0.0288    21.5718998608    2    3
83    1601949374.4    1601949395.97    21.5680000782    32    0.0007    0.0224    21.5687000782    2    3
84    1601949374.43    1601949395.98    21.5450000763    512    0.0149    7.6288    21.5599000763    2    5
85    1601949374.43    1601949396.0    21.5690000057    32    0.0164    0.5248    21.5854000057    2    2
86    1601949374.44    1601949396.02    21.5750000477    32    0.0141    0.4512    21.5891000477    2    2
87    1601949374.46    1601949396.02    21.5590000153    512    0.0073    3.7376    21.5663000153    2    3
88    1601949374.46    1601949396.02    21.5590000153    8    2.5735    20.588    24.1325000153    2    2
89    1601949374.47    1601949396.03    21.5550000668    512    0.0074    3.7888    21.5624000668    2    5
90    1601949374.49    1601949396.05    21.5540001392    512    0.0075    3.84    21.5615001392    2    3
91    1601949374.51    1601949396.09    21.5829999447    512    0.0074    3.7888    21.5903999447    2    3
92    1601949374.52    1601949396.12    21.6059999466    1024    0.0069    7.0656    21.6128999466    2    5
93    1601949374.52    1601949396.13    21.6119999886    8    3.1769    25.4152    24.7888999886    2    2
94    1601949374.52    1601949396.13    21.6150000095    8    3.5897    28.7176    25.2047000095    2    2
95    1601949374.52    1601949396.14    21.618999958    8    2.5897    20.7176    24.208699958    2    2
96    1601949374.52    1601949396.15    21.6349999905    8    2.7306    21.8448    24.3655999905    2    2
97    1601949374.52    1601949396.17    21.6470000744    8    2.4464    19.5712    24.0934000744    2    2
98    1601949374.52    1601949396.17    21.6470000744    8    3.9251    31.4008    25.5721000744    2    2
99    1601949374.52    1601949396.17    21.6480000019    8    3.2692    26.1536    24.9172000019    2    2
100    1601949374.52    1601949396.17    21.6489999294    8    3.102    24.816    24.7509999294    2    2
101    1601949374.52    1601949396.17    21.6489999294    8    2.2579    18.0632    23.9068999294    2    2
102    1601949374.52    1601949396.17    21.6490001678    8    3.568    28.544    25.2170001678    2    2
103    1601949374.52    1601949396.17    21.6500000954    8    2.133    17.064    23.7830000954    2    2
104    1601949374.53    1601949396.17    21.6499998569    8    3.0079    24.0632    24.6578998569    2    2
105    1601949374.53    1601949396.18    21.6500000954    8    2.3134    18.5072    23.9634000954    2    2
106    1601949374.53    1601949396.18    21.6519999504    8    3.082    24.656    24.7339999504    2    2
107    1601949374.53    1601949396.18    21.6519999504    8    3.5722    28.5776    25.2241999504    2    2
108    1601949374.53    1601949396.18    21.6530001163    8    2.7415    21.932    24.3945001163    2    2
109    1601949374.53    1601949396.18    21.6529998779    8    2.8078    22.4624    24.4607998779    2    3
110    1601949374.53    1601949396.18    21.6529998779    8    2.735    21.88    24.3879998779    2    2
111    1601949374.53    1601949396.18    21.6549999714    8    3.0259    24.2072    24.6808999714    2    2
112    1601949374.53    1601949396.19    21.6560001373    8    3.6509    29.2072    25.3069001373    2    3
