#timestep  occupied-CPU  total-CPU  utilization  queuingjobs
1    20    8192    0.00244140625    0
2    256    8192    0.03125    0
3    384    8192    0.046875    1
4    3200    8192    0.390625    38
5    3712    8192    0.453125    213
6    3329    8192    0.406372070312    314
7    3200    8192    0.390625    388
8    3200    8192    0.390625    398
9    1680    8192    0.205078125    371
10    1192    8192    0.1455078125    305
11    657    8192    0.0802001953125    248
12    5393    8192    0.658325195312    322
13    7553    8192    0.921997070312    302
14    5345    8192    0.652465820312    277
15    4353    8192    0.531372070312    376
16    4353    8192    0.531372070312    376
17    4353    8192    0.531372070312    376
18    2241    8192    0.273559570312    363
19    1313    8192    0.160278320312    332
20    929    8192    0.113403320312    206
21    2985    8192    0.364379882812    152
22    4225    8192    0.515747070312    63
23    4192    8192    0.51171875    0
24    2440    8192    0.2978515625    0
25    1736    8192    0.2119140625    0
26    1632    8192    0.19921875    0
27    608    8192    0.07421875    0
28    32    8192    0.00390625    0
29    0    8192    0.0    0
30    0    8192    0.0    0
31    0    8192    0.0    0
32    0    8192    0.0    0
33    0    8192    0.0    0
34    0    8192    0.0    0
35    0    8192    0.0    1
36    0    8192    0.0    113
37    0    8192    0.0    139
38    3544    8192    0.4326171875    87
39    0    8192    0.0    82
40    0    8192    0.0    77
41    166    8192    0.020263671875    58
42    1920    8192    0.234375    25
43    1822    8192    0.222412109375    21
44    0    8192    0.0    1

average cpu utilization is: 0.227397571911
average ssd utilization is: 1.0
average gpu utilization is: 1.0
average utilization is: 0.742465857304
average queuing jobs are: 136.931818182
maximum queuing jobs are: 398


#job_number  submit  dispatch  queue  cpu#  runtime  weight  response(turnaround)  cpu_aspl  cpu_diameter
0    1601957019.29    1601957305.46    286.165999889    256    8.6395    2211.712    294.805499889    1.0    1
1    1601957306.21    1601957306.29    0.0780000686646    2048    0.1189    243.5072    0.196900068665    1.0    1
2    1601957306.84    0.0    -1601957306.84    0    0.0    0.0    -1601957306.84    0.0    0
3    1601957307.16    1601957307.17    0.00200009346008    128    8.6389    1105.7792    8.64090009346    1.0    1
4    1601957307.81    1601957307.92    0.108999967575    2048    6.0943    12481.1264    6.20329996758    1.0    1
5    1601957308.13    1601957308.13    0.0090000629425    128    8.6608    1108.5824    8.66980006294    1.0    1
6    1601957308.13    1601957308.14    0.0190000534058    128    8.6608    1108.5824    8.67980005341    1.0    1
7    1601957308.57    1601957308.58    0.0090000629425    32    0.0061    0.1952    0.0151000629425    0    0
8    1601957308.62    1601957308.63    0.0090000629425    64    0.0058    0.3712    0.0148000629425    0    0
9    1601957308.63    1601957308.65    0.0119998455048    128    0.0071    0.9088    0.0190998455048    1.0    1
10    1601957308.67    1601957308.68    0.00999999046326    16    0.0071    0.1136    0.0170999904633    0    0
11    1601957308.68    1601957308.7    0.0260000228882    512    1.6271    833.0752    1.65310002289    1.0    1
12    1601957308.68    1601957308.72    0.0390000343323    32    0.0039    0.1248    0.0429000343323    0    0
13    1601957308.69    1601957308.73    0.0430002212524    64    0.0041    0.2624    0.0471002212524    0    0
14    1601957308.7    1601957308.75    0.0529999732971    8    0.0104    0.0832    0.0633999732971    0    0
15    1601957308.71    1601957308.76    0.0490000247955    128    0.0049    0.6272    0.0539000247955    1.0    1
16    1601957308.72    1601957308.78    0.0590000152588    4    0.0156    0.0624    0.0746000152588    0    0
17    1601957308.74    1601957308.8    0.0590000152588    16    0.004    0.064    0.0630000152588    0    0
18    1601957308.74    1601957308.81    0.0680000782013    2    0.0249    0.0498    0.0929000782013    0    0
19    1601957308.75    1601957308.83    0.0789999961853    8    0.0048    0.0384    0.0837999961853    0    0
20    1601957308.76    1601957308.84    0.0789999961853    4    0.007    0.028    0.0859999961853    0    0
21    1601957308.78    1601957308.86    0.0809998512268    2    0.0091    0.0182    0.0900998512268    0    0
22    1601957308.78    1601957308.91    0.136000156403    1    0.0001    0.0001    0.136100156403    0    0
23    1601957308.79    1601957308.97    0.18799996376    1    0.0037    0.0037    0.19169996376    0    0
24    1601957308.79    1601957309.03    0.245000123978    32    0.0007    0.0224    0.245700123978    0    0
25    1601957308.79    1601957309.05    0.256999969482    1    0.0307    0.0307    0.287699969482    0    0
26    1601957308.79    1601957309.06    0.266999959946    32    0.004    0.128    0.270999959946    0    0
27    1601957308.8    1601957309.08    0.275000095367    64    0.0043    0.2752    0.279300095367    1.0    1
28    1601957308.81    1601957309.09    0.28200006485    1    0.0118    0.0118    0.29380006485    0    0
29    1601957308.81    1601957309.11    0.294999837875    32    0.0024    0.0768    0.297399837875    0    0
30    1601957308.82    1601957309.12    0.299000024796    128    0.0052    0.6656    0.304200024796    1.0    1
31    1601957308.83    1601957309.14    0.30999994278    16    0.0038    0.0608    0.31379994278    0    0
32    1601957308.84    1601957309.16    0.320000171661    512    5.9134    3027.6608    6.23340017166    1.0    1
33    1601957308.84    1601957309.19    0.343000173569    32    0.0014    0.0448    0.344400173569    0    0
34    1601957308.85    1601957309.2    0.354000091553    32    0.0124    0.3968    0.366400091553    0    0
35    1601957308.85    1601957309.22    0.368000030518    63    0.0045    0.2835    0.372500030518    0    0
36    1601957308.86    1601957310.42    1.55599999428    512    0.0006    0.3072    1.55659999428    1.75    2
37    1601957308.86    1601957310.45    1.58899998665    28    0.005    0.14    1.59399998665    0    0
38    1601957308.87    1601957310.47    1.60199999809    256    0.012    3.072    1.61399999809    1.0    1
39    1601957308.87    1601957310.51    1.6369998455    8    0.0042    0.0336    1.6411998455    0    0
40    1601957308.87    1601957310.54    1.66400003433    512    0.0004    0.2048    1.66440003433    1.0    1
41    1601957308.88    1601957310.58    1.6930000782    512    0.0004    0.2048    1.6934000782    1.0    1
42    1601957308.89    1601957310.61    1.72500014305    4    0.0055    0.022    1.73050014305    0    0
43    1601957308.89    1601957310.63    1.74100017548    256    0.0064    1.6384    1.74740017548    1.0    1
44    1601957308.89    1601957310.67    1.77600002289    512    0.0003    0.1536    1.77630002289    1.0    1
45    1601957308.89    1601957310.71    1.81699991226    512    0.0005    0.256    1.81749991226    1.0    1
46    1601957308.9    1601957310.75    1.84500002861    2    0.0069    0.0138    1.85190002861    0    0
47    1601957308.9    1601957310.77    1.86400008202    16    0.0003    0.0048    1.86430008202    0    0
