#timestep  occupied-CPU  total-CPU  utilization  queuingjobs
1    256    8192    0.03125    0
2    256    8192    0.03125    0
3    384    8192    0.046875    0
4    3968    8192    0.484375    27
5    3745    8192    0.457153320312    169
6    4008    8192    0.4892578125    154
7    4113    8192    0.502075195312    169
8    7401    8192    0.903442382812    238
9    7937    8192    0.968872070312    204
10    4609    8192    0.562622070312    175
11    4353    8192    0.531372070312    176
12    4353    8192    0.531372070312    278
13    4289    8192    0.523559570312    256
14    2321    8192    0.283325195312    220
15    5610    8192    0.684814453125    95
16    4785    8192    0.584106445312    0
17    2808    8192    0.3427734375    0
18    1848    8192    0.2255859375    0
19    1640    8192    0.2001953125    0
20    1664    8192    0.203125    0
21    624    8192    0.076171875    0
22    32    8192    0.00390625    0
23    32    8192    0.00390625    0
24    32    8192    0.00390625    0
25    32    8192    0.00390625    0
26    32    8192    0.00390625    0
27    0    8192    0.0    0
28    0    8192    0.0    0
29    0    8192    0.0    0
30    0    8192    0.0    0
31    0    8192    0.0    0
32    0    8192    0.0    0
33    0    8192    0.0    0
34    0    8192    0.0    0
35    0    8192    0.0    1
36    4752    8192    0.580078125    60
37    4895    8192    0.597534179688    70
38    64    8192    0.0078125    35
39    0    8192    0.0    0

average cpu utilization is: 0.25303923778
average ssd utilization is: 1.0
average gpu utilization is: 1.0
average utilization is: 0.75101307926
average queuing jobs are: 59.6666666667
maximum queuing jobs are: 278


#job_number  submit  dispatch  queue  cpu#  runtime  weight  response(turnaround)  cpu_aspl  cpu_diameter
0    1601957671.7    1601957949.27    277.568000078    256    8.6395    2211.712    286.207500078    2    3
1    1601957950.03    1601957950.03    0.00300002098083    2048    0.1189    243.5072    0.121900020981    2    3
2    1601957950.65    0.0    -1601957950.65    0    0.0    0.0    -1601957950.65    0.0    0
3    1601957950.98    1601957950.98    0.000999927520752    128    8.6389    1105.7792    8.63989992752    2    3
4    1601957951.63    1601957951.64    0.0179998874664    2048    6.0943    12481.1264    6.11229988747    2    3
5    1601957951.94    1601957951.94    0.00300002098083    128    8.6608    1108.5824    8.66380002098    2    3
6    1601957951.94    1601957951.95    0.00800013542175    128    8.6608    1108.5824    8.66880013542    2    3
7    1601957952.39    1601957952.39    0.00300002098083    32    0.0061    0.1952    0.00910002098083    2    2
8    1601957952.43    1601957952.44    0.00300002098083    64    0.0058    0.3712    0.00880002098083    2    2
9    1601957952.45    1601957952.45    0.00300002098083    128    0.0071    0.9088    0.0101000209808    2    3
10    1601957952.49    1601957952.49    0.00399994850159    16    0.0071    0.1136    0.0110999485016    2    2
11    1601957952.49    1601957952.5    0.00699996948242    512    1.6271    833.0752    1.63409996948    2    3
12    1601957952.49    1601957952.51    0.0139999389648    32    0.0039    0.1248    0.0178999389648    2    3
13    1601957952.5    1601957952.52    0.0120000839233    64    0.0041    0.2624    0.0161000839233    2    3
14    1601957952.51    1601957952.52    0.00999999046326    8    0.0104    0.0832    0.0203999904633    2    2
15    1601957952.53    1601957952.53    0.00499987602234    128    0.0049    0.6272    0.00989987602234    2    3
16    1601957952.54    1601957952.54    0.00600004196167    4    0.0156    0.0624    0.0216000419617    2    2
17    1601957952.55    1601957952.55    0.00300002098083    16    0.004    0.064    0.00700002098083    2    2
18    1601957952.56    1601957952.56    0.00399994850159    2    0.0249    0.0498    0.0288999485016    2    2
19    1601957952.56    1601957952.57    0.00600004196167    8    0.0048    0.0384    0.0108000419617    2    2
20    1601957952.57    1601957952.58    0.00300002098083    4    0.007    0.028    0.0100000209808    2    2
21    1601957952.59    1601957952.59    0.00400018692017    2    0.0091    0.0182    0.0131001869202    2    2
