#timestep  occupied-CPU  total-CPU  utilization  queuingjobs
1    256    8192    0.03125    0
2    256    8192    0.03125    0
3    384    8192    0.046875    0
4    3712    8192    0.453125    33
5    3720    8192    0.4541015625    223
6    4040    8192    0.4931640625    201
7    3985    8192    0.486450195312    177
8    6371    8192    0.777709960938    212
9    7681    8192    0.937622070312    204
10    4577    8192    0.558715820312    176
11    4353    8192    0.531372070312    278
12    4353    8192    0.531372070312    279
13    1378    8192    0.168212890625    259
14    1977    8192    0.241333007812    265
15    4578    8192    0.558837890625    63
16    4905    8192    0.598754882812    0
17    2640    8192    0.322265625    0
18    1784    8192    0.2177734375    0
19    1704    8192    0.2080078125    1
20    1712    8192    0.208984375    0
21    544    8192    0.06640625    0
22    32    8192    0.00390625    0
23    32    8192    0.00390625    0
24    32    8192    0.00390625    0
25    0    8192    0.0    0
26    0    8192    0.0    0
27    0    8192    0.0    0
28    0    8192    0.0    0
29    0    8192    0.0    0
30    0    8192    0.0    0
31    0    8192    0.0    0
32    0    8192    0.0    0
33    0    8192    0.0    0
34    0    8192    0.0    50
35    4160    8192    0.5078125    87
36    5565    8192    0.679321289062    61
37    3854    8192    0.470458984375    23
38    0    8192    0.0    0

average cpu utilization is: 0.252444618627
average ssd utilization is: 1.0
average gpu utilization is: 1.0
average utilization is: 0.750814872876
average queuing jobs are: 68.2105263158
maximum queuing jobs are: 279


#job_number  submit  dispatch  queue  cpu#  runtime  weight  response(turnaround)  cpu_aspl  cpu_diameter
0    1601958458.99    1601958759.12    300.134000063    256    8.6395    2211.712    308.773500063    2    3
1    1601958759.89    1601958759.89    0.00500011444092    2048    0.1189    243.5072    0.123900114441    2    3
2    1601958760.51    0.0    -1601958760.51    0    0.0    0.0    -1601958760.51    0.0    0
3    1601958760.84    1601958760.84    0.0    128    8.6389    1105.7792    8.6389    2    3
4    1601958761.48    1601958761.5    0.0169999599457    2048    6.0943    12481.1264    6.11129995995    2    3
5    1601958761.8    1601958761.8    0.00399994850159    128    8.6608    1108.5824    8.6647999485    2    3
6    1601958761.8    1601958761.81    0.00999999046326    128    8.6608    1108.5824    8.67079999046    2    3
7    1601958762.24    1601958762.24    0.00299978256226    32    0.0061    0.1952    0.00909978256226    2    2
8    1601958762.29    1601958762.29    0.00300002098083    64    0.0058    0.3712    0.00880002098083    2    2
9    1601958762.3    1601958762.31    0.00300002098083    128    0.0071    0.9088    0.0101000209808    2    3
10    1601958762.34    1601958762.35    0.00500011444092    16    0.0071    0.1136    0.0121001144409    2    2
11    1601958762.35    1601958762.35    0.00699996948242    512    1.6271    833.0752    1.63409996948    2    3
12    1601958762.35    1601958762.36    0.0160000324249    32    0.0039    0.1248    0.0199000324249    2    3
13    1601958762.36    1601958762.37    0.0120000839233    64    0.0041    0.2624    0.0161000839233    2    3
14    1601958762.37    1601958762.38    0.010999917984    8    0.0104    0.0832    0.021399917984    2    2
15    1601958762.38    1601958762.39    0.00699996948242    128    0.0049    0.6272    0.0118999694824    2    3
16    1601958762.39    1601958762.4    0.00600004196167    4    0.0156    0.0624    0.0216000419617    2    2
17    1601958762.4    1601958762.41    0.00399994850159    16    0.004    0.064    0.00799994850159    2    2
18    1601958762.41    1601958762.42    0.00499987602234    2    0.0249    0.0498    0.0298998760223    2    2
19    1601958762.41    1601958762.42    0.00699996948242    8    0.0048    0.0384    0.0117999694824    2    2
20    1601958762.43    1601958762.43    0.00400018692017    4    0.007    0.028    0.0110001869202    2    2
21    1601958762.44    1601958762.45    0.00399994850159    2    0.0091    0.0182    0.0130999485016    2    2
22    1601958762.44    1601958762.45    0.00600004196167    1    0.0001    0.0001    0.00610004196167    2    2
23    1601958762.45    1601958762.46    0.00600004196167    1    0.0037    0.0037    0.00970004196167    2    2
24    1601958762.45    1601958762.46    0.00999999046326    32    0.0007    0.0224    0.0106999904633    2    3
25    1601958762.46    1601958762.47    0.0149998664856    1    0.0307    0.0307    0.0456998664856    2    2
26    1601958762.46    1601958762.48    0.0189998149872    32    0.004    0.128    0.0229998149872    2    3
27    1601958762.47    1601958762.49    0.0190000534058    64    0.0043    0.2752    0.0233000534058    2    3
28    1601958762.48    1601958762.49    0.0150001049042    1    0.0118    0.0118    0.0268001049042    2    2
29    1601958762.48    1601958762.5    0.0209999084473    32    0.0024    0.0768    0.0233999084473    2    3
30    1601958762.49    1601958762.51    0.0199999809265    128    0.0052    0.6656    0.0251999809265    2    3
31    1601958762.5    1601958762.52    0.021999835968    16    0.0038    0.0608    0.025799835968    2    2
32    1601958762.51    1601958762.53    0.0199999809265    512    5.9134    3027.6608    5.93339998093    2    3
33    1601958762.51    1601958762.54    0.0309998989105    32    0.0014    0.0448    0.0323998989105    2    2
34    1601958762.52    1601958762.55    0.0349998474121    32    0.0124    0.3968    0.0473998474121    2    2
35    1601958762.52    1601958762.56    0.0390000343323    63    0.0045    0.2835    0.0435000343323    2    3
36    1601958762.53    1601958762.57    0.0410001277924    512    0.0006    0.3072    0.0416001277924    2    5
37    1601958762.53    1601958762.6    0.069000005722    28    0.005    0.14    0.074000005722    2    2
38    1601958762.54    1601958762.61    0.0750000476837    256    0.012    3.072    0.0870000476837    2    3
39    1601958762.54    1601958762.62    0.0809998512268    8    0.0042    0.0336    0.0851998512268    2    2
40    1601958762.54    1601958762.64    0.102999925613    512    0.0004    0.2048    0.103399925613    2    5
41    1601958762.55    1601958762.72    0.167999982834    512    0.0004    0.2048    0.168399982834    2    5
42    1601958762.55    1601958762.78    0.223000049591    4    0.0055    0.022    0.228500049591    2    2
43    1601958762.55    1601958762.81    0.253000020981    256    0.0064    1.6384    0.259400020981    2    3
44    1601958762.56    1601958762.86    0.309000015259    512    0.0003    0.1536    0.309300015259    2    5
45    1601958762.56    1601958762.94    0.381999969482    512    0.0005    0.256    0.382499969482    2    5
46    1601958762.57    1601958762.97    0.401999950409    2    0.0069    0.0138    0.408899950409    2    2
47    1601958762.57    1601958762.97    0.40700006485    16    0.0003    0.0048    0.40730006485    2    2
48    1601958762.57    1601958762.98    0.412000179291    512    0.0005    0.256    0.412500179291    2    5
49    1601958762.58    1601958763.01    0.43499994278    512    0.0005    0.256    0.43549994278    2    5
50    1601958762.59    1601958763.04    0.457000017166    512    0.0216    11.0592    0.478600017166    2    5
51    1601958762.59    1601958763.06    0.464999914169    1    1.0213    1.0213    1.48629991417    2    2
52    1601958762.6    1601958763.07    0.468000173569    256    0.0099    2.5344    0.477900173569    2    3
53    1601958762.61    1601958763.1    0.495000123978    256    0.0053    1.3568    0.500300123978    2    3
54    1601958762.62    1601958763.12    0.509999990463    512    0.0188    9.6256    0.528799990463    2    5
55    1601958762.62    1601958763.14    0.523999929428    512    0.0025    1.28    0.526499929428    2    3
56    1601958762.62    1601958763.21    0.585999965668    128    0.7185    91.968    1.30449996567    2    3
57    1601958762.63    1601958763.24    0.604000091553    512    0.009    4.608    0.613000091553    2    5
58    1601958762.64    1601958763.26    0.617000102997    1    0.004    0.004    0.621000102997    2    2
59    1601958762.65    1601958763.28    0.634999990463    512    0.0344    17.6128    0.669399990463    2    5
60    1601958762.69    1601958763.29    0.604000091553    28    0.0048    0.1344    0.608800091553    2    2
61    1601958762.69    1601958763.3    0.610000133514    32    0.0008    0.0256    0.610800133514    2    2
62    1601958762.7    1601958763.31    0.615000009537    63    0.0042    0.2646    0.619200009537    2    2
63    1601958762.71    1601958763.34    0.625    63    0.0021    0.1323    0.6271    2    2
64    1601958762.74    1601958763.35    0.614000082016    512    0.0009    0.4608    0.614900082016    2    5
65    1601958762.74    1601958763.39    0.643000125885    512    0.0088    4.5056    0.651800125885    2    5
66    1601958762.76    1601958763.42    0.656000137329    32    0.0011    0.0352    0.657100137329    2    2
67    1601958762.77    1601958763.43    0.663000106812    512    0.0003    0.1536    0.663300106812    2    5
68    1601958762.78    1601958763.46    0.681999921799    512    0.0003    0.1536    0.682299921799    2    5
69    1601958762.8    1601958763.5    0.697000026703    512    0.0082    4.1984    0.705200026703    2    5
70    1601958762.81    1601958763.51    0.700000047684    32    0.0009    0.0288    0.700900047684    2    2
71    1601958762.81    1601958763.54    0.725000143051    32    0.0013    0.0416    0.726300143051    2    2
72    1601958762.82    1601958763.55    0.724999904633    512    0.0149    7.6288    0.739899904633    2    5
73    1601958762.83    1601958763.56    0.727999925613    32    0.0006    0.0192    0.728599925613    2    2
74    1601958762.84    1601958763.59    0.74799990654    32    0.0012    0.0384    0.74919990654    2    2
75    1601958762.85    1601958763.6    0.743999958038    32    0.0014    0.0448    0.745399958038    2    2
76    1601958762.86    1601958763.61    0.748999834061    63    0.0043    0.2709    0.753299834061    2    2
77    1601958762.92    1601958763.62    0.694999933243    512    0.0152    7.7824    0.710199933243    2    5
78    1601958762.95    0.0    -1601958762.95    0    0.0    0.0    -1601958762.95    0.0    0
79    1601958762.97    1601958763.63    0.657999992371    512    0.0148    7.5776    0.672799992371    2    3
80    1601958763.01    1601958763.68    0.679999828339    1024    0.1184    121.2416    0.798399828339    2    5
81    1601958763.02    1601958763.7    0.680000066757    512    0.0149    7.6288    0.694900066757    2    3
82    1601958763.03    1601958763.71    0.683000087738    32    0.0009    0.0288    0.683900087738    2    2
83    1601958763.04    1601958763.75    0.710999965668    32    0.0007    0.0224    0.711699965668    2    2
84    1601958763.06    1601958763.76    0.696000099182    512    0.0149    7.6288    0.710900099182    2    3
85    1601958763.07    1601958763.78    0.707000017166    32    0.0164    0.5248    0.723400017166    2    2
86    1601958763.07    1601958763.84    0.766000032425    32    0.0141    0.4512    0.780100032425    2    2
87    1601958763.09    1601958763.87    0.777000188828    512    0.0073    3.7376    0.784300188828    2    5
88    1601958763.1    1601958763.88    0.783999919891    8    2.5735    20.588    3.35749991989    2    2
89    1601958763.1    1601958763.91    0.803999900818    512    0.0074    3.7888    0.811399900818    2    5
90    1601958763.13    1601958763.95    0.826999902725    512    0.0075    3.84    0.834499902725    2    5
91    1601958763.14    1601958764.03    0.887000083923    512    0.0074    3.7888    0.894400083923    2    3
92    1601958763.15    1601958764.15    1.00400018692    1024    0.0069    7.0656    1.01090018692    2    5
93    1601958763.15    1601958764.27    1.125    8    3.1769    25.4152    4.3019    2    2
94    1601958763.15    1601958764.36    1.21500015259    8    3.5897    28.7176    4.80470015259    2    2
95    1601958763.15    1601958764.41    1.257999897    8    2.5897    20.7176    3.847699897    2    2
96    1601958763.15    1601958764.44    1.29299998283    8    2.7306    21.8448    4.02359998283    2    2
97    1601958763.15    1601958764.48    1.32299995422    8    2.4464    19.5712    3.76939995422    2    2
98    1601958763.15    1601958764.51    1.35500001907    8    3.9251    31.4008    5.28010001907    2    2
