#timestep  occupied-CPU  total-CPU  utilization  queuingjobs
1    995    8192    0.121459960938    3
2    8192    8192    1.0    7
3    8192    8192    1.0    13
4    5319    8192    0.649291992188    0
5    2048    8192    0.25    29
6    2048    8192    0.25    66
7    515    8192    0.0628662109375    87
8    3494    8192    0.426513671875    121
9    8192    8192    1.0    123
10    8192    8192    1.0    127
11    8192    8192    1.0    133
12    3532    8192    0.43115234375    149
13    0    8192    0.0    172
14    1103    8192    0.134643554688    184
15    8192    8192    1.0    193
16    8192    8192    1.0    202
17    8192    8192    1.0    219
18    6506    8192    0.794189453125    222
19    1043    8192    0.127319335938    241
20    8192    8192    1.0    241
21    8192    8192    1.0    316
22    1031    8192    0.125854492188    352
23    0    8192    0.0    367
24    8192    8192    1.0    392
25    8192    8192    1.0    395
26    5645    8192    0.689086914062    394
27    8192    8192    1.0    392
28    8192    8192    1.0    387
29    8192    8192    1.0    386
30    8192    8192    1.0    404
31    8192    8192    1.0    416
32    8192    8192    1.0    431
33    3328    8192    0.40625    479
34    8192    8192    1.0    486
35    8192    8192    1.0    486
36    3395    8192    0.414428710938    498
37    8192    8192    1.0    509
38    8192    8192    1.0    525
39    8192    8192    1.0    569
40    8192    8192    1.0    630
41    8192    8192    1.0    682
42    835    8192    0.101928710938    712
43    8192    8192    1.0    761
44    8192    8192    1.0    819
45    8192    8192    1.0    875
46    1590    8192    0.194091796875    889
47    8192    8192    1.0    880
48    7374    8192    0.900146484375    874
49    8192    8192    1.0    871
50    6144    8192    0.75    870
51    8192    8192    1.0    866
52    8192    8192    1.0    861
53    8192    8192    1.0    857
54    6144    8192    0.75    839
55    6144    8192    0.75    839
56    8192    8192    1.0    835
57    7424    8192    0.90625    833
58    0    8192    0.0    831
59    3221    8192    0.393188476562    818
60    8192    8192    1.0    806
61    6311    8192    0.770385742188    802
62    1546    8192    0.188720703125    789
63    3584    8192    0.4375    763
64    2048    8192    0.25    763
65    2048    8192    0.25    763
66    8192    8192    1.0    754
67    8192    8192    1.0    754
68    8192    8192    1.0    750
69    6144    8192    0.75    747
70    8192    8192    1.0    746
71    6400    8192    0.78125    719
72    7936    8192    0.96875    717
73    6849    8192    0.836059570312    713
74    8192    8192    1.0    709
75    8192    8192    1.0    705
76    8192    8192    1.0    700
77    8016    8192    0.978515625    695
78    6320    8192    0.771484375    689
79    4096    8192    0.5    676
80    3472    8192    0.423828125    662
81    5131    8192    0.626342773438    654
82    2048    8192    0.25    644
83    967    8192    0.118041992188    631
84    735    8192    0.0897216796875    618
85    6144    8192    0.75    610
86    0    8192    0.0    598
87    4096    8192    0.5    583
88    8192    8192    1.0    581
89    8192    8192    1.0    581
90    8192    8192    1.0    581
91    8192    8192    1.0    580
92    8192    8192    1.0    577
93    8192    8192    1.0    576
94    3694    8192    0.450927734375    575
95    1608    8192    0.1962890625    574
96    0    8192    0.0    574
97    0    8192    0.0    573
98    294    8192    0.035888671875    572
99    6646    8192    0.811279296875    571
100    8192    8192    1.0    570
101    8192    8192    1.0    569
102    256    8192    0.03125    538
103    8192    8192    1.0    530
104    0    8192    0.0    529
105    8192    8192    1.0    527
106    8192    8192    1.0    526
107    8192    8192    1.0    525
108    6227    8192    0.760131835938    524
109    1490    8192    0.181884765625    522
110    8192    8192    1.0    521
111    2048    8192    0.25    506
112    8192    8192    1.0    498
113    8192    8192    1.0    473
114    8192    8192    1.0    469
115    7680    8192    0.9375    465
116    8192    8192    1.0    460
117    8192    8192    1.0    452
118    8192    8192    1.0    447
119    1996    8192    0.24365234375    439
120    8192    8192    1.0    436
121    19    8192    0.0023193359375    433
122    0    8192    0.0    429
123    4808    8192    0.5869140625    424
124    5113    8192    0.624145507812    414
125    7148    8192    0.87255859375    410
126    6656    8192    0.8125    399
127    4526    8192    0.552490234375    390
128    8192    8192    1.0    372
129    2965    8192    0.361938476562    359
