#timestep  occupied-CPU  total-CPU  utilization  queuingjobs
1    0    2048    0.0    1
2    256    2048    0.125    1
3    256    2048    0.125    3
4    256    2048    0.125    9
5    256    2048    0.125    69
6    256    2048    0.125    222
7    256    2048    0.125    288
8    256    2048    0.125    355
9    256    2048    0.125    405
10    0    2048    0.0    450
11    0    2048    0.0    473
12    128    2048    0.0625    576
13    128    2048    0.0625    581
14    128    2048    0.0625    581
15    128    2048    0.0625    582
16    128    2048    0.0625    684
17    128    2048    0.0625    684
18    128    2048    0.0625    686
19    128    2048    0.0625    787
20    0    2048    0.0    789
21    0    2048    0.0    789
22    0    2048    0.0    789
23    2048    2048    1.0    791
24    2048    2048    1.0    791
25    2048    2048    1.0    792
26    2048    2048    1.0    811
27    2048    2048    1.0    811
28    2048    2048    1.0    814
29    768    2048    0.375    787
30    768    2048    0.375    779
31    897    2048    0.43798828125    760
32    768    2048    0.375    739
33    768    2048    0.375    739
34    1312    2048    0.640625    735
35    264    2048    0.12890625    727
36    264    2048    0.12890625    727
37    800    2048    0.390625    602
38    800    2048    0.390625    599
39    392    2048    0.19140625    596
40    41    2048    0.02001953125    536
41    1    2048    0.00048828125    531
42    1    2048    0.00048828125    545
43    129    2048    0.06298828125    591
44    0    2048    0.0    639
45    0    2048    0.0    658
46    1280    2048    0.625    651
47    1280    2048    0.625    630
48    1280    2048    0.625    630
49    1280    2048    0.625    630
50    1280    2048    0.625    630
51    1280    2048    0.625    630
52    1280    2048    0.625    630
53    1280    2048    0.625    630
54    0    2048    0.0    628
55    0    2048    0.0    628
56    2048    2048    1.0    627
57    2048    2048    1.0    627
58    2048    2048    1.0    627
59    2048    2048    1.0    627
60    2048    2048    1.0    627
61    0    2048    0.0    626
62    0    2048    0.0    619
63    1249    2048    0.60986328125    599
64    1025    2048    0.50048828125    599
65    1025    2048    0.50048828125    599
66    1    2048    0.00048828125    599
67    1    2048    0.00048828125    586
68    1    2048    0.00048828125    586
69    590    2048    0.2880859375    585
70    1    2048    0.00048828125    584
71    0    2048    0.0    584
72    0    2048    0.0    560
73    0    2048    0.0    545
74    0    2048    0.0    545
75    0    2048    0.0    545
76    32    2048    0.015625    536
77    32    2048    0.015625    536
78    480    2048    0.234375    529
79    896    2048    0.4375    416
80    1920    2048    0.9375    415
81    1568    2048    0.765625    415
82    2048    2048    1.0    364
83    2048    2048    1.0    356
84    2040    2048    0.99609375    329
85    1928    2048    0.94140625    312
86    1840    2048    0.8984375    312
87    2041    2048    0.99658203125    255
88    2048    2048    1.0    249
89    1393    2048    0.68017578125    190
90    528    2048    0.2578125    162
91    304    2048    0.1484375    162
92    128    2048    0.0625    162
93    96    2048    0.046875    162
94    32    2048    0.015625    162
95    0    2048    0.0    162
96    0    2048    0.0    162
97    0    2048    0.0    161
98    0    2048    0.0    161
99    0    2048    0.0    161
100    0    2048    0.0    161
101    0    2048    0.0    127
102    0    2048    0.0    104
103    0    2048    0.0    104
104    2048    2048    1.0    103
