#timestep  occupied-CPU  total-CPU  utilization  queuingjobs
1    0    2048    0.0    2
2    0    2048    0.0    9
3    0    2048    0.0    11
4    2048    2048    1.0    17
5    0    2048    0.0    20
6    0    2048    0.0    49
7    2048    2048    1.0    49
8    0    2048    0.0    85
9    0    2048    0.0    102
10    0    2048    0.0    112
11    0    2048    0.0    140
12    0    2048    0.0    142
13    0    2048    0.0    148
14    2048    2048    1.0    150
15    0    2048    0.0    152
16    0    2048    0.0    164
17    2048    2048    1.0    178
18    0    2048    0.0    197
19    0    2048    0.0    209
20    0    2048    0.0    214
21    2048    2048    1.0    222
22    0    2048    0.0    230
23    2048    2048    1.0    243
24    0    2048    0.0    247
25    0    2048    0.0    266
26    0    2048    0.0    266
27    0    2048    0.0    307
28    0    2048    0.0    357
29    0    2048    0.0    375
30    256    2048    0.125    389
31    0    2048    0.0    401
32    0    2048    0.0    421
33    2048    2048    1.0    422
34    2048    2048    1.0    423
35    2048    2048    1.0    423
36    2048    2048    1.0    423
37    0    2048    0.0    405
38    0    2048    0.0    406
39    2048    2048    1.0    407
40    0    2048    0.0    428
41    2048    2048    1.0    445
42    0    2048    0.0    461
43    0    2048    0.0    505
44    0    2048    0.0    521
45    2048    2048    1.0    520
46    0    2048    0.0    521
47    0    2048    0.0    533
48    0    2048    0.0    543
49    0    2048    0.0    553
50    2048    2048    1.0    573
51    2048    2048    1.0    625
52    0    2048    0.0    699
53    2048    2048    1.0    718
54    0    2048    0.0    734
55    0    2048    0.0    772
56    0    2048    0.0    826
57    2048    2048    1.0    869
58    0    2048    0.0    919
59    0    2048    0.0    956
60    2048    2048    1.0    955
61    0    2048    0.0    955
62    0    2048    0.0    955
63    0    2048    0.0    955
64    0    2048    0.0    955
65    2048    2048    1.0    950
66    0    2048    0.0    949
67    0    2048    0.0    949
68    0    2048    0.0    949
69    2048    2048    1.0    948
70    2048    2048    1.0    948
71    2048    2048    1.0    948
72    2048    2048    1.0    948
73    0    2048    0.0    947
74    0    2048    0.0    947
75    0    2048    0.0    947
76    2048    2048    1.0    945
77    0    2048    0.0    945
78    0    2048    0.0    945
79    0    2048    0.0    945
80    2048    2048    1.0    944
81    0    2048    0.0    944
82    0    2048    0.0    944
83    0    2048    0.0    944
84    2048    2048    1.0    943
85    0    2048    0.0    943
86    0    2048    0.0    943
87    2048    2048    1.0    942
88    0    2048    0.0    942
89    0    2048    0.0    942
90    2048    2048    1.0    941
91    0    2048    0.0    941
92    0    2048    0.0    941
93    0    2048    0.0    941
94    2048    2048    1.0    940
95    0    2048    0.0    940
96    0    2048    0.0    940
97    2048    2048    1.0    939
98    0    2048    0.0    939
99    0    2048    0.0    939
100    0    2048    0.0    939
101    0    2048    0.0    939
102    2048    2048    1.0    938
103    0    2048    0.0    938
104    0    2048    0.0    938
105    0    2048    0.0    938
106    0    2048    0.0    938
107    2048    2048    1.0    937
108    0    2048    0.0    937
109    0    2048    0.0    937
110    2048    2048    1.0    936
111    0    2048    0.0    936
112    0    2048    0.0    936
113    2048    2048    1.0    935
114    0    2048    0.0    935
115    2048    2048    1.0    934
116    0    2048    0.0    934
117    0    2048    0.0    934
118    2048    2048    1.0    933
119    2048    2048    1.0    933
120    0    2048    0.0    933
121    2048    2048    1.0    932
122    2048    2048    1.0    932
123    0    2048    0.0    932
124    2048    2048    1.0    931
125    0    2048    0.0    931
126    0    2048    0.0    931
