#timestep  occupied-CPU  total-CPU  utilization  queuingjobs
1    96    4096    0.0234375    4
2    1400    4096    0.341796875    48
3    1228    4096    0.2998046875    105
4    1316    4096    0.3212890625    129
5    896    4096    0.21875    174
6    1412    4096    0.3447265625    205
7    1260    4096    0.3076171875    260
8    780    4096    0.1904296875    292
9    932    4096    0.2275390625    325
10    1196    4096    0.2919921875    362
11    1504    4096    0.3671875    424
12    1804    4096    0.4404296875    439
13    1245    4096    0.303955078125    482
14    1548    4096    0.3779296875    520
15    1092    4096    0.2666015625    548
16    2020    4096    0.4931640625    600
17    1732    4096    0.4228515625    659
18    1320    4096    0.322265625    711
19    1164    4096    0.2841796875    766
20    1140    4096    0.2783203125    829
21    1228    4096    0.2998046875    877
22    1232    4096    0.30078125    918
23    1128    4096    0.275390625    971
24    1860    4096    0.4541015625    1018
25    1472    4096    0.359375    1069
26    1548    4096    0.3779296875    1119
27    1892    4096    0.4619140625    1150
28    1472    4096    0.359375    1198
29    1108    4096    0.2705078125    1251
30    1404    4096    0.3427734375    1275
31    1232    4096    0.30078125    1331
32    1203    4096    0.293701171875    1373
33    1144    4096    0.279296875    1411
34    1528    4096    0.373046875    1464
35    688    4096    0.16796875    1506
36    1012    4096    0.2470703125    1539
37    1628    4096    0.3974609375    1581
38    1568    4096    0.3828125    1611
39    1592    4096    0.388671875    1651
40    1108    4096    0.2705078125    1711
41    968    4096    0.236328125    1753
42    988    4096    0.2412109375    1771
43    1064    4096    0.259765625    1822
44    1291    4096    0.315185546875    1863
45    1764    4096    0.4306640625    1886
46    1332    4096    0.3251953125    1926
47    1272    4096    0.310546875    1957
48    1740    4096    0.4248046875    2002
49    1296    4096    0.31640625    2040
50    1488    4096    0.36328125    2066
51    1072    4096    0.26171875    2110
52    748    4096    0.1826171875    2150
53    1092    4096    0.2666015625    2186
54    1196    4096    0.2919921875    2219
55    1532    4096    0.3740234375    2250
56    1624    4096    0.396484375    2288
57    932    4096    0.2275390625    2336
58    1672    4096    0.408203125    2358
59    1204    4096    0.2939453125    2393
60    1206    4096    0.29443359375    2449
61    1280    4096    0.3125    2512
62    900    4096    0.2197265625    2548
63    1215    4096    0.296630859375    2614
64    1852    4096    0.4521484375    2640
65    1868    4096    0.4560546875    2682
66    828    4096    0.2021484375    2737
67    1908    4096    0.4658203125    2780
68    936    4096    0.228515625    2811
69    1000    4096    0.244140625    2833
70    1440    4096    0.3515625    2889
71    1568    4096    0.3828125    2954
72    1352    4096    0.330078125    2983
73    1868    4096    0.4560546875    3030
74    912    4096    0.22265625    3077
75    1384    4096    0.337890625    3122
76    1708    4096    0.4169921875    3167
77    1456    4096    0.35546875    3230
78    920    4096    0.224609375    3266
79    868    4096    0.2119140625    3317
80    1404    4096    0.3427734375    3348
81    1324    4096    0.3232421875    3393
82    940    4096    0.2294921875    3446
83    993    4096    0.242431640625    3478
84    724    4096    0.1767578125    3540
85    529    4096    0.129150390625    3590
86    1108    4096    0.2705078125    3633
87    1228    4096    0.2998046875    3684
88    1328    4096    0.32421875    3738
89    1208    4096    0.294921875    3783
90    1259    4096    0.307373046875    3812
91    744    4096    0.181640625    3846
92    1604    4096    0.3916015625    3884
93    949    4096    0.231689453125    3933
94    1336    4096    0.326171875    3968
95    1700    4096    0.4150390625    4005
96    1640    4096    0.400390625    4056
97    548    4096    0.1337890625    4090
98    1444    4096    0.3525390625    4121
99    1460    4096    0.3564453125    4152
100    1532    4096    0.3740234375    4215
101    1832    4096    0.447265625    4240
102    1372    4096    0.3349609375    4273
103    1460    4096    0.3564453125    4329
104    896    4096    0.21875    4386
105    644    4096    0.1572265625    4336
106    1288    4096    0.314453125    4271
107    1788    4096    0.4365234375    4223
108    968    4096    0.236328125    4167
109    1696    4096    0.4140625    4120
110    1060    4096    0.2587890625    4048
111    1412    4096    0.3447265625    4000
112    1552    4096    0.37890625    3951
113    1454    4096    0.35498046875    3908
114    830    4096    0.20263671875    3827
115    1368    4096    0.333984375    3782
116    1519    4096    0.370849609375    3741
117    1556    4096    0.3798828125    3707
118    1032    4096    0.251953125    3663
119    980    4096    0.2392578125    3614
120    992    4096    0.2421875    3575
121    1400    4096    0.341796875    3534
122    892    4096    0.2177734375    3495
123    856    4096    0.208984375    3456
124    1034    4096    0.25244140625    3403
125    1144    4096    0.279296875    3347
126    1116    4096    0.2724609375    3287
127    1528    4096    0.373046875    3249
128    1480    4096    0.361328125    3176
129    1536    4096    0.375    3125
130    1160    4096    0.283203125    3077
131    1160    4096    0.283203125    3028
132    1132    4096    0.2763671875    2970
133    1228    4096    0.2998046875    2905
134    502    4096    0.12255859375    2833
135    868    4096    0.2119140625    2793
136    748    4096    0.1826171875    2734
137    1004    4096    0.2451171875    2672
138    1588    4096    0.3876953125    2632
139    756    4096    0.1845703125    2594
140    492    4096    0.1201171875    2539
141    1188    4096    0.2900390625    2492
142    860    4096    0.2099609375    2440
143    1928    4096    0.470703125    2374
144    1112    4096    0.271484375    2316
145    1352    4096    0.330078125    2262
146    820    4096    0.2001953125    2228
147    1024    4096    0.25    2188
148    1476    4096    0.3603515625    2145
149    1768    4096    0.431640625    2101
150    1140    4096    0.2783203125    2060
151    1316    4096    0.3212890625    2005
152    1364    4096    0.3330078125    1961
153    2096    4096    0.51171875    1920
154    1728    4096    0.421875    1870
155    1552    4096    0.37890625    1820
156    1424    4096    0.34765625    1779
157    684    4096    0.1669921875    1716
158    772    4096    0.1884765625    1673
159    1200    4096    0.29296875    1618
160    1492    4096    0.3642578125    1578
161    1652    4096    0.4033203125    1537
162    1184    4096    0.2890625    1486
163    1360    4096    0.33203125    1441
164    1040    4096    0.25390625    1385
165    1180    4096    0.2880859375    1336
166    1364    4096    0.3330078125    1279
167    1580    4096    0.3857421875    1233
168    1052    4096    0.2568359375    1175
169    1416    4096    0.345703125    1136
