#timestep  occupied-CPU  total-CPU  utilization  queuingjobs
1    16    1024    0.015625    2
2    356    1024    0.34765625    7
3    104    1024    0.1015625    16
4    0    1024    0.0    30
5    384    1024    0.375    38
6    4    1024    0.00390625    55
7    260    1024    0.25390625    69
8    256    1024    0.25    78
9    256    1024    0.25    92
10    260    1024    0.25390625    93
11    256    1024    0.25    111
12    268    1024    0.26171875    113
13    272    1024    0.265625    129
14    268    1024    0.26171875    138
15    416    1024    0.40625    143
16    285    1024    0.2783203125    155
17    368    1024    0.359375    166
18    260    1024    0.25390625    185
19    272    1024    0.265625    204
20    260    1024    0.25390625    219
21    216    1024    0.2109375    218
22    256    1024    0.25    233
23    4    1024    0.00390625    231
24    328    1024    0.3203125    233
25    470    1024    0.458984375    231
26    272    1024    0.265625    248
27    352    1024    0.34375    255
28    128    1024    0.125    265
29    576    1024    0.5625    278
30    16    1024    0.015625    286
31    16    1024    0.015625    299
32    0    1024    0.0    312
33    4    1024    0.00390625    317
34    516    1024    0.50390625    316
35    248    1024    0.2421875    313
36    256    1024    0.25    324
37    64    1024    0.0625    330
38    128    1024    0.125    330
39    2    1024    0.001953125    339
40    256    1024    0.25    351
41    256    1024    0.25    365
42    256    1024    0.25    378
43    4    1024    0.00390625    385
44    644    1024    0.62890625    401
45    102    1024    0.099609375    409
46    416    1024    0.40625    418
47    68    1024    0.06640625    425
48    372    1024    0.36328125    425
49    388    1024    0.37890625    420
50    64    1024    0.0625    434
51    144    1024    0.140625    436
52    260    1024    0.25390625    456
53    516    1024    0.50390625    461
54    8    1024    0.0078125    472
55    530    1024    0.517578125    486
56    156    1024    0.15234375    478
57    256    1024    0.25    495
58    260    1024    0.25390625    510
59    136    1024    0.1328125    520
60    256    1024    0.25    533
61    276    1024    0.26953125    546
62    320    1024    0.3125    560
63    288    1024    0.28125    572
64    448    1024    0.4375    579
65    260    1024    0.25390625    593
66    0    1024    0.0    607
67    16    1024    0.015625    622
68    272    1024    0.265625    636
69    256    1024    0.25    655
70    272    1024    0.265625    664
71    624    1024    0.609375    671
72    96    1024    0.09375    680
73    0    1024    0.0    690
74    256    1024    0.25    704
75    372    1024    0.36328125    711
76    512    1024    0.5    717
77    333    1024    0.3251953125    720
78    48    1024    0.046875    726
79    272    1024    0.265625    742
80    156    1024    0.15234375    744
81    336    1024    0.328125    756
82    264    1024    0.2578125    762
83    0    1024    0.0    775
84    320    1024    0.3125    791
85    272    1024    0.265625    802
86    256    1024    0.25    821
87    384    1024    0.375    827
88    260    1024    0.25390625    841
89    80    1024    0.078125    854
90    264    1024    0.2578125    857
91    324    1024    0.31640625    864
92    256    1024    0.25    867
93    256    1024    0.25    880
94    256    1024    0.25    893
95    256    1024    0.25    909
96    272    1024    0.265625    918
97    20    1024    0.01953125    925
98    12    1024    0.01171875    936
99    260    1024    0.25390625    949
100    400    1024    0.390625    960
101    336    1024    0.328125    979
102    0    1024    0.0    990
103    256    1024    0.25    1005
104    256    1024    0.25    1023
105    324    1024    0.31640625    1030
106    32    1024    0.03125    1049
107    260    1024    0.25390625    1056
108    260    1024    0.25390625    1068
109    384    1024    0.375    1067
110    272    1024    0.265625    1062
111    584    1024    0.5703125    1056
112    324    1024    0.31640625    1050
113    68    1024    0.06640625    1042
114    384    1024    0.375    1025
115    320    1024    0.3125    1021
116    256    1024    0.25    1014
117    324    1024    0.31640625    1003
118    46    1024    0.044921875    992
119    388    1024    0.37890625    982
120    384    1024    0.375    970
121    101    1024    0.0986328125    961
122    9    1024    0.0087890625    948
123    516    1024    0.50390625    941
124    4    1024    0.00390625    936
125    408    1024    0.3984375    920
126    48    1024    0.046875    904
127    0    1024    0.0    900
128    342    1024    0.333984375    885
129    400    1024    0.390625    867
130    0    1024    0.0    865
131    452    1024    0.44140625    847
132    256    1024    0.25    843
133    352    1024    0.34375    829
134    344    1024    0.3359375    820
135    0    1024    0.0    815
136    256    1024    0.25    810
137    256    1024    0.25    800
138    148    1024    0.14453125    789
139    482    1024    0.470703125    759
140    320    1024    0.3125    755
141    256    1024    0.25    751
142    340    1024    0.33203125    738
143    468    1024    0.45703125    726
144    256    1024    0.25    719
145    256    1024    0.25    710
146    272    1024    0.265625    703
147    344    1024    0.3359375    692
148    323    1024    0.3154296875    680
149    91    1024    0.0888671875    666
150    84    1024    0.08203125    656
151    16    1024    0.015625    641
152    0    1024    0.0    639
153    256    1024    0.25    632
154    276    1024    0.26953125    626
155    256    1024    0.25    623
156    402    1024    0.392578125    614
157    516    1024    0.50390625    598
158    452    1024    0.44140625    590
159    256    1024    0.25    588
160    256    1024    0.25    585
161    272    1024    0.265625    582
162    272    1024    0.265625    573
163    384    1024    0.375    566
164    256    1024    0.25    565
165    260    1024    0.25390625    559
166    468    1024    0.45703125    548
167    400    1024    0.390625    541
168    0    1024    0.0    539
169    0    1024    0.0    533
170    256    1024    0.25    531
171    326    1024    0.318359375    522
172    256    1024    0.25    519
173    322    1024    0.314453125    511
174    256    1024    0.25    503
175    296    1024    0.2890625    494
176    320    1024    0.3125    489
177    256    1024    0.25    486
178    288    1024    0.28125    473
179    352    1024    0.34375    465
180    280    1024    0.2734375    458
181    320    1024    0.3125    453
182    448    1024    0.4375    443
183    64    1024    0.0625    439
184    256    1024    0.25    434
185    0    1024    0.0    433
186    80    1024    0.078125    428
187    256    1024    0.25    420
188    26    1024    0.025390625    417
189    256    1024    0.25    413
190    256    1024    0.25    407
191    0    1024    0.0    401
192    64    1024    0.0625    390
193    0    1024    0.0    387
194    264    1024    0.2578125    371
195    400    1024    0.390625    360
196    260    1024    0.25390625    355
197    64    1024    0.0625    352
198    76    1024    0.07421875    344
199    384    1024    0.375    338
200    256    1024    0.25    336
201    320    1024    0.3125    327
202    96    1024    0.09375    320
203    24    1024    0.0234375    308
204    256    1024    0.25    305
205    196    1024    0.19140625    296
206    360    1024    0.3515625    286
207    87    1024    0.0849609375    271
208    381    1024    0.3720703125    257
209    276    1024    0.26953125    250
210    0    1024    0.0    246
211    288    1024    0.28125    242
212    320    1024    0.3125    236
213    84    1024    0.08203125    225
214    610    1024    0.595703125    214
215    276    1024    0.26953125    207
216    320    1024    0.3125    202
217    276    1024    0.26953125    194
218    276    1024    0.26953125    188
219    256    1024    0.25    184
220    272    1024    0.265625    177
221    256    1024    0.25    175
222    415    1024    0.4052734375    159
223    303    1024    0.2958984375    143
224    88    1024    0.0859375    122
225    259    1024    0.2529296875    111
226    324    1024    0.31640625    102
227    587    1024    0.5732421875    89
228    388    1024    0.37890625    80
229    336    1024    0.328125    70
230    256    1024    0.25    66
231    256    1024    0.25    61
232    256    1024    0.25    51
233    264    1024    0.2578125    37
234    260    1024    0.25390625    34
235    320    1024    0.3125    23
236    532    1024    0.51953125    18
237    580    1024    0.56640625    9
238    276    1024    0.26953125    0
239    2    1024    0.001953125    0
240    0    1024    0.0    0

average cpu utilization is: 0.242333984375
average ssd utilization is: 1.0
average gpu utilization is: 1.0
average utilization is: 0.747444661458
average queuing jobs are: 510.429166667
maximum queuing jobs are: 1068


#job_number  submit  dispatch  queue  cpu#  runtime  weight  response(turnaround)  cpu_aspl  cpu_diameter
0    1624363548.47    1624363564.78    16.3069999218    16    0.4243    6.7888    16.7312999218    2.26666666667    3
1    1624363564.79    1624363565.11    0.322000026703    256    0.7528    192.7168    1.0748000267    4.43829656863    6
2    1624363564.79    1624363565.12    0.328999996185    16    0.0297    0.4752    0.358699996185    2.55    4
3    1624363564.9    1624363565.57    0.675000190735    256    0.0057    1.4592    0.680700190735    4.61299019608    8
4    1624363564.91    1624363565.57    0.662999868393    16    0.8805    14.088    1.54349986839    2.26666666667    3
5    1624363564.93    1624363565.59    0.662999868393    16    0.7616    12.1856    1.42459986839    2.55    4
6    1624363564.94    1624363565.63    0.68700003624    64    0.0055    0.352    0.69250003624    3.80555555556    6
7    1624363565.04    1624363565.68    0.642999887466    64    0.0055    0.352    0.648499887466    4.04265873016    8
8    1624363565.16    1624363565.68    0.522000074387    4    0.0284    0.1136    0.550400074387    1.5    2
9    1624363565.17    1624363565.72    0.549000024796    64    0.0055    0.352    0.554500024796    3.91716269841    6
10    1624363565.26    1624363565.73    0.475999832153    16    0.0429    0.6864    0.518899832153    2.55833333333    4
11    1624363565.36    1624363565.78    0.413000106812    64    0.9446    60.4544    1.35760010681    4.10813492063    7
12    1624363565.39    1624363565.79    0.395000219345    4    0.0832    0.3328    0.478200219345    1.5    2
13    1624363565.43    1624363565.87    0.442999839783    64    0.4167    26.6688    0.859699839783    3.86557539683    6
14    1624363565.49    1624363565.89    0.401999950409    4    0.0832    0.3328    0.485199950409    1.5    2
15    1624363565.55    1624363565.89    0.345999956131    4    1.1283    4.5132    1.47429995613    1.5    2
16    1624363565.58    1624363566.34    0.753999948502    256    0.0057    1.4592    0.759699948502    4.41985294118    8
17    1624363565.66    1624363566.34    0.68700003624    4    0.0832    0.3328    0.77020003624    1.5    2
18    1624363565.72    1624363566.35    0.631999969482    16    0.0285    0.456    0.660499969482    2.9    4
19    1624363565.83    1624363566.37    0.538999795914    16    0.8805    14.088    1.41949979591    2.39166666667    4
20    1624363565.88    1624363566.4    0.520999908447    64    0.4167    26.6688    0.937699908447    3.66170634921    5
21    1624363565.89    1624363566.43    0.540999889374    64    0.0234    1.4976    0.564399889374    3.86061507937    7
22    1624363566.0    1624363566.47    0.472999811172    64    0.9446    60.4544    1.41759981117    3.83531746032    6
23    1624363566.11    1624363566.47    0.367999792099    16    0.7616    12.1856    1.1295997921    2.26666666667    3
24    1624363566.18    1624363566.87    0.6890001297    256    0.0057    1.4592    0.6947001297    4.4434129902    7
25    1624363566.25    1624363566.88    0.631999969482    4    0.0522    0.2088    0.684199969482    1.66666666667    3
26    1624363566.26    1624363566.95    0.69000005722    64    0.4167    26.6688    1.10670005722    3.63244047619    5
27    1624363566.29    1624363566.96    0.664000034332    4    0.0059    0.0236    0.669900034332    1.66666666667    3
28    1624363566.31    1624363566.97    0.657999992371    16    0.0297    0.4752    0.687699992371    2.475    4
29    1624363566.32    1624363567.35    1.02900004387    256    0.4221    108.0576    1.45110004387    4.42772671569    8
30    1624363566.34    1624363567.37    1.03299999237    64    0.0055    0.352    1.03849999237    3.49404761905    5
31    1624363566.36    1624363567.87    1.51399993896    256    0.0057    1.4592    1.51969993896    4.77683823529    9
32    1624363566.4    1624363568.23    1.8259999752    256    0.0057    1.4592    1.8316999752    4.27855392157    6
33    1624363566.51    1624363568.28    1.76999998093    4    0.0059    0.0236    1.77589998093    1.66666666667    3
34    1624363566.53    1624363568.28    1.75699996948    16    0.8805    14.088    2.63749996948    2.26666666667    3
35    1624363566.56    1624363568.29    1.73000001907    4    0.0284    0.1136    1.75840001907    1.5    2
36    1624363566.73    1624363568.3    1.56699991226    16    0.7616    12.1856    2.32859991226    2.475    4
37    1624363566.76    1624363568.62    1.86199998856    256    0.4221    108.0576    2.28409998856    4.43566176471    6
38    1624363566.81    1624363568.63    1.8259999752    16    0.4243    6.7888    2.2502999752    2.525    4
39    1624363566.87    1624363568.64    1.77200007439    16    0.8805    14.088    2.65250007439    2.73333333333    4
40    1624363566.9    1624363568.65    1.75100016594    16    0.0285    0.456    1.77950016594    2.55    4
41    1624363566.91    1624363568.68    1.76600003242    64    0.6779    43.3856    2.44390003242    4.00099206349    6
42    1624363567.13    1624363568.69    1.5529999733    4    0.0284    0.1136    1.5813999733    1.5    2
43    1624363567.2    1624363568.74    1.54099988937    64    0.0234    1.4976    1.56439988937    3.78968253968    6
44    1624363567.23    1624363568.75    1.51999998093    16    0.0098    0.1568    1.52979998093    2.55    4
45    1624363567.27    1624363569.29    2.01999998093    256    0.0177    4.5312    2.03769998093    4.86219362745    9
46    1624363567.29    1624363569.3    2.00600004196    4    0.0832    0.3328    2.08920004196    1.5    2
47    1624363567.31    1624363569.3    1.992000103    4    0.0522    0.2088    2.044200103    1.5    2
48    1624363567.35    1624363569.3    1.9470000267    4    0.5956    2.3824    2.5426000267    1.5    2
49    1624363567.41    1624363569.3    1.88800001144    4    1.1283    4.5132    3.01630001144    1.5    2
50    1624363567.43    1624363569.31    1.87600016594    16    0.4243    6.7888    2.30030016594    2.50833333333    4
51    1624363567.48    1624363569.31    1.83399987221    16    0.0297    0.4752    1.86369987221    2.41666666667    4
52    1624363567.49    1624363569.71    2.21300005913    256    0.0057    1.4592    2.21870005913    4.62686887255    8
53    1624363567.51    1624363570.1    2.59300017357    256    0.6189    158.4384    3.21190017357    4.45245098039    8
54    1624363567.6    1624363570.11    2.50600004196    16    0.0297    0.4752    2.53570004196    2.65    4
55    1624363567.7    1624363570.11    2.41299986839    4    1.1283    4.5132    3.54129986839    1.5    2
56    1624363567.71    1624363570.56    2.84800004959    256    0.8    204.8    3.64800004959    4.55670955882    9
57    1624363567.71    1624363571.17    3.45499992371    256    0.8    204.8    4.25499992371    4.89439338235    9
58    1624363567.76    1624363571.64    3.87800002098    256    0.0057    1.4592    3.88370002098    4.51464460784    8
59    1624363567.81    1624363572.11    4.3029999733    256    0.7528    192.7168    5.0557999733    4.87763480392    9
60    1624363567.82    1624363572.11    4.28999996185    4    0.0284    0.1136    4.31839996185    1.5    2
61    1624363567.93    1624363572.11    4.18099999428    4    0.0284    0.1136    4.20939999428    1.5    2
62    1624363567.99    1624363572.59    4.59400010109    256    0.8    204.8    5.39400010109    4.53354779412    8
63    1624363568.02    1624363572.59    4.5649998188    4    0.0832    0.3328    4.6481998188    1.5    2
64    1624363568.06    1624363573.24    5.1859998703    256    0.4221    108.0576    5.6080998703    4.99975490196    11
65    1624363568.09    1624363573.24    5.15799999237    4    0.0059    0.0236    5.16389999237    1.5    2
66    1624363568.1    1624363573.24    5.14499998093    4    0.0832    0.3328    5.22819998093    1.5    2
67    1624363568.21    1624363573.25    5.04099988937    16    0.0429    0.6864    5.08389988937    2.58333333333    4
68    1624363568.29    1624363573.26    4.97099995613    16    0.0429    0.6864    5.01389995613    3.23333333333    6
69    1624363568.38    1624363573.26    4.88399982452    4    0.0059    0.0236    4.88989982452    1.33333333333    2
70    1624363568.44    1624363573.27    4.82399988174    16    0.8805    14.088    5.70449988174    2.525    4
71    1624363568.46    1624363573.28    4.82500004768    16    0.0098    0.1568    4.83480004768    3.29166666667    6
72    1624363568.6    1624363573.29    4.6930000782    16    0.0098    0.1568    4.7028000782    2.58333333333    4
73    1624363568.72    1624363573.3    4.57999992371    16    0.8805    14.088    5.46049992371    2.85833333333    4
74    1624363568.77    1624363573.35    4.58100008965    64    0.0125    0.8    4.59350008965    4.0505952381    7
75    1624363568.8    1624363573.35    4.55400013924    4    1.1283    4.5132    5.68230013924    1.5    2
76    1624363568.85    1624363573.42    4.57700014114    64    0.0055    0.352    4.58250014114    4.63293650794    9
77    1624363568.86    1624363573.75    4.89100003242    256    0.4221    108.0576    5.31310003242    4.47083333333    8
78    1624363568.91    1624363574.21    5.3029999733    256    0.4221    108.0576    5.7250999733    4.46513480392    8
79    1624363568.92    1624363574.69    5.76799988747    256    0.7528    192.7168    6.52079988747    4.38952205882    9
80    1624363568.95    1624363575.05    6.09800004959    256    0.0057    1.4592    6.10370004959    4.39871323529    8
81    1624363569.02    1624363575.52    6.50099992752    256    0.6189    158.4384    7.11989992752    4.63563112745    8
82    1624363569.05    1624363575.52    6.47499990463    16    0.0285    0.456    6.50349990463    2.375    4
83    1624363569.09    1624363575.55    6.46099996567    64    0.4167    26.6688    6.87769996567    3.68253968254    5
84    1624363569.22    1624363575.56    6.33899998665    4    0.0522    0.2088    6.39119998665    1.5    2
85    1624363569.23    1624363575.56    6.32500004768    4    0.0832    0.3328    6.40820004768    1.5    2
86    1624363569.26    1624363575.56    6.29500007629    16    0.0297    0.4752    6.32470007629    2.375    4
87    1624363569.28    1624363575.56    6.28399991989    16    0.7616    12.1856    7.04559991989    2.55    4
88    1624363569.33    1624363575.57    6.24000000954    4    0.5956    2.3824    6.83560000954    1.5    2
89    1624363569.36    1624363575.61    6.25    64    0.0234    1.4976    6.2734    3.81349206349    6
90    1624363569.43    1624363575.61    6.17700004578    16    0.0285    0.456    6.20550004578    2.375    4
91    1624363569.59    1624363575.65    6.06500005722    64    0.0234    1.4976    6.08840005722    4.12450396825    8
92    1624363569.64    1624363575.69    6.05500006676    64    0.4167    26.6688    6.47170006676    3.78373015873    6
93    1624363569.67    1624363575.7    6.02999997139    4    1.1283    4.5132    7.15829997139    1.5    2
94    1624363569.68    1624363575.76    6.07500004768    64    0.4167    26.6688    6.49170004768    4.32638888889    7
