#timestep  occupied-CPU  total-CPU  utilization  queuingjobs
1    0    1024    0.0    1
2    64    1024    0.0625    0
3    0    1024    0.0    0
4    0    1024    0.0    0
5    0    1024    0.0    0
6    0    1024    0.0    0
7    0    1024    0.0    0
8    0    1024    0.0    0
9    0    1024    0.0    0
10    0    1024    0.0    0
11    0    1024    0.0    0
12    0    1024    0.0    0
13    0    1024    0.0    0
14    0    1024    0.0    0
15    0    1024    0.0    0
16    0    1024    0.0    0
17    0    1024    0.0    0
18    128    1024    0.125    0
19    128    1024    0.125    0
20    128    1024    0.125    0
21    128    1024    0.125    0
22    0    1024    0.0    0
23    0    1024    0.0    0
24    0    1024    0.0    0
25    0    1024    0.0    1
26    448    1024    0.4375    0
27    448    1024    0.4375    0
28    384    1024    0.375    0
29    0    1024    0.0    0
30    0    1024    0.0    0
31    1    1024    0.0009765625    0
32    1    1024    0.0009765625    0
33    64    1024    0.0625    2
34    128    1024    0.125    0
35    144    1024    0.140625    0
36    0    1024    0.0    0
37    0    1024    0.0    0
38    318    1024    0.310546875    0
39    287    1024    0.2802734375    0
40    351    1024    0.3427734375    0
41    351    1024    0.3427734375    0
42    154    1024    0.150390625    3
43    608    1024    0.59375    10
44    670    1024    0.654296875    3
45    574    1024    0.560546875    6
46    784    1024    0.765625    4
47    733    1024    0.7158203125    0
48    271    1024    0.2646484375    0
49    79    1024    0.0771484375    0
50    63    1024    0.0615234375    0
51    33    1024    0.0322265625    3
52    269    1024    0.2626953125    1
53    191    1024    0.1865234375    0
54    128    1024    0.125    0
55    96    1024    0.09375    0
56    47    1024    0.0458984375    1
57    79    1024    0.0771484375    0
58    94    1024    0.091796875    0
59    94    1024    0.091796875    0
60    190    1024    0.185546875    0
61    206    1024    0.201171875    0
62    206    1024    0.201171875    0
63    607    1024    0.5927734375    0
64    559    1024    0.5458984375    0
65    526    1024    0.513671875    0
66    448    1024    0.4375    0
67    79    1024    0.0771484375    0
68    159    1024    0.1552734375    1
69    414    1024    0.404296875    1
70    369    1024    0.3603515625    2
71    425    1024    0.4150390625    3
72    112    1024    0.109375    4
73    313    1024    0.3056640625    18
74    32    1024    0.03125    0
75    0    1024    0.0    0
76    33    1024    0.0322265625    0
77    0    1024    0.0    0
78    33    1024    0.0322265625    0
79    32    1024    0.03125    0
80    224    1024    0.21875    0
81    240    1024    0.234375    8
82    433    1024    0.4228515625    0
83    272    1024    0.265625    0
84    129    1024    0.1259765625    0
85    160    1024    0.15625    0
86    60    1024    0.05859375    0
87    320    1024    0.3125    0
88    320    1024    0.3125    0
89    438    1024    0.427734375    1
90    352    1024    0.34375    7
91    752    1024    0.734375    0
92    624    1024    0.609375    0
93    577    1024    0.5634765625    0
94    33    1024    0.0322265625    0
95    32    1024    0.03125    0
96    160    1024    0.15625    0
97    400    1024    0.390625    0
98    432    1024    0.421875    0
99    336    1024    0.328125    0
100    208    1024    0.203125    0
101    145    1024    0.1416015625    0
102    16    1024    0.015625    0
103    32    1024    0.03125    0
104    32    1024    0.03125    2
105    165    1024    0.1611328125    1
106    224    1024    0.21875    0
107    240    1024    0.234375    0
108    80    1024    0.078125    0
109    64    1024    0.0625    0
110    145    1024    0.1416015625    0
111    160    1024    0.15625    0
112    112    1024    0.109375    0
113    240    1024    0.234375    9
114    265    1024    0.2587890625    4
115    406    1024    0.396484375    1
116    416    1024    0.40625    0
117    399    1024    0.3896484375    0
118    371    1024    0.3623046875    2
119    307    1024    0.2998046875    0
120    273    1024    0.2666015625    0
121    144    1024    0.140625    0
122    128    1024    0.125    0
123    572    1024    0.55859375    5
124    769    1024    0.7509765625    3
125    864    1024    0.84375    9
126    480    1024    0.46875    0
127    64    1024    0.0625    0
128    64    1024    0.0625    0
129    64    1024    0.0625    0
130    64    1024    0.0625    0
131    416    1024    0.40625    3
132    512    1024    0.5    1
133    384    1024    0.375    1
134    576    1024    0.5625    0
135    592    1024    0.578125    3
136    688    1024    0.671875    0
137    593    1024    0.5791015625    0
138    128    1024    0.125    0
139    240    1024    0.234375    0
140    272    1024    0.265625    0
141    242    1024    0.236328125    0
142    186    1024    0.181640625    0
143    442    1024    0.431640625    2
144    570    1024    0.556640625    0
145    506    1024    0.494140625    0
146    378    1024    0.369140625    0
147    314    1024    0.306640625    0
148    266    1024    0.259765625    0
149    458    1024    0.447265625    0
150    698    1024    0.681640625    0
151    618    1024    0.603515625    0
152    568    1024    0.5546875    0
153    458    1024    0.447265625    0
154    250    1024    0.244140625    1
155    235    1024    0.2294921875    0
156    379    1024    0.3701171875    1
157    363    1024    0.3544921875    2
158    683    1024    0.6669921875    0
159    667    1024    0.6513671875    0
160    683    1024    0.6669921875    0
161    427    1024    0.4169921875    0
162    427    1024    0.4169921875    0
163    299    1024    0.2919921875    0
164    298    1024    0.291015625    0
165    426    1024    0.416015625    0
166    538    1024    0.525390625    7
167    730    1024    0.712890625    9
168    602    1024    0.587890625    0
169    410    1024    0.400390625    0
170    281    1024    0.2744140625    0
171    202    1024    0.197265625    0
172    202    1024    0.197265625    0
173    0    1024    0.0    0

average cpu utilization is: 0.255289243136
average ssd utilization is: 1.0
average gpu utilization is: 1.0
average utilization is: 0.751763081045
average queuing jobs are: 0.843930635838
maximum queuing jobs are: 18


#job_number  submit  dispatch  queue  cpu#  runtime  weight  response(turnaround)  cpu_aspl  cpu_diameter
0    1624371123.56    1624371144.52    20.9599997997    64    1.9025    121.76    22.8624997997    3.41716269841    5
1    1624371161.68    1624371161.79    0.116999864578    128    4.3328    554.5984    4.44979986458    4.00787401575    6
