#timestep  occupied-CPU  total-CPU  utilization  queuingjobs
1    0    1024    0.0    1
2    128    1024    0.125    0
3    128    1024    0.125    0
4    0    1024    0.0    2
5    48    1024    0.046875    2
6    61    1024    0.0595703125    2
7    56    1024    0.0546875    5
8    0    1024    0.0    1
9    0    1024    0.0    0
10    32    1024    0.03125    0
11    128    1024    0.125    0
12    16    1024    0.015625    0
13    0    1024    0.0    0
14    0    1024    0.0    0
15    16    1024    0.015625    0
16    16    1024    0.015625    0
17    0    1024    0.0    0
18    0    1024    0.0    6
19    128    1024    0.125    1
20    0    1024    0.0    0
21    0    1024    0.0    0
22    0    1024    0.0    0
23    16    1024    0.015625    0
24    0    1024    0.0    0
25    0    1024    0.0    0
26    0    1024    0.0    0
27    32    1024    0.03125    0
28    128    1024    0.125    0
29    32    1024    0.03125    0
30    16    1024    0.015625    2
31    64    1024    0.0625    0
32    0    1024    0.0    0
33    2    1024    0.001953125    0
34    31    1024    0.0302734375    1
35    64    1024    0.0625    0
36    0    1024    0.0    0
37    0    1024    0.0    1
38    0    1024    0.0    0
39    64    1024    0.0625    0
40    0    1024    0.0    0
41    81    1024    0.0791015625    0
42    8    1024    0.0078125    2
43    6    1024    0.005859375    0
44    78    1024    0.076171875    1
45    41    1024    0.0400390625    0
46    64    1024    0.0625    1
47    86    1024    0.083984375    0
48    128    1024    0.125    0
49    0    1024    0.0    0
50    5    1024    0.0048828125    0
51    4    1024    0.00390625    3
52    40    1024    0.0390625    2
53    0    1024    0.0    2
54    0    1024    0.0    4
55    8    1024    0.0078125    1
56    0    1024    0.0    0
57    64    1024    0.0625    0
58    16    1024    0.015625    0
59    128    1024    0.125    0
60    64    1024    0.0625    0
61    10    1024    0.009765625    2
62    21    1024    0.0205078125    4
63    51    1024    0.0498046875    2
64    88    1024    0.0859375    0
65    64    1024    0.0625    0
66    0    1024    0.0    0

average cpu utilization is: 0.0334546638258
average ssd utilization is: 1.0
average gpu utilization is: 1.0
average utilization is: 0.677818221275
average queuing jobs are: 0.727272727273
maximum queuing jobs are: 6


#job_number  submit  dispatch  queue  cpu#  runtime  weight  response(turnaround)  cpu_aspl  cpu_diameter
0    1624371947.4    1624371964.89    17.4879999161    128    0.1451    18.5728    17.6330999161    3.97933070866    7
1    1624371964.88    1624371965.01    0.125    128    0.3726    47.6928    0.4976    4.62967519685    9
2    1624371965.27    1624371965.38    0.104000091553    128    0.1067    13.6576    0.210700091553    3.97933070866    7
3    1624371965.4    1624371965.55    0.151999950409    128    1.0927    139.8656    1.24469995041    4.62967519685    9
4    1624371966.51    1624371966.69    0.18499994278    128    0.2927    37.4656    0.47769994278    3.97933070866    7
5    1624371967.36    1624371967.36    0.0    1    0.001    0.001    0.001    0    0
6    1624371967.47    1624371967.48    0.0150001049042    32    0.0716    2.2912    0.0866001049042    2.77822580645    4
7    1624371967.55    1624371967.55    0.000999927520752    1    0.0007    0.0007    0.00169992752075    0    0
8    1624371967.62    1624371967.62    0.0    2    0.0069    0.0138    0.0069    1.0    1
9    1624371967.64    1624371967.64    0.00200009346008    1    0.0009    0.0009    0.00290009346008    0    0
10    1624371967.65    1624371967.65    0.0    1    0.0009    0.0009    0.0009    0    0
11    1624371967.68    1624371967.68    0.0    1    0.0884    0.0884    0.0884    0    0
12    1624371967.83    1624371967.83    0.00699996948242    32    0.0075    0.24    0.0144999694824    2.77822580645    4
13    1624371967.84    1624371967.84    0.000999927520752    1    0.0015    0.0015    0.00249992752075    0    0
14    1624371967.92    1624371967.96    0.0479998588562    32    0.0176    0.5632    0.0655998588562    2.77822580645    4
15    1624371967.95    1624371967.98    0.0280001163483    32    0.016    0.512    0.0440001163483    2.91935483871    5
16    1624371968.0    1624371968.01    0.00999999046326    32    0.0229    0.7328    0.0328999904633    2.90120967742    5
17    1624371968.05    1624371968.05    0.0019998550415    4    0.0054    0.0216    0.0073998550415    1.5    2
18    1624371968.06    1624371968.07    0.00599980354309    32    0.0237    0.7584    0.0296998035431    2.77822580645    4
19    1624371968.11    1624371968.11    0.00399994850159    4    0.0049    0.0196    0.00889994850159    1.5    2
20    1624371968.14    1624371968.14    0.00800013542175    32    0.0104    0.3328    0.0184001354218    2.77822580645    4
21    1624371968.14    1624371968.15    0.0150001049042    4    0.0057    0.0228    0.0207001049042    1.5    2
