#timestep  occupied-CPU  total-CPU  utilization  queuingjobs
1    0    1024    0.0    1
2    128    1024    0.125    0
3    128    1024    0.125    0
4    4    1024    0.00390625    1
5    0    1024    0.0    6
6    54    1024    0.052734375    2
7    40    1024    0.0390625    4
8    0    1024    0.0    2
9    0    1024    0.0    0
10    32    1024    0.03125    0
11    128    1024    0.125    0
12    16    1024    0.015625    0
13    0    1024    0.0    0
14    0    1024    0.0    0
15    16    1024    0.015625    0
16    16    1024    0.015625    0
17    0    1024    0.0    0
18    0    1024    0.0    9
19    128    1024    0.125    1
20    0    1024    0.0    0
21    0    1024    0.0    1
22    0    1024    0.0    0
23    16    1024    0.015625    0
24    0    1024    0.0    0
25    0    1024    0.0    0
26    0    1024    0.0    2
27    32    1024    0.03125    0
28    128    1024    0.125    0
29    32    1024    0.03125    0
30    0    1024    0.0    0
31    0    1024    0.0    4
32    0    1024    0.0    0
33    1    1024    0.0009765625    3
34    8    1024    0.0078125    1
35    40    1024    0.0390625    1
36    64    1024    0.0625    0
37    80    1024    0.078125    0
38    0    1024    0.0    0
39    64    1024    0.0625    0
40    32    1024    0.03125    0
41    65    1024    0.0634765625    1
42    70    1024    0.068359375    0
43    43    1024    0.0419921875    5
44    43    1024    0.0419921875    0
45    40    1024    0.0390625    0
46    64    1024    0.0625    7
47    80    1024    0.078125    0
48    0    1024    0.0    1
49    128    1024    0.125    0
50    0    1024    0.0    0
51    0    1024    0.0    4
52    0    1024    0.0    1
53    0    1024    0.0    4
54    0    1024    0.0    1
55    64    1024    0.0625    0
56    0    1024    0.0    0
57    64    1024    0.0625    0
58    16    1024    0.015625    0
59    128    1024    0.125    0
60    64    1024    0.0625    0
61    1    1024    0.0009765625    1
62    64    1024    0.0625    3
63    12    1024    0.01171875    2
64    89    1024    0.0869140625    0
65    0    1024    0.0    3

average cpu utilization is: 0.0333834134615
average ssd utilization is: 1.0
average gpu utilization is: 1.0
average utilization is: 0.677794471154
average queuing jobs are: 1.09230769231
maximum queuing jobs are: 9


#job_number  submit  dispatch  queue  cpu#  runtime  weight  response(turnaround)  cpu_aspl  cpu_diameter
0    1624372509.01    1624372528.56    19.5520000458    128    0.1451    18.5728    19.6971000458    4.18897637795    6
1    1624372528.56    1624372528.82    0.259000062943    128    0.3726    47.6928    0.631600062943    4.78125    9
2    1624372528.94    1624372529.07    0.124000072479    128    0.1067    13.6576    0.230700072479    4.18897637795    6
3    1624372529.07    1624372529.33    0.256000041962    128    1.0927    139.8656    1.34870004196    4.87942913386    10
4    1624372530.17    1624372530.34    0.164999961853    128    0.2927    37.4656    0.457699961853    4.18897637795    6
5    1624372531.01    1624372531.01    0.0    1    0.001    0.001    0.001    0    0
6    1624372531.12    1624372531.14    0.0119998455048    32    0.0716    2.2912    0.0835998455048    2.98991935484    4
7    1624372531.2    1624372531.2    0.00300002098083    1    0.0007    0.0007    0.00370002098083    0    0
8    1624372531.28    1624372531.28    0.000999927520752    2    0.0069    0.0138    0.00789992752075    1.0    1
9    1624372531.3    1624372531.3    0.0019998550415    1    0.0009    0.0009    0.0028998550415    0    0
10    1624372531.31    1624372531.31    0.0    1    0.0009    0.0009    0.0009    0    0
11    1624372531.34    1624372531.34    0.0    1    0.0884    0.0884    0.0884    0    0
12    1624372531.48    1624372531.49    0.00699996948242    32    0.0075    0.24    0.0144999694824    2.98991935484    4
13    1624372531.5    1624372531.5    0.0019998550415    1    0.0015    0.0015    0.0034998550415    0    0
14    1624372531.58    1624372531.64    0.063000202179    32    0.0176    0.5632    0.080600202179    2.98991935484    4
15    1624372531.6    1624372531.67    0.0649998188019    32    0.016    0.512    0.0809998188019    3.06653225806    4
16    1624372531.65    1624372531.68    0.0269999504089    32    0.0229    0.7328    0.0498999504089    2.98991935484    4
17    1624372531.7    1624372531.72    0.0190000534058    4    0.0054    0.0216    0.0244000534058    1.5    2
18    1624372531.71    1624372531.72    0.0090000629425    32    0.0237    0.7584    0.0327000629425    2.98991935484    4
19    1624372531.76    1624372531.76    0.0019998550415    4    0.0049    0.0196    0.0068998550415    1.5    2
20    1624372531.79    1624372531.8    0.00799989700317    32    0.0104    0.3328    0.0183998970032    2.98991935484    4
21    1624372531.79    1624372531.82    0.0230000019073    4    0.0057    0.0228    0.0287000019073    1.5    2
22    1624372531.81    1624372531.84    0.0339999198914    16    0.0019    0.0304    0.0358999198914    2.39166666667    4
23    1624372531.82    1624372531.84    0.0200002193451    1    0.0007    0.0007    0.0207002193451    0    0
24    1624372531.86    1624372531.86    0.00799989700317    32    0.0181    0.5792    0.0260998970032    2.98991935484    4
25    1624372531.89    1624372531.9    0.0090000629425    32    0.0143    0.4576    0.0233000629425    3.04032258065    4
26    1624372531.92    1624372531.92    0.000999927520752    1    0.0007    0.0007    0.00169992752075    0    0
27    1624372531.93    1624372531.93    0.0    4    0.0059    0.0236    0.0059    1.5    2
28    1624372531.95    1624372531.95    0.00200009346008    16    0.4034    6.4544    0.40540009346    2.39166666667    4
29    1624372531.98    1624372531.98    0.0    1    0.0014    0.0014    0.0014    0    0
30    1624372532.01    1624372532.01    0.0    4    0.0051    0.0204    0.0051    1.5    2
31    1624372532.04    1624372532.04    0.0    1    0.001    0.001    0.001    0    0
32    1624372532.06    1624372532.06    0.0    4    0.0052    0.0208    0.0052    1.5    2
33    1624372532.12    1624372532.13    0.0090000629425    32    0.0147    0.4704    0.0237000629425    3.04838709677    4
34    1624372532.14    1624372532.14    0.0019998550415    1    0.0019    0.0019    0.0038998550415    0    0
35    1624372532.15    1624372532.16    0.00600004196167    4    0.006    0.024    0.0120000419617    1.5    2
36    1624372532.23    1624372532.23    0.000999927520752    4    0.0021    0.0084    0.00309992752075    1.5    2
37    1624372532.25    1624372532.26    0.0090000629425    32    0.02    0.64    0.0290000629425    3.04838709677    4
38    1624372532.26    1624372532.26    0.0    4    0.0035    0.014    0.0035    1.5    2
39    1624372532.28    1624372532.28    0.0019998550415    1    0.0008    0.0008    0.0027998550415    0    0
40    1624372532.31    1624372532.32    0.0090000629425    32    0.0732    2.3424    0.0822000629425    3.04838709677    4
41    1624372532.36    1624372532.36    0.00200009346008    1    0.0007    0.0007    0.00270009346008    0    0
42    1624372532.4    1624372532.4    0.00300002098083    4    0.0063    0.0252    0.00930002098083    1.5    2
43    1624372532.42    1624372532.42    0.0    1    0.001    0.001    0.001    0    0
44    1624372532.43    1624372532.44    0.00600004196167    32    0.0727    2.3264    0.0787000419617    2.98991935484    4
45    1624372532.48    1624372532.49    0.0110001564026    4    0.0053    0.0212    0.0163001564026    1.5    2
46    1624372532.49    1624372532.52    0.0269999504089    32    0.012    0.384    0.0389999504089    3.09879032258    4
47    1624372532.51    1624372532.55    0.0370001792908    16    0.0133    0.2128    0.0503001792908    2.475    4
48    1624372532.54    1624372532.55    0.00800013542175    1    0.0008    0.0008    0.00880013542175    0    0
49    1624372532.56    1624372532.56    0.00699996948242    32    0.0166    0.5312    0.0235999694824    3.00806451613    4
