#timestep  occupied-CPU  total-CPU  utilization  queuingjobs
1    1    1024    0.0009765625    1
2    136    1024    0.1328125    0
3    80    1024    0.078125    0
4    120    1024    0.1171875    0
5    128    1024    0.125    0
6    393    1024    0.3837890625    3
7    216    1024    0.2109375    0
8    176    1024    0.171875    0
9    56    1024    0.0546875    0
10    48    1024    0.046875    0
11    56    1024    0.0546875    0
12    92    1024    0.08984375    0
13    218    1024    0.212890625    1
14    198    1024    0.193359375    1
15    232    1024    0.2265625    0
16    140    1024    0.13671875    0
17    166    1024    0.162109375    0
18    261    1024    0.2548828125    0
19    74    1024    0.072265625    0
20    106    1024    0.103515625    0
21    74    1024    0.072265625    0
22    64    1024    0.0625    0
23    64    1024    0.0625    0
24    64    1024    0.0625    0
25    0    1024    0.0    0
26    0    1024    0.0    0
27    0    1024    0.0    0
28    0    1024    0.0    0
29    8    1024    0.0078125    0
30    0    1024    0.0    0
31    0    1024    0.0    0
32    0    1024    0.0    0
33    0    1024    0.0    0
34    0    1024    0.0    0
35    0    1024    0.0    0
36    408    1024    0.3984375    5
37    128    1024    0.125    1
38    226    1024    0.220703125    0
39    316    1024    0.30859375    0
40    278    1024    0.271484375    0
41    218    1024    0.212890625    0
42    188    1024    0.18359375    0
43    218    1024    0.212890625    0
44    208    1024    0.203125    0
45    148    1024    0.14453125    0
46    148    1024    0.14453125    1
47    148    1024    0.14453125    0
48    88    1024    0.0859375    0
49    60    1024    0.05859375    0
50    60    1024    0.05859375    0
51    0    1024    0.0    0
52    0    1024    0.0    0
53    0    1024    0.0    1
54    0    1024    0.0    0
55    20    1024    0.01953125    1
56    24    1024    0.0234375    0
57    24    1024    0.0234375    0
58    0    1024    0.0    0
59    0    1024    0.0    0
60    0    1024    0.0    0
61    28    1024    0.02734375    0
62    0    1024    0.0    0
63    20    1024    0.01953125    0
64    54    1024    0.052734375    0
65    20    1024    0.01953125    0
66    0    1024    0.0    1
67    0    1024    0.0    0
68    0    1024    0.0    0
69    0    1024    0.0    0
70    0    1024    0.0    0
71    0    1024    0.0    0
72    0    1024    0.0    0
73    0    1024    0.0    0
74    0    1024    0.0    0
75    0    1024    0.0    0
76    0    1024    0.0    0
77    0    1024    0.0    0
78    0    1024    0.0    0
79    0    1024    0.0    0
80    0    1024    0.0    0
81    0    1024    0.0    0
82    0    1024    0.0    0
83    0    1024    0.0    0
84    0    1024    0.0    0
85    0    1024    0.0    0
86    0    1024    0.0    0
87    0    1024    0.0    0
88    0    1024    0.0    0
89    0    1024    0.0    0
90    0    1024    0.0    0
91    0    1024    0.0    0
92    0    1024    0.0    0
93    0    1024    0.0    0
94    60    1024    0.05859375    0
95    60    1024    0.05859375    0
96    30    1024    0.029296875    0
97    32    1024    0.03125    0
98    32    1024    0.03125    0
99    24    1024    0.0234375    0
100    24    1024    0.0234375    0
101    24    1024    0.0234375    0
102    109    1024    0.1064453125    0
103    96    1024    0.09375    0
104    106    1024    0.103515625    0
105    84    1024    0.08203125    0
106    48    1024    0.046875    0
107    8    1024    0.0078125    0
108    8    1024    0.0078125    0
109    8    1024    0.0078125    0
110    8    1024    0.0078125    0
111    160    1024    0.15625    0
112    224    1024    0.21875    0
113    232    1024    0.2265625    0
114    224    1024    0.21875    0
115    16    1024    0.015625    0
116    80    1024    0.078125    0
117    136    1024    0.1328125    1
118    212    1024    0.20703125    0
119    104    1024    0.1015625    0
120    104    1024    0.1015625    0
121    106    1024    0.103515625    0
122    48    1024    0.046875    0
123    172    1024    0.16796875    0
124    162    1024    0.158203125    0
125    132    1024    0.12890625    0
126    87    1024    0.0849609375    0
127    40    1024    0.0390625    0
128    68    1024    0.06640625    1
129    156    1024    0.15234375    1
