,hosts,number of nodes,switches
0,"[0, 741, 777, 810, 525, 431, 945, 146, 884, 604, 127, 579, 132, 6, 710, 232, 73, 427, 831, 95, 801, 324, 938, 21, 120, 569, 412, 157, 765, 167, 491, 557]",32,[]
1,"[1, 227, 325, 584, 855, 204, 977, 242, 340, 185, 601, 705, 808, 553, 225, 723, 692, 213, 854, 991, 642, 580, 742, 74, 397, 368, 689, 58, 223, 99, 260, 391, 298, 267, 301, 334, 912, 721, 65, 329]",40,[]
2,"[2, 64, 387, 41, 62, 528, 435, 565, 314, 477, 410, 666, 904, 797, 400, 722, 788, 1015, 122, 442, 165, 1005, 463, 816, 757, 630, 156, 285, 903, 840, 618, 784, 81, 279, 714, 30, 101, 71, 970, 407]",40,[]
3,"[1, 227, 325, 584, 855, 204, 977, 242]",8,[]
4,"[3, 233, 108, 174, 1012, 437, 886, 248]",8,[]
5,"[4, 289, 290, 527, 500, 725, 602, 271]",8,[]
6,"[5, 385, 547, 293, 9, 619, 99, 724]",8,[]
7,"[7, 68, 647, 877, 591, 18, 563, 53]",8,[]
8,"[8, 544, 390, 526, 207, 914, 499, 117]",8,[]
9,"[10, 100, 969, 615, 467, 733, 659, 373]",8,[]
10,"[11, 834, 397, 301, 17, 404, 982, 251]",8,[]
11,"[12, 736, 363, 359, 169, 522, 551, 245]",8,[]
12,"[5, 385, 547, 293, 9, 619, 99, 724]",8,[]
13,"[10, 100, 969, 615, 467, 733, 659, 373, 91, 893, 194, 36, 934, 842, 720, 786, 1013, 664, 382, 738, 55, 1007, 52, 983, 436, 894, 641, 330, 587, 989, 145, 278, 376, 190, 133, 484, 389, 44, 346, 383]",40,[]
14,"[2, 64, 387, 41, 62, 528, 435, 565]",8,[]
15,"[13, 101, 362, 151, 205, 1015, 25, 764, 829, 481, 48, 395, 784, 306, 853, 637, 703, 743, 39, 946, 16, 562, 595, 701, 960, 262, 552, 816, 19, 790, 381, 256, 66, 237, 386, 687, 465, 345, 416, 706]",40,[]
16,"[10, 100, 903, 969, 615, 467, 733, 659, 373, 91, 893, 194, 36, 934, 842, 720, 786, 1013, 664, 382, 321, 993, 876, 878, 176, 849, 795, 510, 738, 55, 1007, 52, 983, 436, 894, 641, 330, 587, 989, 145]",40,[]
17,"[5, 385, 547, 293, 9, 619, 99, 724]",8,[]
18,"[2, 64, 387, 41, 62, 528, 435, 565]",8,[]
19,"[10, 100, 903, 969, 615, 467, 733, 659, 373, 91, 893, 194, 36, 934, 842, 720, 786, 1013, 664, 382, 321, 993, 876, 878, 176, 849, 795, 510, 738, 55, 1007, 52, 983, 436, 894, 641, 330, 587, 989, 145]",40,[]
20,"[12, 736, 363, 359, 169, 522, 551, 245, 572, 798, 679, 1002, 205, 399, 112, 755, 471, 186, 719, 322, 234, 844, 597, 401, 979, 85, 927, 611, 230, 541, 693, 853]",32,[]
21,"[2, 64, 387, 41, 62, 528, 435, 565]",8,[]
22,"[10, 100, 903, 969, 615, 467, 733, 659]",8,[]
