,hosts,number of nodes,switches
0,"[0, 608, 256, 4, 945, 235, 111, 369, 372, 849, 799, 736, 290, 259, 993, 903, 432, 690, 149, 1023, 129, 418, 667, 874, 546, 51, 693, 119, 795, 935, 587, 652, 241, 627, 597, 888, 538, 603, 101, 842, 654, 495, 150, 249, 829, 542, 511, 322, 165, 839, 392, 331, 77, 238, 136, 114, 704, 421, 744, 140, 302, 340, 53, 55, 99, 933, 422, 810, 845, 270, 387, 122, 863, 896, 902, 806, 807, 881, 467, 825, 410, 962, 462, 304, 691, 892, 959, 994, 484, 709, 616, 297, 527, 147, 345, 229, 801, 35, 455, 170, 593, 212, 382, 502, 94, 258, 358, 360, 809, 939, 561, 786, 796, 585, 267, 18, 816, 370, 499, 1015, 536, 160, 1001, 426, 171, 269, 201, 252]",128,[]
1,"[1, 899, 164, 454, 490, 492, 431, 580, 632, 612, 635, 647, 712, 361, 42, 172, 918, 184, 123, 480, 843, 708, 615, 103, 338, 439, 151, 260, 261, 17, 782, 465, 503, 377, 453, 195, 423, 7, 204, 1008, 179, 792, 442, 927, 67, 745, 857, 313, 665, 411, 351, 34, 356, 808, 777, 298, 386, 559, 89, 605, 529, 95, 588, 686, 175, 145, 233, 395, 814, 848, 473, 24, 985, 346, 444, 293, 648, 234, 523, 429, 1006, 637, 607, 96, 676, 102, 743, 617, 337, 406, 440, 513, 937, 107, 973, 592, 658, 858, 347, 541, 128, 76, 237, 113, 1011, 180, 341, 889, 609, 486, 299, 620, 86, 696, 284, 898, 37, 425, 43, 66, 763, 797, 705, 9, 139, 526, 975, 515]",128,[]
2,"[0, 608, 256, 4, 945, 235, 111, 369, 372, 849, 799, 736, 290, 259, 993, 903, 432, 690, 149, 1023, 129, 418, 667, 874, 546, 51, 693, 119, 795, 935, 587, 652, 241, 627, 597, 888, 538, 603, 101, 842, 654, 495, 150, 249, 829, 542, 511, 322, 165, 839, 392, 331, 77, 238, 136, 114, 704, 421, 744, 140, 302, 340, 53, 55, 99, 933, 422, 810, 845, 270, 387, 122, 863, 896, 902, 806, 807, 881, 467, 825, 410, 962, 462, 304, 691, 892, 959, 994, 484, 709, 616, 297, 527, 147, 345, 229, 801, 35, 455, 170, 593, 212, 382, 502, 94, 258, 358, 360, 809, 939, 561, 786, 796, 585, 267, 18, 816, 370, 499, 1015, 536, 160, 1001, 426, 171, 269, 201, 252]",128,[]
3,"[1, 899, 164, 454, 490, 492, 431, 580, 632, 612, 635, 647, 712, 361, 42, 172, 918, 184, 123, 480, 843, 708, 615, 103, 338, 439, 151, 260, 261, 17, 782, 465, 503, 377, 453, 195, 423, 7, 204, 1008, 179, 792, 442, 927, 67, 745, 857, 313, 665, 411, 351, 34, 356, 808, 777, 298, 386, 559, 89, 605, 529, 95, 588, 686, 175, 145, 233, 395, 814, 848, 473, 24, 985, 346, 444, 293, 648, 234, 523, 429, 1006, 637, 607, 96, 676, 102, 743, 617, 337, 406, 440, 513, 937, 107, 973, 592, 658, 858, 347, 541, 128, 76, 237, 113, 1011, 180, 341, 889, 609, 486, 299, 620, 86, 696, 284, 898, 37, 425, 43, 66, 763, 797, 705, 9, 139, 526, 975, 515]",128,[]
4,"[0, 608, 256, 4, 945, 235, 111, 369, 372, 849, 799, 736, 290, 259, 993, 903, 432, 690, 149, 1023, 129, 418, 667, 874, 546, 51, 693, 119, 795, 935, 587, 652, 241, 627, 597, 888, 538, 603, 101, 842, 654, 495, 150, 249, 829, 542, 511, 322, 165, 839, 392, 331, 77, 238, 136, 114, 704, 421, 744, 140, 302, 340, 53, 55, 99, 933, 422, 810, 845, 270, 387, 122, 863, 896, 902, 806, 807, 881, 467, 825, 410, 962, 462, 304, 691, 892, 959, 994, 484, 709, 616, 297, 527, 147, 345, 229, 801, 35, 455, 170, 593, 212, 382, 502, 94, 258, 358, 360, 809, 939, 561, 786, 796, 585, 267, 18, 816, 370, 499, 1015, 536, 160, 1001, 426, 171, 269, 201, 252]",128,[]
5,"[21, 999]",1,[]
6,"[0, 608, 256, 4, 945, 235, 111, 369, 372, 849, 799, 736, 290, 259, 993, 903, 432, 690, 149, 1023, 129, 418, 667, 874, 546, 51, 693, 119, 795, 935, 587, 652]",32,[]
7,"[5, 994]",1,[]
8,"[0, 608]",2,[]
9,"[5, 994]",1,[]
10,"[0, 608]",1,[]
11,"[0, 608]",1,[]
12,"[0, 608, 256, 4, 945, 235, 111, 369, 372, 849, 799, 736, 290, 259, 993, 903, 432, 690, 149, 1023, 129, 418, 667, 874, 546, 51, 693, 119, 795, 935, 587, 652]",32,[]
13,"[1, 899]",1,[]
14,"[0, 608, 256, 4, 945, 235, 111, 369, 372, 849, 799, 736, 290, 259, 993, 903, 432, 690, 149, 1023, 129, 418, 667, 874, 546, 51, 693, 119, 795, 935, 587, 652]",32,[]
15,"[1, 899, 164, 454, 490, 492, 431, 580, 632, 612, 635, 647, 712, 361, 42, 172, 918, 184, 123, 382, 480, 843, 708, 615, 103, 338, 439, 151, 260, 261, 17, 360]",32,[]
16,"[0, 608, 256, 4, 945, 235, 111, 369, 372, 849, 799, 736, 290, 259, 993, 903, 432, 690, 149, 1023, 129, 418, 667, 874, 546, 51, 693, 119, 795, 935, 587, 652]",32,[]
17,"[1, 899, 164, 454]",4,[]
18,"[2, 225, 763, 805, 38, 845, 80, 31, 764, 157, 607, 1004, 748, 269, 689, 211, 789, 407, 600, 757, 160, 196, 40, 42, 719, 145, 534, 730, 123, 307, 54, 185]",32,[]
19,"[0, 608, 256, 4]",4,[]
20,"[0, 608, 256, 4, 945, 235, 111, 369, 372, 849, 799, 736, 290, 259, 993, 903, 432, 690, 149, 1023, 129, 418, 667, 874, 546, 51, 693, 119, 795, 935, 587, 652]",32,[]
21,"[1, 899, 164, 454]",4,[]
22,"[2, 225, 763, 805, 38, 845, 80, 31, 764, 157, 607, 1004, 748, 269, 689, 211]",16,[]
23,"[0, 608]",1,[]
24,"[1, 899, 164, 454, 490, 492, 431, 580, 632, 612, 635, 647, 712, 361, 42, 172, 918, 184, 123, 382, 480, 418, 843, 708, 615, 103, 338, 439, 151, 260, 261, 17]",32,[]
25,"[0, 608, 256, 4, 945, 235, 111, 369, 372, 849, 799, 736, 290, 259, 993, 903, 432, 690, 149, 1023, 129, 667, 874, 546, 51, 693, 119, 795, 935, 587, 652, 241]",32,[]
26,"[1, 899]",1,[]
27,"[2, 225, 763, 805]",4,[]
28,"[1, 899, 164, 454, 490, 492, 431, 580, 632, 612, 635, 647, 712, 361, 42, 172]",16,[]
29,"[2, 225]",1,[]
30,"[2, 225, 763, 805]",4,[]
31,"[0, 608]",1,[]
