,aspl,diameter,hosts,number of nodes,switches
0,0.0,0,[1024],1,[0]
1,0.0,0,[1153],1,[129]
2,1.75,2,"[1058, 1185, 1187, 1348, 1773, 1430, 1629, 1470]",8,"[34, 161, 163, 324, 749, 406, 605, 446]"
3,3.07459677419,4,"[1739, 2017, 1701, 1296, 1590, 1591, 2032, 1631, 1206, 1318, 1543, 2037, 1686, 1756, 1757, 1514, 1935, 1680, 1681, 1977, 1146, 1626, 1028, 1324, 1425, 1330, 2011, 1534, 1439, 1921, 1922, 2026]",32,"[715, 993, 677, 272, 566, 567, 1008, 607, 182, 294, 519, 1013, 662, 732, 733, 490, 911, 656, 657, 953, 122, 602, 4, 300, 401, 306, 987, 510, 415, 897, 898, 1002]"
4,1.71428571429,2,"[1262, 1961, 1228, 1389, 1391, 1362, 1561]",7,"[238, 937, 204, 365, 367, 338, 537]"
5,0.0,0,[1058],1,[34]
6,1.6,2,"[1167, 1249, 1738, 1325, 1038]",5,"[143, 225, 714, 301, 14]"
7,0.0,0,[1268],1,[244]
8,0.0,0,[],0,[]
9,0.0,0,[1979],1,[955]
10,2.14545454545,3,"[1052, 1735, 1320, 1751, 1274, 1179, 1181, 1086, 1697, 1788, 1036]",11,"[28, 711, 296, 727, 250, 155, 157, 62, 673, 764, 12]"
11,3.08669354839,4,"[1026, 1504, 1155, 1316, 1741, 1398, 1597, 1438, 1121, 1707, 1230, 1135, 1236, 1947, 1532, 1313, 1253, 1742, 1111, 1694, 1471, 1443, 1445, 1350, 2031, 1072, 1304, 2015, 1763, 1959, 1170, 2001]",32,"[2, 480, 131, 292, 717, 374, 573, 414, 97, 683, 206, 111, 212, 923, 508, 289, 229, 718, 87, 670, 447, 419, 421, 326, 1007, 48, 280, 991, 739, 935, 146, 977]"
12,2.14545454545,3,"[1507, 1378, 1380, 1093, 1582, 1463, 2046, 1311, 1344, 1505, 1156]",11,"[483, 354, 356, 69, 558, 439, 1022, 287, 320, 481, 132]"
13,2.9384057971,4,"[1740, 1826, 1894, 1073, 1687, 1688, 1255, 1672, 1047, 2006, 1719, 1917, 1918, 1792, 2043, 1323, 1713, 1714, 1818, 1371, 1157, 1261, 1456, 1458]",24,"[716, 802, 870, 49, 663, 664, 231, 648, 23, 982, 695, 893, 894, 768, 1019, 299, 689, 690, 794, 347, 133, 237, 432, 434]"
14,1.0,1,"[1071, 1440]",2,"[47, 416]"
15,2.39166666667,4,"[1237, 1632, 1065, 1808, 1139, 1108, 1110, 1079, 1061, 1734, 1802, 1684, 1653, 1851, 1852, 1636]",16,"[213, 608, 41, 784, 115, 84, 86, 55, 37, 710, 778, 660, 629, 827, 828, 612]"
16,1.75,2,"[1820, 1600, 1767, 1768, 1233, 1906, 1569, 1974]",8,"[796, 576, 743, 744, 209, 882, 545, 950]"
17,1.75,2,"[1341, 1736, 1257, 1912, 1243, 1212, 1214, 1183]",8,"[317, 712, 233, 888, 219, 188, 190, 159]"
18,1.92857142857,3,"[1185, 1056, 1027, 1772, 1103, 1269, 1373, 1090]",8,"[161, 32, 3, 748, 79, 245, 349, 66]"
19,2.39166666667,4,"[1820, 1600, 1767, 1768, 1233, 1906, 1569, 1974, 1029, 1702, 1770, 1652, 1621, 1819, 1205, 1729]",16,"[796, 576, 743, 744, 209, 882, 545, 950, 5, 678, 746, 628, 597, 795, 181, 705]"
20,2.39166666667,4,"[1187, 1345, 1060, 1285, 1774, 1143, 1726, 1503, 1216, 1218, 1932, 1263, 1429, 2012, 1533, 1282]",16,"[163, 321, 36, 261, 750, 119, 702, 479, 192, 194, 908, 239, 405, 988, 509, 258]"
21,2.525,4,"[1348, 1475, 1477, 1382, 1551, 1104, 1336, 2047, 1346, 1550, 1431, 2014, 1279, 1536, 1379, 1319]",16,"[324, 451, 453, 358, 527, 80, 312, 1023, 322, 526, 407, 990, 255, 512, 355, 295]"
22,0.0,0,[1071],1,[47]
23,1.0,1,"[1820, 1600]",2,"[796, 576]"
24,1.5,2,"[1740, 1826, 1894, 1073]",4,"[716, 802, 870, 49]"
25,2.14545454545,3,"[1237, 1632, 1065, 1808, 1139, 1108, 1110, 1079, 1061, 1734, 1802]",11,"[213, 608, 41, 784, 115, 84, 86, 55, 37, 710, 778]"
26,1.0,1,"[1820, 1600]",2,"[796, 576]"
27,0.0,0,[1820],1,[796]
28,1.0,1,"[1341, 1736]",2,"[317, 712]"
29,0.0,0,[1820],1,[796]
