,aspl,diameter,hosts,number of nodes,switches
0,2.97580645161,4,"[1024, 1250, 1064, 2026, 1900, 1582, 1045, 1366, 1755, 1275, 1700, 1061, 1211, 2013, 1406, 1125, 1223, 1101, 1262, 2036, 1941, 1725, 1215, 1889, 1221, 1254, 1458, 1848, 1785, 1791, 1539, 1479]",32,"[0, 226, 40, 1002, 876, 558, 21, 342, 731, 251, 676, 37, 187, 989, 382, 101, 199, 77, 238, 1012, 917, 701, 191, 865, 197, 230, 434, 824, 761, 767, 515, 455]"
1,3.25256410256,4,"[1896, 1477, 1510, 1613, 1998, 1232, 2011, 1310, 1794, 1361, 1715, 1109, 1118, 1284, 1329, 1740, 1585, 1620, 1771, 1419, 1902, 1111, 1784, 1757, 1317, 1227, 1453, 1521, 1939, 1249, 1353, 1807, 1427, 1470, 1647, 2032, 1777, 1203, 1448, 1482]",40,"[872, 453, 486, 589, 974, 208, 987, 286, 770, 337, 691, 85, 94, 260, 305, 716, 561, 596, 747, 395, 878, 87, 760, 733, 293, 203, 429, 497, 915, 225, 329, 783, 403, 446, 623, 1008, 753, 179, 424, 458]"
2,3.2,4,"[1707, 1600, 1091, 1646, 1106, 1334, 1081, 1375, 1577, 1231, 1651, 1658, 1533, 1790, 1474, 1989, 1354, 1804, 1170, 1788, 1630, 1122, 1352, 1962, 1869, 1747, 1558, 2007, 1753, 1309, 1599, 1841, 1898, 1201, 1396, 1657, 1339, 1216, 1868, 1165]",40,"[683, 576, 67, 622, 82, 310, 57, 351, 553, 207, 627, 634, 509, 766, 450, 965, 330, 780, 146, 764, 606, 98, 328, 938, 845, 723, 534, 983, 729, 285, 575, 817, 874, 177, 372, 633, 315, 192, 844, 141]"
3,1.75,2,"[1896, 1477, 1510, 1613, 1998, 1232, 2011, 1310]",8,"[872, 453, 486, 589, 974, 208, 987, 286]"
4,2.10714285714,4,"[1100, 1415, 1167, 1819, 1105, 1752, 1800, 1673]",8,"[76, 391, 143, 795, 81, 728, 776, 649]"
5,1.75,2,"[1107, 1070, 1377, 1641, 1967, 1233, 1112, 1116]",8,"[83, 46, 353, 617, 943, 209, 88, 92]"
6,1.92857142857,3,"[1946, 1737, 1635, 1778, 1489, 1050, 1663, 1153]",8,"[922, 713, 611, 754, 465, 26, 639, 129]"
7,1.75,2,"[1441, 1945, 1060, 1253, 1522, 1684, 1230, 1892]",8,"[417, 921, 36, 229, 498, 660, 206, 868]"
8,2.25,4,"[1733, 2039, 1071, 1874, 1277, 1546, 1178, 1069]",8,"[709, 1015, 47, 850, 253, 522, 154, 45]"
9,2.03571428571,3,"[1289, 1266, 1920, 1764, 1426, 1870, 1313, 1357]",8,"[265, 242, 896, 740, 402, 846, 289, 333]"
10,1.92857142857,3,"[1871, 1273, 1440, 1430, 1322, 2027, 1839, 1553]",8,"[847, 249, 416, 406, 298, 1003, 815, 529]"
11,1.92857142857,3,"[1944, 1991, 1381, 2032, 1683, 1147, 2035, 1604]",8,"[920, 967, 357, 1008, 659, 123, 1011, 580]"
12,1.92857142857,3,"[1946, 1737, 1635, 1778, 1489, 1050, 1663, 1153]",8,"[922, 713, 611, 754, 465, 26, 639, 129]"
13,3.18461538462,4,"[1707, 1600, 1091, 1646, 1106, 1334, 1081, 1375, 1577, 1231, 1651, 1658, 1533, 1790, 1474, 1989, 1354, 1804, 1170, 1788, 1630, 1122, 1352, 1962, 1869, 1747, 1784, 1740, 1329, 1558, 2007, 1753, 1309, 1599, 1841, 1898, 1647, 1201, 1396, 1657]",40,"[683, 576, 67, 622, 82, 310, 57, 351, 553, 207, 627, 634, 509, 766, 450, 965, 330, 780, 146, 764, 606, 98, 328, 938, 845, 723, 760, 716, 305, 534, 983, 729, 285, 575, 817, 874, 623, 177, 372, 633]"
14,2.03571428571,3,"[1289, 1266, 1920, 1764, 1426, 1870, 1313, 1357]",8,"[265, 242, 896, 740, 402, 846, 289, 333]"
15,3.39743589744,5,"[1519, 1327, 1971, 1445, 2029, 1210, 1435, 1765, 1296, 1078, 1231, 1980, 1571, 1512, 1773, 1524, 1052, 2018, 1380, 1734, 1544, 1258, 1180, 1630, 1807, 1185, 1893, 1199, 1207, 1661, 1087, 1318, 1988, 1317, 1798, 1257, 2030, 1028, 1511, 1326]",40,"[495, 303, 947, 421, 1005, 186, 411, 741, 272, 54, 207, 956, 547, 488, 749, 500, 28, 994, 356, 710, 520, 234, 156, 606, 783, 161, 869, 175, 183, 637, 63, 294, 964, 293, 774, 233, 1006, 4, 487, 302]"
