,aspl,diameter,hosts,number of nodes,switches
0,0.0,0,[1024],1,[0]
1,0.0,0,[1250],1,[226]
2,1.71428571429,2,"[1064, 1223, 1101, 1262, 2036, 1941, 1725, 1215]",8,"[40, 199, 77, 238, 1012, 917, 701, 191]"
3,3.05443548387,4,"[2026, 1889, 1221, 1254, 1458, 1848, 1785, 1791, 1197, 1837, 1360, 1875, 1590, 1945, 1086, 1953, 1443, 1328, 1589, 1815, 1852, 1027, 1032, 1387, 1133, 1105, 1236, 1085, 1955, 1069, 1678, 1808]",32,"[1002, 865, 197, 230, 434, 824, 761, 767, 173, 813, 336, 851, 566, 921, 62, 929, 419, 304, 565, 791, 828, 3, 8, 363, 109, 81, 212, 61, 931, 45, 654, 784]"
4,1.71428571429,2,"[1900, 1539, 1479, 1896, 1707, 1100, 1107]",7,"[876, 515, 455, 872, 683, 76, 83]"
5,0.0,0,[1064],1,[40]
6,1.6,2,"[1582, 1441, 1733, 1289, 1871]",5,"[558, 417, 709, 265, 847]"
7,0.0,0,[1045],1,[21]
8,0.0,0,[],0,[]
9,0.0,0,[1366],1,[342]
10,2.12727272727,3,"[1755, 1700, 1952, 1736, 1643, 1421, 1556, 1192, 1161, 1070, 1809]",11,"[731, 676, 928, 712, 619, 397, 532, 168, 137, 46, 785]"
11,3.01411290323,4,"[1275, 1376, 1259, 1198, 1138, 1461, 1373, 1877, 1440, 1984, 1292, 1517, 1998, 1659, 1374, 1985, 1894, 1427, 2031, 1395, 1846, 1503, 1089, 1371, 1734, 1291, 1071, 1813, 1857, 1351, 1384, 1710]",32,"[251, 352, 235, 174, 114, 437, 349, 853, 416, 960, 268, 493, 974, 635, 350, 961, 870, 403, 1007, 371, 822, 479, 65, 347, 710, 267, 47, 789, 833, 327, 360, 686]"
12,2.14545454545,3,"[1061, 1941, 1525, 2038, 1239, 1628, 1557, 1890, 1418, 1954, 1744]",11,"[37, 917, 501, 1014, 215, 604, 533, 866, 394, 930, 720]"
13,3.0652173913,4,"[1211, 1537, 1750, 1529, 1789, 1870, 1410, 1859, 1039, 1689, 1884, 1346, 1677, 1392, 1493, 1111, 1912, 2025, 1228, 1455, 1049, 1471, 2019, 1431]",24,"[187, 513, 726, 505, 765, 846, 386, 835, 15, 665, 860, 322, 653, 368, 469, 87, 888, 1001, 204, 431, 25, 447, 995, 407]"
14,1.0,1,"[2013, 1768]",2,"[989, 744]"
15,2.46666666667,4,"[1406, 1915, 1638, 1963, 1459, 1816, 1307, 1119, 1760, 1256, 1196, 1357, 1522, 1167, 1344, 1641]",16,"[382, 891, 614, 939, 435, 792, 283, 95, 736, 232, 172, 333, 498, 143, 320, 617]"
16,2.07142857143,3,"[1125, 1708, 1327, 1910, 1277, 1856, 1832, 1673]",8,"[101, 684, 303, 886, 253, 832, 808, 649]"
17,2.03571428571,3,"[1223, 1636, 1879, 1713, 1465, 1214, 1536, 1570]",8,"[199, 612, 855, 689, 441, 190, 512, 546]"
18,2.07142857143,3,"[1125, 1708, 1327, 1910, 1277, 1856, 1832, 1673]",8,"[101, 684, 303, 886, 253, 832, 808, 649]"
19,2.43333333333,4,"[1101, 2036, 1513, 1057, 1668, 1665, 1226, 1273, 1280, 1449, 1546, 1369, 1244, 1699, 1764, 1965]",16,"[77, 1012, 489, 33, 644, 641, 202, 249, 256, 425, 522, 345, 220, 675, 740, 941]"
20,2.35833333333,4,"[1262, 1345, 1997, 1393, 1394, 1171, 1652, 1918, 1090, 1123, 1446, 1555, 1426, 1075, 1124, 1702]",16,"[238, 321, 973, 369, 370, 147, 628, 894, 66, 99, 422, 531, 402, 51, 100, 678]"
