,queue jobs,utilization
0,0,0.015625
1,0,0.14453125
2,0,0.28125
3,0,0.3740234375
4,5,0.8984375
5,2,0.6416015625
6,0,0.66015625
7,6,0.6015625
8,0,0.1640625
9,0,0.2734375
10,0,0.31640625
11,0,0.41796875
12,0,0.21875
13,0,0.3046875
14,0,0.3359375
15,0,0.1015625
16,0,0.08203125
17,0,0.10546875
18,0,0.6328125
19,0,0.13671875
20,15,0.2685546875
21,20,0.58203125
22,16,0.439453125
23,4,0.7412109375
24,3,0.626953125
25,8,0.94140625
26,4,0.5947265625
27,1,0.7587890625
28,1,0.6884765625
29,4,0.44921875
30,7,0.58203125
31,9,0.703125
32,0,0.28125
33,1,0.3203125
34,0,0.08984375
35,2,0.828125
36,0,0.40625
37,0,0.30078125
38,2,0.68359375
39,0,0.3359375
40,2,0.05078125
41,3,0.6484375
42,7,0.5625
43,0,0.609375
44,1,0.3427734375
45,0,0.109375
46,0,0.67578125
47,7,0.6875
48,11,0.6552734375
49,13,0.4931640625
50,7,0.8125
51,7,0.89453125
52,8,0.66015625
53,20,1.0
54,4,0.7890625
55,9,0.8837890625
56,4,0.517578125
57,3,0.4111328125
58,0,0.421875
59,0,0.35546875
60,0,0.33203125
61,3,0.6875
62,0,0.08203125
63,0,0.58984375
64,6,0.63671875
65,10,0.89453125
66,9,0.80859375
67,9,0.6748046875
68,20,0.5927734375
69,15,0.9248046875
70,7,0.62109375
71,1,0.6708984375
72,16,0.8037109375
73,3,0.84765625
74,4,0.83984375
75,3,0.6103515625
76,1,0.38671875
77,5,0.58203125
78,1,0.7783203125
79,3,0.92578125
80,1,0.70703125
81,2,0.59765625
82,0,0.16796875
83,4,0.3037109375
84,6,0.6298828125
85,9,0.70703125
86,13,0.7421875
87,16,0.75390625
88,14,0.5673828125
89,27,1.0
90,32,0.64453125
91,28,0.6259765625
92,33,0.326171875
93,34,0.271484375
94,30,0.5595703125
95,24,0.34375
96,34,0.4716796875
97,31,0.16796875
98,23,0.6650390625
99,15,0.8671875
100,2,0.462890625
101,0,0.44140625
102,5,0.41015625
103,0,0.27734375
104,0,0.181640625
105,0,0.0
