,queue jobs,utilization
0,1,0.0
1,0,0.25
2,0,0.25
3,0,0.25
4,0,0.25
5,0,0.25
6,0,0.25
7,0,0.25
8,0,0.25
9,0,0.25
10,0,0.25
11,0,0.25
12,0,0.25
13,0,0.25
14,0,0.25
15,0,0.25
16,0,0.25
17,0,0.375
18,0,0.375
19,0,0.375
20,0,0.375
21,0,0.375
22,0,0.375
23,0,0.375
24,0,0.375
25,0,0.375
26,0,0.375
27,0,0.625
28,0,0.625
29,0,0.625
30,0,0.625
31,0,0.625
32,1,0.6328125
33,17,0.625
34,42,0.625
35,50,0.625
36,63,0.625
37,65,0.625
38,73,0.625
39,179,0.625
40,193,0.625
41,209,0.625
42,211,0.625
43,225,0.625
44,231,0.625
45,238,0.625
46,256,0.625
47,282,0.625
48,295,0.625
49,312,0.625
50,317,0.625
51,326,0.625
52,339,0.625
53,346,0.625
54,350,0.625
55,353,0.625
56,365,0.625
57,372,0.625
58,391,0.625
59,401,0.625
60,403,0.625
61,412,0.625
62,419,0.625
63,422,0.625
64,439,0.625
65,451,0.625
66,454,0.625
67,454,0.625
68,459,0.625
69,460,0.625
70,460,0.625
71,460,0.625
72,460,0.625
73,461,0.625
74,461,0.625
75,461,0.625
76,461,0.625
77,464,0.625
78,564,0.625
79,566,0.625
80,566,0.625
81,568,0.625
82,568,0.625
83,569,0.625
84,570,0.625
85,570,0.625
86,570,0.375
87,569,0.875
88,569,0.875
89,569,0.875
90,569,0.875
91,570,0.875
92,570,0.875
93,570,0.875
94,570,0.875
95,570,0.875
96,570,0.875
97,570,0.875
98,570,0.875
99,570,0.875
100,570,0.875
101,570,0.875
102,570,0.75
103,541,0.2509765625
104,539,0.7509765625
105,539,0.7509765625
106,539,0.7509765625
107,539,0.7509765625
108,540,0.7509765625
109,540,0.7509765625
110,540,0.7509765625
111,540,0.7509765625
112,540,0.5009765625
113,540,0.5
114,540,0.5
115,540,0.5
116,540,0.5
117,540,0.5
118,542,0.5
119,642,0.5
120,642,0.5
121,642,0.5
122,642,0.5
123,642,0.5
124,642,0.5
125,642,0.5
126,642,0.5
127,642,0.5
128,642,0.5
129,642,0.5
130,642,0.5
131,642,0.5
132,642,0.5
