,queue jobs,utilization
0,0,0.125
1,11,0.4267578125
2,33,0.49609375
3,56,0.7880859375
4,66,0.34375
5,83,0.880859375
6,56,0.6865234375
7,52,0.37109375
8,42,0.46875
9,11,0.5849609375
10,0,0.125
11,2,0.296875
12,20,0.5341796875
13,19,0.7685546875
14,14,0.5625
15,21,0.490234375
16,44,0.875
17,22,0.7802734375
18,1,0.4326171875
19,0,0.90625
20,0,0.65625
21,0,0.0
22,28,0.6396484375
23,58,0.6025390625
24,69,0.767578125
25,48,0.5234375
26,90,0.583984375
27,118,0.6953125
28,105,0.6787109375
29,117,0.4404296875
30,132,0.625
31,115,0.4072265625
32,139,0.5361328125
33,159,0.3125
34,217,0.744140625
35,208,0.91015625
36,178,0.0107421875
37,204,0.890625
38,168,0.34375
39,193,0.2275390625
40,179,0.5625
41,138,0.515625
42,100,0.6796875
43,77,0.666015625
44,41,0.53125
45,6,0.7265625
46,9,0.375
47,10,0.9375
48,8,0.65234375
49,1,0.8681640625
50,2,0.8828125
51,2,0.6875
52,8,0.4931640625
53,0,0.3125
54,0,0.75
55,0,0.3125
56,1,0.2001953125
57,0,0.1875
58,0,0.03125
59,0,0.15625
60,0,0.09375
61,0,0.09375
62,0,0.0625
63,4,0.6533203125
64,8,0.58984375
65,7,0.70703125
66,9,0.4794921875
67,27,0.3212890625
68,13,0.6484375
69,6,0.4990234375
70,0,0.90625
71,5,0.62109375
72,0,0.8681640625
73,3,0.44921875
74,31,0.5439453125
75,29,0.599609375
76,40,0.78515625
77,46,0.46875
78,73,0.5
79,52,0.5869140625
80,17,0.59375
81,0,0.0
