,queue jobs,utilization
0,2,0.0478515625
1,0,0.921875
2,0,0.921875
3,0,0.921875
4,0,0.0
5,0,0.0
6,0,0.0
7,0,0.0
8,0,0.0
9,0,0.0
10,0,0.0
11,0,0.0
12,0,0.0
13,0,0.0
14,0,0.0
15,0,0.0
16,0,0.0
17,0,0.0
18,0,0.0
19,0,0.0
20,0,0.0
21,0,0.109375
22,1,0.171875
23,4,0.171875
24,17,0.171875
25,34,1.0
26,62,1.0
27,121,1.0
28,157,0.9375
29,199,0.3515625
30,244,0.94921875
31,302,0.72265625
32,339,0.66015625
33,430,0.06640625
34,589,1.0
35,738,0.0
36,772,0.078125
37,779,1.0
38,774,0.00390625
39,747,0.1396484375
40,750,0.98828125
41,732,0.984375
42,751,0.978515625
43,767,0.9375
44,738,0.2373046875
45,748,0.21875
46,756,0.15625
47,764,0.125
48,770,0.0244140625
49,783,0.4609375
50,794,0.4609375
51,793,0.00390625
52,752,0.8916015625
53,665,0.322265625
54,695,0.2724609375
55,668,0.306640625
56,697,0.05078125
57,701,0.5986328125
58,361,0.0
59,376,0.9140625
60,381,0.63671875
61,465,0.734375
62,511,0.751953125
63,555,0.75
64,623,0.73828125
65,656,0.90625
66,710,0.935546875
67,787,0.12890625
68,862,0.00390625
69,890,0.6669921875
70,897,0.8125
71,949,0.6953125
72,992,0.75
73,974,0.7734375
74,974,0.1953125
75,974,0.109375
76,974,0.1015625
77,974,0.0537109375
78,968,0.921875
79,968,0.921875
80,968,0.921875
81,929,0.6728515625
82,871,0.9013671875
83,834,0.88671875
84,608,0.4658203125
85,606,0.84375
86,606,0.53125
87,604,0.9609375
88,594,0.9228515625
89,580,0.92578125
90,580,0.2470703125
91,564,0.189453125
92,562,0.828125
93,562,0.828125
94,562,0.828125
95,562,0.072265625
96,560,0.5859375
97,477,0.5205078125
98,477,0.666015625
99,293,0.18359375
100,293,0.0390625
101,293,0.0390625
102,293,0.0234375
103,291,0.9765625
104,291,0.9765625
105,291,0.9765625
106,291,0.9765625
107,285,0.9375
108,285,0.9375
109,285,0.9375
110,285,0.9375
111,285,0.4736328125
112,168,0.52734375
113,168,0.5234375
114,168,0.5234375
115,168,0.03125
116,166,0.9375
117,166,0.0556640625
118,158,0.9375
119,158,0.9375
120,158,0.9375
121,158,0.9375
122,39,0.1328125
123,39,0.12890625
124,39,0.00390625
125,39,0.00390625
126,32,0.9375
127,32,0.9375
128,32,0.9375
129,32,0.9375
130,32,0.0
131,20,1.0
132,19,1.0
133,18,1.0
134,17,1.0
135,16,1.0
136,15,1.0
137,14,1.0
138,14,0.3583984375
139,13,0.0
140,3,0.1337890625
141,2,1.0
142,1,1.0
143,1,0.58984375
144,0,1.0
145,0,0.0
