,queue jobs,utilization
0,0,0.03125
1,0,0.0625
2,11,0.3369140625
3,0,0.1015625
4,37,0.2421875
5,5,0.234375
6,8,0.0625
7,0,0.5625
8,0,0.0
9,4,0.08984375
10,0,0.0
11,1,0.46484375
12,0,0.015625
13,0,0.5078125
14,11,0.5078125
15,0,0.1953125
16,0,0.0
17,0,0.0
18,0,0.0625
19,8,0.29296875
20,54,0.0078125
21,106,0.0078125
22,174,0.0078125
23,148,0.279296875
24,144,0.37109375
25,96,0.4267578125
26,50,0.3984375
27,19,0.9140625
28,21,0.85546875
29,123,0.7109375
30,191,0.3466796875
31,248,0.3828125
32,207,0.1376953125
33,122,0.40234375
34,172,0.6953125
35,176,0.4453125
36,227,0.150390625
37,230,0.4287109375
38,197,0.78515625
39,145,0.8984375
40,100,0.7578125
41,153,0.3984375
42,160,0.3984375
43,213,0.390625
44,275,0.140625
45,381,0.0
46,396,0.3828125
47,375,0.375
48,469,0.9521484375
49,434,0.6015625
50,426,0.7548828125
51,403,0.9375
52,326,0.8515625
53,326,0.3125
54,319,0.1875
55,292,0.6875
56,275,0.837890625
57,155,0.4609375
58,155,0.4609375
59,155,0.125
60,138,0.2548828125
61,131,0.203125
62,38,0.3125
63,0,0.0
64,0,0.0
65,0,0.0
66,0,0.0
67,0,0.0
68,30,0.1162109375
69,34,0.015625
70,47,0.513671875
71,31,0.0078125
72,24,0.0009765625
73,34,0.3310546875
74,29,0.375
75,123,0.0966796875
76,147,0.0625
77,236,0.0625
78,279,0.0625
79,345,0.0625
80,257,0.0771484375
81,158,0.3857421875
82,105,0.2470703125
83,117,0.21875
84,117,0.21875
85,117,0.21875
86,117,0.09375
87,117,0.09375
88,74,0.515625
89,64,0.0625
90,64,0.046875
91,64,0.03125
92,58,0.310546875
93,46,0.263671875
94,40,0.2109375
95,34,0.357421875
96,28,0.484375
97,24,0.267578125
98,10,0.0
