,queue jobs,utilization
0,0,0.205078125
1,21,0.9169921875
2,0,0.033203125
3,0,0.0703125
4,0,0.13671875
5,0,0.13671875
6,0,0.13671875
7,0,0.13671875
8,0,0.306640625
9,1,0.3798828125
10,0,0.21484375
11,0,0.5107421875
12,0,0.1484375
13,0,0.1484375
14,0,0.1484375
15,0,0.1484375
16,0,0.1484375
17,0,0.1484375
18,0,0.1572265625
19,0,0.1572265625
20,0,0.1572265625
21,0,0.1572265625
22,0,0.1572265625
23,0,0.1572265625
24,0,0.1572265625
25,0,0.1572265625
26,0,0.1025390625
27,0,0.1025390625
28,0,0.1025390625
29,0,0.1025390625
30,0,0.1025390625
31,0,0.1025390625
32,0,0.1025390625
33,0,0.2763671875
34,5,0.697265625
35,8,0.65234375
36,19,0.833984375
37,27,0.9306640625
38,20,0.7265625
39,15,0.955078125
40,22,0.6669921875
41,22,0.650390625
42,22,0.634765625
43,44,0.634765625
44,89,0.634765625
45,130,0.509765625
46,152,0.5009765625
47,183,0.5009765625
48,183,0.5009765625
49,190,0.5009765625
50,176,0.828125
51,152,0.34375
52,170,0.662109375
53,197,0.4873046875
54,229,0.64453125
55,213,0.5830078125
56,199,0.740234375
57,223,0.66015625
58,271,0.6298828125
59,288,0.8310546875
60,245,0.3994140625
61,193,0.484375
62,173,0.890625
63,134,0.7490234375
64,81,0.40234375
65,86,0.6787109375
66,66,0.970703125
67,35,0.8095703125
68,44,0.5478515625
69,44,0.5322265625
70,43,0.9072265625
71,37,0.90234375
72,9,0.783203125
73,37,0.951171875
74,68,0.974609375
75,76,0.880859375
76,83,0.927734375
77,62,0.9423828125
78,25,0.732421875
79,20,0.93359375
80,17,0.982421875
81,14,0.923828125
82,21,0.9697265625
83,21,0.892578125
84,27,0.8134765625
85,27,0.8134765625
86,27,0.8134765625
87,27,0.8134765625
88,27,0.78125
89,27,0.78125
90,26,0.9501953125
91,37,0.8125
92,32,0.955078125
93,33,0.955078125
94,22,0.9921875
95,31,0.87890625
96,31,0.7900390625
97,30,0.9619140625
98,36,0.98046875
99,52,0.98046875
100,76,0.6962890625
101,154,0.990234375
102,200,0.8603515625
103,205,0.990234375
104,215,0.990234375
105,168,0.8388671875
106,168,0.9638671875
107,165,0.4970703125
108,159,0.9970703125
109,166,0.7626953125
110,164,0.94140625
111,171,0.8994140625
112,129,0.9287109375
113,138,0.8427734375
114,145,0.9609375
115,96,0.8642578125
116,85,0.810546875
117,129,0.892578125
118,167,0.720703125
119,179,0.6123046875
120,188,0.484375
121,192,0.837890625
122,196,1.0
123,177,0.984375
124,146,0.7958984375
125,140,0.9296875
126,119,0.7939453125
127,64,0.9287109375
128,67,0.9169921875
129,72,0.8115234375
130,136,0.8095703125
131,186,0.8095703125
132,186,0.8095703125
133,186,0.7470703125
134,186,0.7470703125
135,186,0.630859375
136,159,0.9189453125
137,169,0.9736328125
138,233,0.759765625
139,293,0.7490234375
140,319,0.7099609375
141,329,0.7080078125
142,336,0.67578125
143,347,0.673828125
144,347,0.658203125
145,347,0.658203125
146,354,0.658203125
147,369,0.6240234375
148,368,0.9990234375
149,284,0.462890625
150,276,0.9951171875
151,151,0.7138671875
152,140,0.7412109375
153,129,0.7314453125
154,124,0.8447265625
155,124,0.8447265625
156,126,0.8427734375
157,124,0.845703125
158,92,0.9697265625
159,65,0.77734375
160,64,0.873046875
161,57,0.876953125
162,57,0.658203125
163,60,0.595703125
164,83,0.595703125
165,96,0.595703125
166,99,0.6494140625
167,85,0.8916015625
168,85,0.8291015625
169,85,0.8046875
170,85,0.8046875
171,85,0.8037109375
172,85,0.7880859375
173,85,0.5888671875
174,85,0.337890625
175,73,0.9833984375
176,43,0.962890625
177,18,0.9501953125
178,17,0.95703125
179,13,0.9052734375
180,12,0.9794921875
181,11,0.8046875
182,9,0.6943359375
183,3,0.81640625
184,1,0.8525390625
185,1,0.7548828125
186,1,0.7548828125
187,1,0.7548828125
188,0,0.3515625
189,0,0.34375
190,0,0.34375
191,0,0.1728515625
192,0,0.146484375
193,0,0.146484375
194,0,0.0
