,queue jobs,utilization
0,0,0.015625
1,0,0.08203125
2,0,0.330078125
3,0,0.41015625
4,5,0.8984375
5,1,0.6875
6,0,0.51953125
7,0,0.62109375
8,0,0.16796875
9,1,0.2734375
10,0,0.31640625
11,1,0.423828125
12,0,0.296875
13,0,0.064453125
14,0,0.78125
15,0,0.0859375
16,0,0.09765625
17,0,0.43359375
18,0,0.62890625
19,0,0.015625
20,15,0.81640625
21,5,0.9765625
22,0,0.78515625
23,0,0.6484375
24,1,0.65234375
25,0,0.6484375
26,0,0.5390625
27,1,0.63671875
28,8,0.7412109375
29,2,0.76171875
30,3,0.81640625
31,0,0.2109375
32,0,0.46875
33,0,0.47265625
34,0,0.0078125
35,0,0.34765625
36,0,0.37890625
37,0,0.5625
38,1,0.75390625
39,0,0.65234375
40,0,0.33203125
41,6,0.828125
42,0,0.90234375
43,0,0.76171875
44,1,0.51953125
45,0,0.140625
46,7,0.77734375
47,5,0.828125
48,0,0.859375
49,0,0.6513671875
50,12,0.8125
51,2,0.9765625
52,7,0.8359375
53,0,0.484375
54,2,0.8671875
55,2,0.78515625
56,0,0.421875
57,1,0.5703125
58,0,0.29296875
59,0,0.34765625
60,0,0.734375
61,0,0.51953125
62,0,0.56640625
63,1,0.265625
64,4,0.82421875
65,3,0.96484375
66,13,0.77734375
67,0,0.70703125
68,0,0.67578125
69,0,0.6328125
70,1,0.390625
71,9,0.8125
72,0,0.41015625
73,1,0.79296875
74,0,0.69921875
75,2,0.7734375
76,0,0.89453125
77,0,0.73046875
78,0,0.90625
79,0,0.8515625
80,0,0.0390625
81,0,0.59375
82,0,0.67578125
83,2,0.89453125
84,0,0.8984375
85,7,0.705078125
86,10,0.76953125
87,13,0.9140625
88,9,0.78515625
89,8,0.95703125
90,0,0.9658203125
91,7,0.76953125
92,1,0.55078125
93,0,0.828125
94,1,0.65234375
95,0,0.8828125
96,3,0.78125
97,0,0.359375
98,0,0.5234375
99,0,0.1015625
100,0,0.5078125
101,0,0.83984375
102,0,0.59375
103,0,0.0
