,queue jobs,utilization
0,0,0.125
1,0,0.63671875
2,8,0.78125
3,15,0.78125
4,10,0.90625
5,14,0.78125
6,8,0.7138671875
7,0,0.125
8,0,0.0
9,2,0.4609375
10,3,0.875
11,27,0.53125
12,13,0.6875
13,3,1.0
14,0,0.96875
15,1,0.75
16,0,0.40625
17,0,0.65625
18,27,1.0
19,52,1.0
20,73,0.359375
21,120,0.6875
22,159,1.0
23,181,0.90625
24,36,1.0
25,34,1.0
26,49,1.0
27,123,0.875
28,171,1.0
29,230,1.0
30,162,0.75
31,121,1.0
32,125,1.0
33,99,0.958984375
34,24,0.90625
35,0,0.90625
36,0,0.25
37,0,0.125
38,0,0.5625
39,0,0.625
40,0,0.8125
41,0,0.75
42,1,0.48828125
43,2,0.509765625
44,0,0.3125
45,0,0.375
46,0,0.4375
47,0,0.5625
48,0,0.3125
49,0,0.21875
50,0,0.34375
51,0,0.21875
52,0,0.09375
53,0,0.0625
54,0,0.5625
55,0,0.78125
56,10,0.6806640625
57,12,0.53125
58,4,0.9912109375
59,5,0.96875
60,7,0.84375
61,0,0.369140625
62,0,0.375
63,9,0.90625
64,13,0.576171875
65,42,0.9375
66,17,0.875
67,8,1.0
68,2,0.75
69,0,0.0
