,queue jobs,utilization
0,2,0.01953125
1,0,0.921875
2,0,0.921875
3,0,0.921875
4,0,0.0
5,0,0.0
6,0,0.0
7,0,0.0
8,0,0.0
9,0,0.0
10,0,0.0
11,0,0.0
12,0,0.0
13,0,0.0
14,0,0.0
15,0,0.0
16,0,0.0
17,0,0.0
18,0,0.0
19,0,0.0
20,0,0.0
21,0,0.109375
22,0,0.171875
23,4,0.171875
24,7,0.4140625
25,6,1.0
26,32,0.59375
27,92,0.73828125
28,57,0.791015625
29,102,0.375
30,92,0.734375
31,537,1.0
32,547,0.6171875
33,556,0.98046875
34,554,0.9921875
35,506,0.984375
36,179,0.953125
37,83,0.2265625
38,95,0.70703125
39,88,0.80078125
40,95,0.83984375
41,93,0.890625
42,76,0.69140625
43,73,0.83984375
44,67,0.63671875
45,73,0.703125
46,73,0.4609375
47,78,0.9921875
48,83,0.9296875
49,111,0.984375
50,78,0.6796875
51,76,0.984375
52,79,0.6953125
53,89,0.74609375
54,139,0.8515625
55,110,0.88671875
56,102,0.65625
57,220,0.4072265625
58,284,0.6015625
59,204,0.99609375
60,188,0.5390625
61,185,0.96875
62,145,0.98828125
63,135,0.92578125
64,88,0.58984375
65,83,0.6171875
66,83,0.15625
67,80,0.859375
68,80,0.703125
69,80,0.703125
70,80,0.703125
71,80,0.703125
72,79,0.4609375
73,77,0.921875
74,76,0.9609375
75,76,0.4609375
76,76,0.4609375
77,75,1.0
78,73,1.0
79,71,1.0
80,69,1.0
81,68,0.0234375
82,66,0.9375
83,66,0.9375
84,66,0.9375
85,66,0.9375
86,66,0.9375
87,59,0.0
