,queue jobs,utilization
0,0,0.03125
1,0,0.0625
2,0,0.4296875
3,0,0.09375
4,2,0.234375
5,4,0.234375
6,7,0.09375
7,0,0.5
8,0,0.0
9,0,0.0
10,0,0.0
11,0,0.0
12,0,0.5078125
13,0,0.5078125
14,0,0.078125
15,0,0.0078125
16,0,0.0
17,0,0.0625
18,0,0.0
19,3,0.0078125
20,102,0.0078125
21,20,0.3203125
22,9,0.3984375
23,9,0.9140625
24,6,0.7734375
25,2,0.6484375
26,7,0.6484375
27,95,0.0625
28,75,0.578125
29,50,0.9140625
30,53,0.7734375
31,76,0.4462890625
32,52,0.9609375
33,64,0.3125
34,43,0.8359375
35,43,0.8359375
36,43,0.5234375
37,56,0.328125
38,44,0.765625
39,46,0.9609375
40,52,0.5859375
41,151,0.78125
42,240,0.9609375
43,79,1.0
44,82,0.376953125
45,215,0.35546875
46,93,0.9775390625
47,44,0.646484375
48,42,1.0
49,27,0.0537109375
50,0,0.0
51,0,0.0
52,0,0.0
53,0,0.0
54,0,0.0
55,0,0.0
56,0,0.0
57,0,0.0
58,0,0.0
59,0,0.0
60,0,0.0
61,0,0.0
62,0,0.0
63,0,0.0
64,0,0.0
65,0,0.0
66,0,0.0234375
67,23,0.015625
68,14,0.125
69,1,1.0
70,0,0.0
71,0,0.125
72,0,0.40625
73,0,0.125
74,26,0.1953125
75,78,0.5478515625
76,25,0.28125
77,23,0.71875
78,28,0.2060546875
79,25,0.734375
80,23,0.140625
81,23,0.140625
82,19,0.53125
83,8,0.5
84,0,0.0
