,queue jobs,utilization
0,1,0.0517578125
1,0,0.796875
2,0,0.037109375
3,0,0.0703125
4,0,0.13671875
5,0,0.13671875
6,0,0.13671875
7,0,0.13671875
8,0,0.306640625
9,0,0.40234375
10,0,0.21484375
11,0,0.1484375
12,0,0.1484375
13,0,0.1484375
14,0,0.1484375
15,0,0.1484375
16,0,0.1484375
17,0,0.1572265625
18,0,0.1572265625
19,0,0.1572265625
20,0,0.1572265625
21,0,0.1572265625
22,0,0.1572265625
23,0,0.1572265625
24,0,0.1572265625
25,0,0.1650390625
26,0,0.1025390625
27,0,0.1025390625
28,0,0.1025390625
29,0,0.1025390625
30,0,0.1025390625
31,0,0.1025390625
32,0,0.1025390625
33,0,0.35546875
34,1,0.8681640625
35,7,0.9931640625
36,20,0.9931640625
37,29,0.9931640625
38,15,0.7197265625
39,9,0.9404296875
40,1,0.818359375
41,1,0.7392578125
42,16,0.7236328125
43,70,0.9794921875
44,88,0.755859375
45,81,0.9775390625
46,60,0.8095703125
47,39,0.998046875
48,43,0.8095703125
49,33,0.962890625
50,59,0.80078125
51,128,0.9482421875
52,84,0.9443359375
53,47,0.7333984375
54,102,0.9052734375
55,38,0.9208984375
56,38,0.841796875
57,35,0.9599609375
58,31,0.9501953125
59,32,0.6796875
60,38,0.8505859375
61,27,0.984375
62,20,0.7216796875
63,3,0.9833984375
64,7,0.966796875
65,4,0.9833984375
66,0,0.4697265625
67,0,0.4697265625
68,0,0.4697265625
69,37,0.8916015625
70,25,0.8662109375
71,57,0.98046875
72,31,0.8896484375
73,28,0.908203125
74,7,0.9189453125
75,6,0.95703125
76,6,0.89453125
77,5,0.9765625
78,14,0.9775390625
79,18,0.9736328125
80,17,0.9970703125
81,16,0.9970703125
82,16,0.9970703125
83,16,0.8486328125
84,15,0.9619140625
85,14,0.966796875
86,16,0.935546875
87,13,0.9599609375
88,10,0.97265625
89,10,0.8447265625
90,6,0.8955078125
91,10,0.9482421875
92,10,0.9404296875
93,9,0.9326171875
94,15,0.9912109375
95,30,0.9140625
96,90,0.828125
97,163,0.90625
98,56,1.0
99,57,0.8759765625
100,65,0.9482421875
101,50,0.984375
102,32,0.96484375
103,22,0.98828125
104,26,0.701171875
105,24,0.91015625
106,38,0.78125
107,52,0.93359375
108,54,0.9833984375
109,48,0.662109375
110,47,0.884765625
111,31,0.9990234375
112,40,0.7294921875
113,53,0.6982421875
114,55,0.9033203125
115,21,0.955078125
116,15,0.9111328125
117,15,0.9111328125
118,15,0.9111328125
119,15,0.8720703125
120,13,0.923828125
121,21,0.849609375
122,31,0.935546875
123,34,0.984375
124,100,0.9873046875
125,23,0.9560546875
126,20,0.9775390625
127,19,0.953125
128,18,0.9951171875
129,18,0.83984375
130,33,0.96484375
131,119,1.0
132,146,0.9638671875
133,63,0.994140625
134,66,0.93359375
135,61,0.9755859375
136,40,0.76171875
137,38,0.953125
138,41,0.9912109375
139,50,0.8974609375
140,31,0.8369140625
141,26,0.8994140625
142,31,0.998046875
143,35,0.92578125
144,25,0.97265625
145,25,0.7177734375
146,24,0.796875
147,16,0.9296875
148,17,0.9296875
149,25,0.7509765625
150,24,0.95703125
151,21,0.89453125
152,19,0.9912109375
153,19,0.794921875
154,15,0.94140625
155,15,0.9140625
156,23,0.927734375
157,21,0.8056640625
158,20,0.7900390625
159,21,0.8125
160,16,0.8603515625
161,16,0.8291015625
162,16,0.8291015625
163,16,0.8056640625
164,15,0.748046875
165,13,0.998046875
166,13,0.79296875
167,13,0.7919921875
168,13,0.7919921875
169,11,0.974609375
170,11,0.828125
171,11,0.828125
172,11,0.640625
173,11,0.640625
174,9,0.78125
175,5,0.5
176,4,1.0
177,3,0.5
178,0,0.390625
179,0,0.390625
180,0,0.390625
181,0,0.390625
182,0,0.390625
183,0,0.0
