,queue jobs,utilization
0,0,0.015625
1,0,0.08203125
2,0,0.3193359375
3,0,0.34765625
4,5,0.8984375
5,0,0.75
6,0,0.51953125
7,0,0.62109375
8,0,0.1640625
9,1,0.2734375
10,0,0.349609375
11,0,0.41796875
12,0,0.3125
13,0,0.04296875
14,0,0.76171875
15,0,0.08203125
16,0,0.09765625
17,0,0.43359375
18,0,0.5908203125
19,0,0.013671875
20,15,0.69921875
21,14,0.89453125
22,5,0.75
23,0,0.6328125
24,0,0.7109375
25,0,0.6484375
26,0,0.5390625
27,0,0.65234375
28,6,0.828125
29,2,0.76171875
30,3,0.765625
31,0,0.2109375
32,0,0.46875
33,0,0.45703125
34,0,0.0078125
35,0,0.34765625
36,0,0.37890625
37,0,0.5625
38,0,0.9140625
39,0,0.4658203125
40,0,0.26953125
41,6,0.828125
42,0,0.96484375
43,0,0.76171875
44,0,0.4697265625
45,0,0.140625
46,9,0.77734375
47,5,0.828125
48,1,0.59375
49,1,0.6328125
50,13,0.8125
51,4,0.8984375
52,5,0.8984375
53,0,0.421875
54,2,0.8671875
55,2,0.78515625
56,0,0.421875
57,0,0.5703125
58,0,0.29296875
59,0,0.34765625
60,0,0.734375
61,0,0.51953125
62,0,0.56640625
63,0,0.265625
64,4,0.82421875
65,3,0.96484375
66,13,0.828125
67,0,0.7333984375
68,0,0.67578125
69,0,0.525390625
70,0,0.390625
71,7,0.8125
72,1,0.53515625
73,0,0.79296875
74,0,0.69921875
75,0,0.818359375
76,2,0.814453125
77,0,0.65234375
78,0,0.91015625
79,1,0.9794921875
80,0,0.02734375
81,0,0.59375
82,0,0.42578125
83,3,0.80078125
84,2,0.8828125
85,7,0.81640625
86,8,0.77734375
87,23,0.83203125
88,7,0.95703125
89,8,0.91015625
90,2,0.90234375
91,10,0.76171875
92,0,0.470703125
93,0,0.818359375
94,0,0.6484375
95,0,0.8984375
96,3,0.66796875
97,0,0.359375
98,0,0.5263671875
99,0,0.1015625
100,0,0.556640625
101,0,0.8505859375
102,0,0.59375
103,0,0.0
