,queue jobs,utilization
0,1,0.0
1,0,0.25
2,0,0.375
3,0,0.625
4,182,0.625
5,299,0.625
6,378,0.625
7,457,0.625
8,466,0.625
9,569,0.875
10,570,0.875
11,439,0.9306640625
12,324,0.947265625
13,360,0.986328125
14,297,0.962890625
15,269,0.994140625
16,366,0.5087890625
17,367,0.7587890625
18,318,0.7548828125
19,300,0.8447265625
20,246,0.9931640625
21,241,0.9921875
22,180,0.765625
23,199,0.5625
24,201,0.4921875
25,180,0.5625
26,105,0.53125
27,41,0.515625
28,41,0.4375
29,41,0.1796875
30,41,0.109375
31,41,0.09375
32,41,0.03125
33,31,0.0029296875
34,21,0.5
35,21,0.5
36,21,0.5
37,21,0.5
38,23,0.5
39,42,0.5
40,169,0.5
41,202,0.5
42,202,0.5
43,65,0.125
44,54,0.0
45,50,1.0
46,50,1.0
47,50,1.0
48,50,1.0
49,44,0.0
50,37,1.0
51,37,1.0
52,37,1.0
53,37,1.0
54,37,1.0
55,37,1.0
56,37,1.0
57,37,1.0
58,0,0.0
