,queue jobs,utilization
0,0,0.125
1,1,0.5986328125
2,9,0.75
3,11,0.53125
4,15,0.9833984375
5,32,1.0
6,22,0.55859375
7,0,0.25
8,0,0.0
9,0,0.0
10,0,0.9375
11,24,0.65625
12,4,0.6875
13,13,0.998046875
14,0,0.9375
15,0,0.625
16,0,0.53125
17,0,0.65625
18,25,1.0
19,54,0.96875
20,53,0.96875
21,53,0.90625
22,56,0.96484375
23,57,0.625
24,66,1.0
25,73,1.0
26,70,0.8125
27,136,0.9375
28,164,0.96875
29,61,0.82421875
30,108,1.0
31,149,0.43359375
32,157,0.9912109375
33,107,0.6923828125
34,42,0.875
35,6,0.84375
36,8,0.6162109375
37,0,0.25
38,0,0.25
39,0,0.5
40,0,0.8583984375
41,0,0.875
42,0,0.4375
43,0,0.421875
44,0,0.3125
45,0,0.3125
46,0,0.5
47,0,0.875
48,0,0.3125
49,0,0.21875
50,0,0.34375
51,0,0.21875
52,0,0.09375
53,0,0.09375
54,0,0.5625
55,0,0.5419921875
56,1,1.0
57,25,0.681640625
58,4,0.90625
59,0,1.0
60,0,0.90625
61,0,0.46875
62,0,0.375
63,0,0.7998046875
64,18,0.9404296875
65,26,1.0
66,77,1.0
67,72,0.96875
68,15,1.0
69,0,0.5
70,0,0.0
