,queue jobs,utilization
0,2,0.0615234375
1,0,0.921875
2,0,0.921875
3,0,0.921875
4,0,0.0
5,0,0.0
6,0,0.0
7,0,0.0
8,0,0.0
9,0,0.0
10,0,0.0
11,0,0.0
12,0,0.0
13,0,0.0
14,0,0.0
15,0,0.0
16,0,0.0
17,0,0.0
18,0,0.0
19,0,0.0
20,0,0.0
21,0,0.109375
22,0,0.171875
23,4,0.171875
24,10,0.171875
25,28,0.125
26,53,1.0
27,145,1.0
28,227,0.9375
29,336,0.9375
30,163,0.83203125
31,512,0.978515625
32,62,0.55859375
33,71,0.4375
34,82,0.107421875
35,93,0.0078125
36,99,1.0
37,120,0.4609375
38,139,0.4609375
39,147,0.4609375
40,157,0.931640625
41,97,1.0
42,103,0.56640625
43,109,0.09765625
44,124,0.09765625
45,135,1.0
46,139,1.0
47,157,1.0
48,163,1.0
49,198,1.0
50,233,0.9375
51,248,0.9375
52,252,1.0
53,293,1.0
54,465,0.9453125
55,189,0.5234375
56,307,0.265625
57,442,0.18359375
58,556,0.171875
59,581,0.8125
60,623,1.0
61,697,0.8203125
62,697,0.125
63,695,0.53125
64,690,0.921875
65,688,0.984375
66,660,0.986328125
67,376,0.03515625
68,376,0.02734375
69,376,0.02734375
70,376,0.01953125
71,375,1.0
72,371,1.0
73,369,0.1318359375
74,362,0.8984375
75,358,0.9609375
76,137,0.7578125
77,137,0.078125
78,137,0.0625
79,137,0.0625
80,136,1.0
81,131,1.0
82,128,0.09375
83,115,0.8662109375
84,112,0.9296875
85,93,0.8330078125
86,83,0.8349609375
87,69,0.9296875
88,68,0.4375
89,68,0.3125
90,68,0.125
91,63,0.70703125
92,62,0.921875
93,62,0.921875
94,61,0.70703125
95,45,1.0
96,41,1.0
97,40,0.541015625
98,38,1.0
99,34,1.0
100,33,1.0
101,32,1.0
102,31,1.0
103,30,1.0
104,30,0.158203125
105,27,0.9609375
106,26,0.921875
107,26,0.921875
108,26,0.4609375
109,25,1.0
110,23,1.0
111,22,1.0
112,21,0.9765625
113,21,0.9765625
114,21,0.9765625
115,21,0.9765625
116,20,0.9375
117,20,0.9375
118,20,0.9375
119,20,0.9375
120,20,0.9375
121,19,1.0
122,19,1.0
123,19,1.0
124,19,1.0
125,17,1.0
126,15,0.6708984375
127,14,0.9375
128,13,0.703125
129,13,0.703125
130,13,0.703125
131,13,0.703125
132,13,0.703125
133,10,0.9609375
134,10,0.4609375
135,10,0.4609375
136,7,0.9609375
137,7,0.4609375
138,7,0.4609375
139,7,0.4609375
140,6,0.9375
141,6,0.9375
142,6,0.9375
143,6,0.9375
144,4,1.0
145,4,1.0
146,4,1.0
147,4,1.0
148,4,1.0
149,3,1.0
150,2,1.0
151,1,1.0
152,1,0.0
