,queue jobs,utilization
0,0,0.03125
1,0,0.0625
2,0,0.4296875
3,0,0.09375
4,2,0.234375
5,5,0.234375
6,8,0.0625
7,0,0.0625
8,0,0.0
9,0,0.0
10,0,0.0
11,0,0.0
12,0,0.5078125
13,0,0.5390625
14,0,0.078125
15,0,0.0078125
16,0,0.0
17,0,0.0625
18,0,0.0
19,5,0.1806640625
20,0,0.2578125
21,98,0.0078125
22,30,0.7705078125
23,0,0.7265625
24,2,0.7109375
25,2,0.6484375
26,8,0.0625
27,56,1.0
28,210,0.0625
29,89,0.3623046875
30,53,0.9140625
31,112,0.6484375
32,56,1.0
33,58,0.8828125
34,57,0.7265625
35,59,0.5859375
36,60,0.5859375
37,60,0.890625
38,58,0.455078125
39,117,0.125
40,123,0.125
41,209,0.125
42,290,0.125
43,362,0.1884765625
44,277,0.96875
45,306,1.0
46,348,0.0625
47,348,0.0625
48,348,0.0625
49,348,0.0625
50,340,0.75
51,276,1.0
52,275,0.125
53,275,0.0625
54,275,0.0625
55,275,0.0625
56,165,0.6640625
57,165,0.6640625
58,33,0.21875
59,0,0.0
60,0,0.0
61,0,0.0
62,0,0.0
63,0,0.0
64,0,0.0
65,0,0.0
66,0,0.03125
67,21,0.015625
68,29,1.0
69,0,0.125
70,0,0.0
71,0,0.375
72,0,0.40625
73,0,0.125
74,24,0.1953125
75,114,0.1875
76,134,0.1875
77,139,0.1875
78,148,0.125
79,132,0.3037109375
80,132,0.09375
81,132,0.09375
82,132,0.09375
83,132,0.09375
84,109,0.18359375
85,43,0.5927734375
86,37,0.046875
87,37,0.046875
88,37,0.03125
89,26,0.296875
90,16,1.0
91,6,0.75
92,0,0.0
