,queue jobs,utilization
0,1,0.1474609375
1,0,0.96484375
2,0,0.037109375
3,0,0.0703125
4,0,0.13671875
5,0,0.13671875
6,0,0.13671875
7,0,0.13671875
8,0,0.306640625
9,0,0.40234375
10,0,0.21484375
11,0,0.1484375
12,0,0.1484375
13,0,0.1484375
14,0,0.1484375
15,0,0.1484375
16,0,0.1484375
17,0,0.1572265625
18,0,0.1572265625
19,0,0.1572265625
20,0,0.1572265625
21,0,0.1572265625
22,0,0.1572265625
23,0,0.1572265625
24,0,0.1572265625
25,0,0.1650390625
26,0,0.1025390625
27,0,0.1025390625
28,0,0.1025390625
29,0,0.1025390625
30,0,0.1025390625
31,0,0.1025390625
32,0,0.1025390625
33,1,0.3603515625
34,0,0.8681640625
35,7,0.9931640625
36,21,0.9931640625
37,29,0.9970703125
38,15,0.7197265625
39,22,0.6904296875
40,9,0.9794921875
41,7,0.7705078125
42,27,0.697265625
43,72,0.796875
44,75,1.0
45,104,0.6767578125
46,118,0.66796875
47,113,0.8896484375
48,94,0.939453125
49,68,0.9619140625
50,60,0.6845703125
51,156,0.94921875
52,38,0.9296875
53,71,0.609375
54,129,0.5537109375
55,153,0.91796875
56,47,0.9384765625
57,61,0.685546875
58,46,0.7919921875
59,34,0.978515625
60,43,0.5703125
61,56,0.9775390625
62,42,0.826171875
63,36,0.9462890625
64,32,0.9931640625
65,31,0.8583984375
66,3,0.8544921875
67,1,0.861328125
68,0,0.4697265625
69,24,0.8916015625
70,47,0.9970703125
71,74,0.927734375
72,61,0.95703125
73,30,0.98828125
74,19,0.9697265625
75,19,0.9541015625
76,19,0.9384765625
77,15,0.89453125
78,24,0.9306640625
79,30,0.9775390625
80,28,0.826171875
81,28,0.763671875
82,26,0.9833984375
83,26,0.9833984375
84,25,0.849609375
85,21,0.9140625
86,13,0.8681640625
87,24,0.779296875
88,25,0.88671875
89,20,0.96875
90,18,0.984375
91,22,0.91015625
92,20,0.9755859375
93,19,0.8662109375
94,19,0.974609375
95,34,0.75390625
96,105,0.8447265625
97,214,0.9931640625
98,50,0.87890625
99,49,0.98046875
100,59,0.962890625
101,45,0.9931640625
102,39,0.9072265625
103,41,0.9453125
104,34,0.9755859375
105,31,0.8388671875
106,55,0.9716796875
107,68,0.9990234375
108,75,0.88671875
109,83,0.7578125
110,80,0.8935546875
111,52,1.0
112,154,0.9375
113,169,1.0
114,199,0.802734375
115,214,0.990234375
116,84,0.9140625
117,46,0.9482421875
118,46,0.771484375
119,45,0.970703125
120,43,0.9609375
121,30,0.7294921875
122,40,0.8583984375
123,47,0.9267578125
124,147,0.9443359375
125,118,1.0
126,117,0.9248046875
127,23,0.9423828125
128,23,0.708984375
129,20,0.9716796875
130,32,0.998046875
131,153,0.935546875
132,132,1.0
133,141,0.9716796875
134,108,1.0
135,118,0.9736328125
136,78,0.9873046875
137,74,0.9921875
138,74,0.8427734375
139,96,0.669921875
140,96,0.669921875
141,96,0.9755859375
142,105,0.9755859375
143,86,0.9775390625
144,77,0.72265625
145,77,0.625
146,76,0.8330078125
147,76,0.8095703125
148,74,0.9814453125
149,77,0.9267578125
150,86,0.6767578125
151,79,0.9462890625
152,51,0.984375
153,49,0.77734375
154,49,0.7294921875
155,44,0.822265625
156,32,0.876953125
157,28,0.7666015625
158,43,0.712890625
159,46,0.6640625
160,42,0.775390625
161,41,0.890625
162,28,0.9814453125
163,25,0.73828125
164,25,0.69140625
165,25,0.66796875
166,19,0.9853515625
167,19,0.9775390625
168,19,0.9775390625
169,18,0.9228515625
170,18,0.921875
171,15,0.8359375
172,15,0.7470703125
173,15,0.7470703125
174,10,0.955078125
175,10,0.712890625
176,9,0.9326171875
177,9,0.9326171875
178,9,0.5419921875
179,7,0.724609375
180,6,0.537109375
181,6,0.537109375
182,5,0.890625
183,1,0.890625
184,1,0.890625
185,0,0.0
