,queue jobs,utilization
0,1,0.013671875
1,0,0.08203125
2,0,0.08203125
3,0,0.14453125
4,2,0.72265625
5,3,0.53515625
6,0,0.4140625
7,0,0.26953125
8,2,0.607421875
9,0,0.15625
10,0,0.26953125
11,0,0.3896484375
12,2,0.47265625
13,0,0.1328125
14,0,0.484375
15,0,0.0390625
16,3,0.751953125
17,0,0.08203125
18,0,0.08203125
19,0,0.18359375
20,0,0.6328125
21,0,0.13671875
22,11,0.62109375
23,19,0.1015625
24,9,0.4521484375
25,0,0.21484375
26,0,0.3671875
27,1,0.6318359375
28,0,0.6484375
29,0,0.28125
30,1,0.46484375
31,0,0.322265625
32,5,0.41015625
33,6,0.3818359375
34,2,0.599609375
35,0,0.19921875
36,1,0.4326171875
37,2,0.4033203125
38,0,0.0078125
39,1,0.380859375
40,1,0.36328125
41,2,0.28125
42,0,0.65625
43,1,0.3515625
44,0,0.0234375
45,3,0.640625
46,6,0.8125
47,0,0.35546875
48,0,0.35546875
49,0,0.28125
50,0,0.171875
51,10,0.6025390625
52,8,0.828125
53,4,0.84375
54,3,0.650390625
55,10,0.8125
56,7,0.37109375
57,11,0.84765625
58,8,0.8466796875
59,0,0.5537109375
60,6,0.8828125
61,0,0.78515625
62,0,0.390625
63,0,0.1484375
64,0,0.02734375
65,0,0.34765625
66,0,0.345703125
67,0,0.39453125
68,0,0.26171875
69,0,0.61328125
70,4,0.8759765625
71,5,0.7705078125
72,4,0.57421875
73,6,0.4736328125
74,0,0.6328125
75,3,0.73828125
76,0,0.7578125
77,0,0.453125
78,4,0.830078125
79,5,0.52734375
80,0,0.84765625
81,4,0.794921875
82,0,0.3203125
83,2,0.818359375
84,1,0.64453125
85,1,0.66796875
86,3,0.6259765625
87,3,0.6494140625
88,0,0.14453125
89,0,0.7158203125
90,0,0.16796875
91,5,0.4892578125
92,4,0.8388671875
93,5,0.39453125
94,6,0.75390625
95,7,0.76171875
96,13,0.66015625
97,15,0.9462890625
98,9,0.798828125
99,4,0.669921875
100,1,0.705078125
101,9,0.576171875
102,1,0.80078125
103,0,0.57421875
104,0,0.64453125
105,3,0.591796875
106,0,0.359375
107,1,0.7734375
108,0,0.58203125
109,0,0.04296875
110,3,0.337890625
111,3,0.52734375
112,0,0.52734375
113,0,0.59375
114,0,0.0
