,queue jobs,utilization
0,1,0.0
1,0,0.25
2,0,0.25
3,0,0.25
4,0,0.25
5,0,0.25
6,0,0.25
7,0,0.25
8,0,0.25
9,0,0.25
10,0,0.25
11,0,0.25
12,0,0.25
13,0,0.25
14,0,0.25
15,0,0.25
16,0,0.25
17,0,0.375
18,0,0.375
19,0,0.375
20,0,0.375
21,0,0.375
22,0,0.375
23,0,0.375
24,0,0.375
25,0,0.375
26,0,0.375
27,0,0.625
28,0,0.625
29,0,0.625
30,0,0.625
31,0,0.625
32,3,0.625
33,20,0.625
34,44,0.625
35,52,0.625
36,63,0.625
37,66,0.625
38,75,0.625
39,179,0.625
40,203,0.625
41,210,0.625
42,212,0.625
43,226,0.625
44,231,0.625
45,246,0.625
46,265,0.625
47,285,0.625
48,296,0.625
49,315,0.625
50,318,0.625
51,328,0.625
52,340,0.625
53,346,0.625
54,352,0.625
55,354,0.625
56,367,0.625
57,375,0.625
58,394,0.625
59,402,0.625
60,404,0.625
61,414,0.625
62,420,0.625
63,428,0.625
64,443,0.625
65,452,0.625
66,454,0.625
67,458,0.625
68,459,0.625
69,460,0.625
70,460,0.625
71,460,0.625
72,460,0.625
73,461,0.625
74,461,0.625
75,461,0.625
76,463,0.625
77,464,0.625
78,565,0.625
79,566,0.625
80,567,0.625
81,568,0.625
82,568,0.625
83,569,0.625
84,570,0.625
85,570,0.375
86,569,0.875
87,569,0.875
88,569,0.875
89,569,0.875
90,570,0.875
91,570,0.875
92,570,0.875
93,570,0.875
94,570,0.875
95,570,0.875
96,570,0.875
97,570,0.875
98,570,0.875
99,570,0.875
100,570,0.875
101,570,0.875
102,520,0.46875
103,518,0.8759765625
104,518,0.8759765625
105,518,0.8759765625
106,518,0.8759765625
107,519,0.8759765625
108,519,0.8759765625
109,519,0.7509765625
110,519,0.7509765625
111,519,0.7509765625
112,519,0.5
113,519,0.5
114,519,0.5
115,519,0.5
116,519,0.5
117,520,0.5
118,618,0.5
119,621,0.5
120,621,0.5
121,621,0.5
122,621,0.5
123,621,0.5
124,621,0.5
125,621,0.5
126,621,0.5
127,621,0.5
128,621,0.5
129,621,0.5
130,621,0.5
131,621,0.5
132,622,0.5
133,622,0.5
